source.code,original.source.code,list.name,authours,title,publication,year,volume,issue,start.page.no,end.page.no,doi,abstract
113,113,primary data,"Burns, CW","Predictors of invasion success by Daphnia species: influence of food, temperature and species identity",BIOLOGICAL INVASIONS,2013,15,4,859,869,10.1007/s10530-012-0335-5,"test aspects of reproduction and fitness of the invader, D. ‘pulex’, and D. carinata when grown together at a range of relevant temperatures (8–23 °C) and related photoperiods"
114,114,primary data,"Rolinski, S; Pätz, P; Papendick, K; Jähnichen, S; Scheifhacken, N",Phytoplankton appearance in particle size spectra - Deriving conversion functions between microscopic and particle counter measurements,WATER RESEARCH,2013,47,5,1928,1940,10.1016/j.watres.2013.01.024,"Field samples, growth experiments and model approaches were used to study the image of phytoplankton derived by two different commonly used and standardized counting methods."
115,115,primary data,"Todaro, MA; Perissinotto, R; Bownes, SJ","Neogosseidae (Gastrotricha, Chaetonotida) from the iSimangaliso Wetland Park, KwaZulu-Natal, South Africa",ZOOKEYS,2013,NA,315,77,94,10.3897/zookeys.315.5593,Categorising two species of Neogosseidae that were found in a freshwater pond near Charter’s Creek on the Western Shores of Lake St Lucia
116,116,primary data,"Bozkurt, A; Çelik, K; Sevindik, TO",SEASONAL VARIATIONS IN THE LENGTH OF ZOOPLANKTON RELATED TO CERTAIN PHYSICOCHEMICAL VARIABLES IN TWO FRESHWATER RESERVOIRS,CRUSTACEANA,2012,85,4-5,447,462,10.1163/156854012X634401,"seasonal variations in the body length of zooplankton were studied in relation to water temperature, nitrate (NO3), soluble reactive phosphorus (SRP), total chlorophyll, Secchi disk depth, pH, conductivity, and oxidation-reduction potential (ORP) in a mesotrophic (Ikizcetepeler) and a eutrophic (Çaygören) reservoir"
117,117,primary data,"Kumar, R; Souissi, S; Hwang, JS",Vulnerability of carp larvae to copepod predation as a function of larval age and body length,AQUACULTURE,2012,338,,274,283,10.1016/j.aquaculture.2012.01.001,"quantified vulnerability, susceptibility, and loss of two crucial fish, Labeo rohita and Catla catla, to cyclopoid predation in relation to larval age and body length under laboratory conditions."
118,118,primary data,"Hahn, MW; Minasyan, A; Lang, E; Koll, U; Spröer, C","Polynucleobacter difficilis sp nov., a planktonic freshwater bacterium affiliated with subcluster B1 of the genus Polynucleobacter",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2012,62,,376,383,10.1099/ijs.0.031393-0,"Strain AM-8B5T, isolated from Lake Sevan in Armenia, was characterized phenotypically, chemotaxonomically and phylogenetically"
120,120,primary data,"Reiss, J; Schmid-Araya, JM","Feeding response of a benthic copepod to ciliate prey type, prey concentration and habitat complexity",FRESHWATER BIOLOGY,2011,56,8,1519,1530,10.1111/j.1365-2427.2011.02590.x,We aimed to quantify the feeding links between a freshwater meiofaunal copepod andciliates
121,121,primary data,"Liu, LP; Li, K; Chen, TY; Dai, XL; Jiang, M; Diana, JS",Effects of Microcystis aeruginosa on life history of water flea Daphnia magna,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,2011,29,4,892,897,10.1007/s00343-011-0518-4,"microcystins (MCs) in Microcystis aeruginosa, and Daphnia magna exposed to M. aeruginosa, were analyzed by HPLC-MS, and the effects of M. aeruginosa on D. magna were investigated"
122,122,primary data,"Yen, J; Sehn, JK; Catton, K; Kramer, A; Sarnelle, O",Pheromone trail following in three dimensions by the freshwater copepod Hesperodiaptomus shoshone,JOURNAL OF PLANKTON RESEARCH,2011,33,6,907,916,10.1093/plankt/fbq164,"Using three-dimensional (3D) videography, we show that males of the large-bodied alpine species Hesperodiaptomus shoshone follow pheromones in the female's trail"
123,123,primary data,"Hahn, MW; Lang, E; Tarao, M; Brandt, U","Polynucleobacter rarus sp. nov., a free-living planktonic bacterium isolated from an acidic lake",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2011,61,,781,787,10.1099/ijs.0.017350-0,"strain MT-CBb6A5T, which was isolated from an acidic lake located in Wisconsin (USA), was characterized"
124,124,primary data,"Hahn, MW; Lang, E; Brandt, U; Spröer, C","Polynucleobacter acidiphobus sp. nov., a representative of an abundant group of planktonic freshwater bacteria",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2011,61,,788,794,10.1099/ijs.0.023929-0,"strain MWH-PoolGreenA3T, isolated from a rock pool filled with freshwater, was characterized"
125,125,primary data,"Kramer, AM; Sarnelle, O; Yen, J",The effect of mating behavior and temperature variation on the critical population density of a freshwater copepod,LIMNOLOGY AND OCEANOGRAPHY,2011,56,2,707,715,10.4319/lo.2011.56.2.0707,combining three-dimensional video analysis ofmating behavior with life history data from natural populations we estimated H. shoshone critical density
126,126,primary data,"Silva-Briano, M; Suárez-Morales, E; Ortiz, AA; Reyes-Flores, M","Two species of Mastigodiaptomus (Copepoda: Diaptomidae), hosts of the epibiotic ciliate Trichodina diaptomi (Peritricha) in North America",JOURNAL OF LIMNOLOGY,2011,70,2,329,333,10.4081/jlimnol.2011.329,identifying T.diaptomi from a sample from mexico
127,127,primary data,"Kasalicky, V; Jezbera, J; Simek, K; Hahn, MW","Limnohabitans planktonicus sp nov and Limnohabitans parvus sp nov., planktonic betaproteobacteria isolated from a freshwater reservoir, and emended description of the genus Limnohabitans",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2010,60,,2710,2714,10.1099/ijs.0.018952-0,"Two bacterial strains, II-B4T and II-D5T, isolated from the meso-eutrophic freshwater Římov reservoir (Czech Republic), were characterized phenotypically"
128,128,primary data,"Mano, H; Sakamoto, M; Tanaka, Y",A comparative study of insecticide toxicity among seven cladoceran species,ECOTOXICOLOGY,2010,19,8,1620,1625,10.1007/s10646-010-0547-3,"The sensitivities of seven cladoceran species (Ceriodaphnia reticulata, Chydorus sphaericus, Daphnia galeata, Diaphanosoma brachyurum, Moina macrocopa, Scapholeberis kingi, and Simocephalus vetulus) to carbamate insecticides (carbaryl and methomyl) were investigated by acute toxicity tests"
129,129,primary data,"Yin, XW; Liu, PF; Zhu, SS; Chen, XX",Food selectivity of the herbivore Daphnia magna (Cladocera) and its impact on competition outcome between two freshwater green algae,HYDROBIOLOGIA,2010,655,1,15,23,10.1007/s10750-010-0399-0,does otimal foraging theory lead to lead to small-sized Chlorella becoming a superior competitor in the presence of Daphnia.
130,130,primary data,"Rojo, C; Salazar, G",Why are there so many kinds of planktonic consumers? The answer lies in the allometric diet breadth,HYDROBIOLOGIA,2010,653,1,91,102,10.1007/s10750-010-0346-0,apply the ADBM to infer the feeding linkages within a freshwater planktonic community of a Spanish oligo-mesotrophic lake and three spatial partitions of it
131,131,primary data,"Hahn, MW; Kasalicky, V; Jezbera, J; Brandt, U; Jezberová, J; Simek, K","Limnohabitans curvus gen. nov., sp nov., a planktonic bacterium isolated from a freshwater lake",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2010,60,,1358,1365,10.1099/ijs.0.013292-0,"strain, MWH-C5T, isolated from the water column of the oligomesotrophic Lake Mondsee (Austria), was characterized phenotypically, phylogenetically and chemotaxonomically"
133,133,primary data,"Sakamoto, M; Hanazato, T; Tanaka, Y","Impact of an Insecticide on Persistence of Inherent Antipredator Morphology of a Small Cladoceran, Bosmina",ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,2009,57,1,68,76,10.1007/s00244-008-9247-x,"assessed the impacts of an insecticide, carbaryl, on the life-history parameters of a polymorphic cladoceran, Bosmina longirostris, and on Bosmina–copepod interaction"
134,134,primary data,"Ki, JS; Cho, SY; Katano, T; Jung, SW; Lee, J; Park, BS; Kang, SH; Han, MS","Comprehensive comparisons of three pennate diatoms, Diatoma tenuae, Fragilaria vaucheriae, and Navicula pelliculosa, isolated from summer Arctic reservoirs (Svalbard 79A°N), by fine-scale morphology and nuclear 18S ribosomal DNA",POLAR BIOLOGY,2009,32,2,147,159,10.1007/s00300-008-0514-0,report morphological and molecular characteristics of dominant freshwater diatoms in summer Arctic reservoirs of Svalbard (Norway)
138,138,primary data,"Matthews, B; Mazumder, A",Detecting trophic-level variation in consumer assemblages,FRESHWATER BIOLOGY,2008,53,10,1942,1953,10.1111/j.1365-2427.2008.02018.x,"We examined the sources of variation in zooplankton ΔN by measuring the trophic enrichment (ΔN) of seven species of freshwater cladocerans, and by testing for an effect of age and temperature on the ΔN of Daphnia pulicaria"
140,140,primary data,"Rowe, CL; Adamowicz, SJ; Hebert, PDN","Three new cryptic species of the freshwater zooplankton genus Holopedium (Crustacea: Branchiopoda: Ctenopoda), revealed by genetic methods",ZOOTAXA,2007,NA,1656,1,49,NA2,"Here, we provide the first large-scale examination of taxonomic diversity in the genus Holopedium"
141,141,primary data,"Sigee, DC; Bahram, F; Estrada, B; Webster, RE; Dean, AP",The influence of phosphorus availability on carbon allocation and P quota in Scenedesmus subspicatus:: A synchrotron-based FTIR analysis,PHYCOLOGIA,2007,46,5,583,592,10.2216/07-14.1,"Synchrotron-based Fourier transform infrared (FTIR) microspectroscopy was used to characterise the molecular composition of the freshwater alga Scenedesmus subspicatus, cultured at three different initial concentrations of phosphorus"
142,142,primary data,"Pannard, A; Bormans, M; Lefebvre, S; Claquin, P; Lagadeuc, Y",Phytoplankton size distribution and community structure: influence of nutrient input and sedimentary loss,JOURNAL OF PLANKTON RESEARCH,2007,29,7,583,598,10.1093/plankt/fbm040,"examines the effects of nutrient availability and sedimentary loss on the dynamics of freshwater phytoplankton, from the physiological state at the cellular level to the competition issue at the community level"
143,143,primary data,"Jezberová, J; Komárková, J",Morphometry and growth of three Synechococcus-like picoplanktic cyanobacteria at different culture conditions,HYDROBIOLOGIA,2007,578,1,17,27,10.1007/s10750-006-0429-0,"Three phycocyanin-rich strains of Synechococcus-like picoplanktic cyanobacteria, isolated from the plankton of Czech oligotrophic to eutrophic freshwater reservoirs, were investigated in crossed gradients of light and temperature and in combination with two different culture media (BG-11 and WC)"
146,146,primary data,"Bittencourt-Oliveira, MD; Moura, AD; Gouvea-Barros, S; Pinto, E","HIP1 DNA fingerprinting in Microcystis panniformis (Chroococcales, Cyanobacteria)",PHYCOLOGIA,2007,46,1,3,9,10.2216/06-01.1,explores genetic diversity among 14 strains of M. panniformis isolated from 4 freshwater reservoirs in 2 different Brazilian regions
148,148,primary data,"Weisse, T; Stadler, P","Effect of pH on growth, cell volume, and production of freshwater ciliates, and implications for their distribution",LIMNOLOGY AND OCEANOGRAPHY,2006,51,4,1708,1715,10.4319/lo.2006.51.4.1708,"We investigated the effect of pH on growth, cell volume, and production of the freshwater ciliates Urotrichafarcta, U. furcata, and U. castalia"
149,149,primary data,"Passarge, J; Hol, S; Escher, M; Huisman, J","Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion?",ECOLOGICAL MONOGRAPHS,2006,76,1,57,72,10.1890/04-1824,nvestigation of competition among phytoplankton species
151,151,primary data,"Kuczynska-Kippen, N","On body size and habitat selection in rotifers in a macrophye-dominated lake Budzynskie, Poland",AQUATIC ECOLOGY,2005,39,4,447,454,10.1007/s10452-005-9003-5,Measuring the difference in rotifer densities in different locations of a lake
152,152,primary data,"Hawkins, PR; Holliday, J; Kathuria, A; Bowling, L",Change in cyanobacterial biovolume due to preservation by Lugol's Iodine,HARMFUL ALGAE,2005,4,6,1033,1043,10.1016/j.hal.2005.03.001,Change in cyanobacterial biovolume due to preservation by Lugol's Iodine
153,153,primary data,"Jankowski, T; Strauss, T; Ratte, HT",Trophic interactions of the freshwater jellyfish Craspedacusta sowerbii,JOURNAL OF PLANKTON RESEARCH,2005,27,8,811,823,10.1093/plankt/fbi055,"The predatory impact and the trophic role of the freshwater jellyfish, Craspedacusta sowerbii, was studied using microcosm and enclosure experiments as well as a 3-year pond survey"
157,157,primary data,"Peña-Castro, JM; Martínez-Jerónimo, F; Esparza-García, F; Cañizares-Villanueva, RO",Phenotypic plasticity in Scenedesmus incrassatulus (Chlorophyceae) in response to heavy metals stress,CHEMOSPHERE,2004,57,11,1629,1636,10.1016/j.chemosphere.2004.06.041,"phenotypic plasticity of Scenedesmus incrassatulus (a non-spiny, four-cell coenobium forming species) in response to EC50 value of copper, cadmium and hexavalent chromium"
159,159,primary data,"Boenigk, J; Stadler, P; Wiedlroither, A; Hahn, MW",Strain-specific differences in the grazing sensitivities of closely related ultramicrobacteria affiliated with the Polynucleobacter cluster,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2004,70,10,5787,5793,10.1128/AEM.70.10.5787-5793.2004,investigated the sensitivity of ultramicrobacteria affiliated with the cosmopolitan Polynucleobacter cluster to grazing by Spumella-like nanoflagellates.
160,160,primary data,"Mueller, CR; Eversole, AG; Turker, H; Brune, DE",Effect of silver carp Hypophthalmichthys molitrix and freshwater mussel Elliptio complanata filtration on the phytoplankton community of Partitioned Aquaculture System units,JOURNAL OF THE WORLD AQUACULTURE SOCIETY,2004,35,3,372,382,10.1111/j.1749-7345.2004.tb00101.x,examine the phytoplankton in PAS waters that were stocked with silver carp and mussles
162,162,primary data,"Carotenuto, Y; Lampert, W",Ingestion and incorporation of freshwater diatoms by Daphnia pulicaria:: do morphology and oxylipin production matter?,JOURNAL OF PLANKTON RESEARCH,2004,26,5,563,569,10.1093/plankt/fbh053,"In order to explain differences in the growth and reproduction of Daphnia pulicaria fed various freshwater diatoms, we measured ingestion rates and carbon incorporation for six cultured diatom species"
163,163,primary data,"Lemke, AM; Stoeckel, JA; Pegg, MA",Utilization of the exotic cladoceran Daphnia lumholtzi by juvenile fishes in an Illinois River floodplain lake,JOURNAL OF FISH BIOLOGY,2003,62,4,938,954,10.1046/j.1095-8649.2003.00090.x,quantify the utilization of D.lumholtzi by juvenile fishes
165,165,primary data,"Mages, M; Woelfl, S; von Tümpling, W",A method for trace element determination of single Daphnia specimens using total reflection X-ray fluorescence spectrometry,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,2001,56,11,2209,2217,10.1016/S0584-8547(01)00325-1,Two new preparation techniques for total-reflection X-ray fluorescence (TXRF) element determination of single freshwater crustacean specimens (dry weight: 3–40 μg ind−1) have been developed and tested using Daphnia pulex
167,167,primary data,"Jahan, N; Alam, MGM; Sugiura, N; Norman, CP; Maekawa, T",Seasonal variation in frequency of dividing cells of freshwater phytoplankters,ENVIRONMENTAL TECHNOLOGY,2001,22,4,429,438,10.1080/09593332208618267,Measured the frequency of dividiung cells of phytoplankton seasonally
168,168,primary data,"Gosselain, V; Hamilton, PB; Descy, JP",Estimating phytoplankton carbon from microscopic counts: an application for riverine systems,HYDROBIOLOGIA,2000,438,1-3,75,90,10.1023/A:1004161928957,"we focus on the way to convert biovolume to carbon biomass for algal assemblages of two rivers, using a computerized system that records dimensions of phytoplankton"
172,172,primary data,"Cecchine, G; Snell, TW",Toxicant exposure increases threshold food levels in freshwater rotifer populations,ENVIRONMENTAL TOXICOLOGY,1999,14,5,523,530,10.1002/(SICI)1522-7278(199912)14:5<523::AID-TOX6>3.0.CO;2-2,effect of food limitiation on rotifer sinsitivity to toxicants
173,173,primary data,"Dudycha, JL; Tessier, AJ","Natural genetic variation of life span, reproduction, and juvenile growth in Daphnia",EVOLUTION,1999,53,6,1744,1756,10.2307/2640437,high extrinsic mortality in natural populations shouldselect for accelerated reproductive investment and shortened life span
174,174,primary data,"Pfister, G; Sonntag, B; Posch, T",Comparison of a direct live count and an improved quantitative protargol stain (QPS) in determining abundance and cell volumes of pelagic freshwater protozoa,AQUATIC MICROBIAL ECOLOGY,1999,18,1,95,103,10.3354/ame018095,A direct live count and a routinely applicable modification of a quantitative protargol stain (QPS) were evaluated with respect to their reliability in determining and quantifying pelagic freshwater ciliates and heterotrophic and mixotrophic flagellates. 
178,178,primary data,"Kawabata, K; Urabe, J",Length-weight relationships of eight freshwater planktonic crustacean species in Japan,FRESHWATER BIOLOGY,1998,39,2,199,205,10.1046/j.1365-2427.1998.00267.x,The relationships between body length and dry weight were examined for eight species of freshwater planktonic crustacea common in Japan
179,179,primary data,"Ryan, SM; Dodson, SI",Seasonal analysis of Daphnia pulicaria swimming behavior,HYDROBIOLOGIA,1998,384,,111,118,10.1023/A:1003295210747, individual swimming behavior of Daphnia pulicaria over a yearly cycle in a temperate lake
180,180,primary data,"Telesh, IV; Rahkola, M; Viljanen, M",Carbon content of some freshwater rotifers,HYDROBIOLOGIA,1998,387,,355,360,10.1023/A:1017092021816,Carbon content of rotifers from 14 species was determined with the high temperature combustion method of Salonen
182,182,primary data,"Weisse, T; Kirchhoff, B",Feeding of the heterotrophic freshwater dinoflagellate Peridiniopsis berolinense on cryptophytes: Analysis by flow cytometry and electronic particle counting,AQUATIC MICROBIAL ECOLOGY,1997,12,2,153,164,10.3354/ame012153,"e measured feeding rates and food select~vlty of the heterotrophic freshwater dinoflagellate Peridiniopsis berolinense by analytic flow cytometry (AFC), electronic particle counting and
sizing (EPCS), and conventional microscopy. "
185,185,primary data,"Macek, M; Simek, K; Pernthaler, J; Vyhnalek, V; Psenner, R",Growth rates of dominant planktonic ciliates in two freshwater bodies of different trophic degree,JOURNAL OF PLANKTON RESEARCH,1996,18,4,463,481,10.1093/plankt/18.4.463,The in situ growth rates of dominant ciliate species were studied during and shortly after phytoplankton peaks in two water bodies
189,189,primary data,"HART, RC; JARVIS, AC",INSITU DETERMINATIONS OF BACTERIAL SELECTIVITY AND FILTRATION-RATES BY 5 CLADOCERAN ZOOPLANKTERS IN A HYPERTROPHIC SUBTROPICAL RESERVOIR,JOURNAL OF PLANKTON RESEARCH,1993,15,3,295,315,10.1093/plankt/15.3.295,Cladoceran in situ feeding rates on natural bacteria labelled with [methyl-3H] were studied
191,191,primary data,"MULLER, H; GELLER, W",MAXIMUM GROWTH-RATES OF AQUATIC CILIATED PROTOZOA - THE DEPENDENCE ON BODY SIZE AND TEMPERATURE RECONSIDERED,ARCHIV FUR HYDROBIOLOGIE,1993,126,3,315,327,NA6,Measuring maximum growth rates of freshwater cilliates
192,192,primary data,"VAQUE, D; PACE, ML",GRAZING ON BACTERIA BY FLAGELLATES AND CLADOCERANS IN LAKES OF CONTRASTING FOOD-WEB STRUCTURE,JOURNAL OF PLANKTON RESEARCH,1992,14,2,307,321,10.1093/plankt/14.2.307,tested the hypothesis that grazing on bacteria would vary between lakes with differing plankton community structures
193,193,primary data,"SHERR, EB; SHERR, BF; BERMAN, T; HADAS, O","HIGH ABUNDANCE OF PICOPLANKTON-INGESTING CILIATES DURING LATE FALL IN LAKE KINNERET, ISRAEL",JOURNAL OF PLANKTON RESEARCH,1991,13,4,789,799,10.1093/plankt/13.4.789,composition of lake kinneret
194,194,primary data,"MACISAAC, HJ; GILBERT, JJ",DISCRIMINATION BETWEEN EXPLOITATIVE AND INTERFERENCE COMPETITION BETWEEN CLADOCERA AND KERATELLA-COCHLEARIS,ECOLOGY,1991,72,3,924,937,10.2307/1940594,assessed the relative extent by which small- and large-bodied cladocerans suppressed the rotifer Keratella cochlearis by t
195,195,primary data,"CHOWFRASER, P; MALY, EJ","FACTORS GOVERNING CLUTCH SIZE IN 2 SPECIES OF DIAPTOMUS (COPEPODA, CALANOIDA)",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,1991,48,3,364,370,10.1139/f91-048,"conducted a synoptic survey of 1 1 wonstratifying lakes in eastern Quebec to investigate the relative importance of water temperature, food concentration ([Chi a]), female prosome length, copepod density (population and community densities), and mate availability (sex ratio and density of males) in determining the clutch size of two freshwater copepods, Biaptsmus minutus and B. sregsasensis"
196,196,primary data,"GIANI, A",IMPLICATIONS OF PHYTOPLANKTON CHEMICAL-COMPOSITION FOR ZOOPLANKTON PRODUCTION - EXPERIMENTAL-EVIDENCE,OECOLOGIA,1991,87,3,409,416,10.1007/BF00634599,"Growth and reproduction of two Daphnia species (Cladocera) from Lake Constance were measured experimentally in a through-flow laboratory system under different food conditions, in order to investigate the effect of food quality on zooplankton populations"
198,198,primary data,"ROCHA, O; DUNCAN, A",THE RELATIONSHIP BETWEEN CELL CARBON AND CELL-VOLUME IN FRESH-WATER ALGAL SPECIES USED IN ZOOPLANKTONIC STUDIES,JOURNAL OF PLANKTON RESEARCH,1985,7,2,279,294,10.1093/plankt/7.2.279,New records of cell carbon and cell volume are given for five species of freshwater algae cultured optimally for use in physiological studies on Daphnia spp.
199,199,primary data,"SMITH, REH; KALFF, J",COMPETITION FOR PHOSPHORUS AMONG CO-OCCURRING FRESH-WATER PHYTOPLANKTON,LIMNOLOGY AND OCEANOGRAPHY,1983,28,3,448,464,10.4319/lo.1983.28.3.0448,Competition at different levels of phosphorus availability was observed in continuous cultures of freshwater phytoplankton communities
202,202,secondary data - with data,"Weisse, T","Physiological mortality of planktonic ciliates: Estimates, causes, and consequences",LIMNOLOGY AND OCEANOGRAPHY,2024,69,3,524,532,10.1002/lno.12503,
203,203,secondary data - with data,"Denys, L; De Smet, WH","Diversity, Composition and Environmental Relations of Periphytic Rotifer Assemblages in Lentic Freshwater Bodies (Flanders, Lower Belgium)",DIVERSITY-BASEL,2023,15,12,,,10.3390/d15121214,
204,204,secondary data - with data,"Monjot, A; Bronner, G; Courtine, D; Cruaud, C; Da Silva, C; Aury, JM; Gavory, F; Moné, A; Vellet, A; Wawrzyniak, I; Colombet, J; Billard, H; Debroas, D; Lepère, C",Functional diversity of microbial eukaryotes in a meromictic lake: Coupling between metatranscriptomic and a trait-based approach,ENVIRONMENTAL MICROBIOLOGY,2023,25,12,3406,3422,10.1111/1462-2920.16531,
205,205,secondary data - with data,"Bautista-Regil, J; Sánchez, AJ; Salcedo, MA; Arredondo-Vega, BO; Ruiz-Carrera, V",Lipid Prospection Based on the Cellular Size of Phytoplankton Communities from Tropical Freshwater Ecosystems: A Systematic Literature Review,WATER,2023,15,21,,,10.3390/w15213774,
206,206,secondary data - with data (lmp),"Santangeli, A; Weigel, B; Anto, LH; Kaarlejärvi, E; Hällfors, M; Lehikoinen, A; Lindén, A; Salemaa, M; Tonteri, T; Merilä, P; Vuorio, K; Ovaskainen, O; Vanhatalo, J; Roslin, T; Saastamoinen, M",Mixed effects of a national protected area network on terrestrial and freshwater biodiversity,NATURE COMMUNICATIONS,2023,14,1,,,10.1038/s41467-023-41073-4,
207,207,secondary data - with data,"Tóth, F; Zsuga, K; Kerepeczki, E; Kovács, B; Magura, T; Körmöczi, L; Lövei, GL",Discordant spatiotemporal dynamics of functional and phylogenetic diversity of rotiferan communities exposed to aquaculture effluent,ECOLOGY AND EVOLUTION,2023,13,9,,,10.1002/ece3.10503,
208,208,secondary data - with data,"Zhu, YM; Qi, QS; Lu, XX; Fan, YW; Liu, Y; Tan, X",Local environmental variables outperform spatial and land use pattern in the maintenance and assembly of phytoplankton communities in the wetland cluster,JOURNAL OF CLEANER PRODUCTION,2023,419,,,,10.1016/j.jclepro.2023.138275,
211,211,secondary data - with data (lmp),"Weigel, B; Kotamäki, N; Malve, O; Vuorio, K; Ovaskainen, O",Macrosystem community change in lake phytoplankton and its implications for diversity and function,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2023,32,2,295,309,10.1111/geb.13626,
212,212,secondary data - just sources,"Bonilla, S; Aguilera, A; Aubriot, L; Huszar, V; Almanza, V; Haakonsson, S; Izaguirre, I; O'Farrell, I; Salazar, A; Becker, V; Cremella, B; Ferragut, C; Hernandez, E; Palacio, H; Rodrigues, LC; da Silva, LHS; Santana, LM; Santos, J; Somma, A; Ortega, L; Antoniades, D",Nutrients and not temperature are the key drivers for cyanobacterial biomass in the Americas,HARMFUL ALGAE,2023,121,,,,10.1016/j.hal.2022.102367,
214,214,secondary data - with data,"Pompeu, CR; Peñas, FJ; Goldenberg-Vilar, A; Alvarez-Cabria, M; Barquín, J",Assessing the effects of irrigation and hydropower dams on river communities using taxonomic and multiple trait-based approaches,ECOLOGICAL INDICATORS,2022,145,,,,10.1016/j.ecolind.2022.109662,
216,216,secondary data - with data,"Ben Othman, H; Pick, FR; Hlaili, AS; Leboulanger, C",Effects of polycyclic aromatic hydrocarbons on marine and freshwater microalgae - A review,JOURNAL OF HAZARDOUS MATERIALS,2023,441,,,,10.1016/j.jhazmat.2022.129869,
217,217,secondary data - with data,"Gu, YB; Liu, ZH; Li, JS; Meng, DL; Yuan, HJ; Zhang, M; Zhang, HT; Yin, HQ; Cong, J; Xiao, NW","Body size as key trait determining aquatic metacommunity assemblies in benthonic and planktonic habitats of Dongting Lake, China",ECOLOGICAL INDICATORS,2022,143,,,,10.1016/j.ecolind.2022.109355,
218,218,secondary data - with data,"Paquette, C; Griffiths, K; Gregory-Eaves, I; Beisner, BE",Zooplankton assemblage structure and diversity since pre-industrial times in relation to land use,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2022,31,11,2337,2352,10.1111/geb.13575,
219,219,primary data and secondary data - with data,"Lu, XT; Weisse, T",Top-down control of planktonic ciliates by microcrustacean predators is stronger in lakes than in the ocean,SCIENTIFIC REPORTS,2022,12,1,,,10.1038/s41598-022-14301-y,
220,220,secondary data - just sources (lmp),"Kovalenko, KE; Reavie, ED",Taxonomic bias in freshwater phytoplankton communities and its effect on environmental assessment metrics,PHYCOLOGIA,2022,61,4,436,443,10.1080/00318884.2022.2073077,
221,221,secondary data - with data,"Krzton, W; Kosiba, J; Wilk-Wozniak, E",Features that matter: studying how phytoplankton drives zooplankton community functional traits,HYDROBIOLOGIA,2022,849,12,2647,2662,10.1007/s10750-022-04863-3,
223,223,secondary data - just sources,"Wijewardene, L; Wu, NA; Hormann, G; Messyasz, B; Riis, T; Hölzel, C; Ulrich, U; Fohrer, N",Effects of the herbicides metazachlor and flufenacet on phytoplankton communities - A microcosm assay,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,2021,228,,,,10.1016/j.ecoenv.2021.113036,
224,224,secondary data - just sources (lmp),"Moody, EK; Butts, TJ; Fleck, R; Jeyasingh, PD; Wilkinson, GM",Eutrophication-driven eco-evolutionary dynamics indicated by differences in stoichiometric traits among populations of Daphnia pulicaria,FRESHWATER BIOLOGY,2022,67,2,353,364,10.1111/fwb.13845,
225,225,secondary data - just sources,"Stockenreiter, M; Navarro, JI; Buchberger, F; Stibor, H",Community shifts from eukaryote to cyanobacteria dominated phytoplankton: The role of mixing depth and light quality,FRESHWATER BIOLOGY,2021,66,11,2145,2157,10.1111/fwb.13822,
228,228,secondary data - with data,"Vagnon, C; Cattanéo, F; Goulon, C; Grimardias, D; Guillard, J; Frossard, V",An allometric niche model for species interactions in temperate freshwater ecosystems,ECOSPHERE,2021,12,3,,,10.1002/ecs2.3420,
229,229,primary data,"Borics, G; Lerf, V; T-Krasznai, E; Stankovic, I; Pickó, L; Béres, V; Várbíró, G","Biovolume and surface area calculations for microalgae, using realistic 3D models",SCIENCE OF THE TOTAL ENVIRONMENT,2021,773,,,,10.1016/j.scitotenv.2021.145538,
230,230,primary data,"Loewen, CJG; Vinebrooke, RD; Zurawell, RW",Quantifying seasonal succession of phytoplankton trait-environment associations in human-altered landscapes,LIMNOLOGY AND OCEANOGRAPHY,2021,66,4,1409,1423,10.1002/lno.11694,
231,231,primary data,"Gutierrez, MF; Simoes, NR; Frau, D; Saigo, M; Licursi, M",Responses of stream zooplankton diversity metrics to eutrophication and temporal environmental variability in agricultural catchments,ENVIRONMENTAL MONITORING AND ASSESSMENT,2020,192,12,,,10.1007/s10661-020-08766-5,
232,232,secondary data - just sources (lmp),"Su, HJ; Wang, R; Feng, YH; Li, YL; Li, Y; Chen, J; Xu, C; Wang, SP; Fang, JY; Xie, P","Long-term empirical evidence, early warning signals and multiple drivers of regime shifts in a lake ecosystem",JOURNAL OF ECOLOGY,2021,109,9,3182,3194,10.1111/1365-2745.13544,
