"","paper","doi"
"95","Bendif E., Probert I., Hervé A., Billard C., Goux D., Lelong C., Cadoret J., Véron B. : Integrative Taxonomy of the Pavlovophyceae (Haptophyta): A Reassessment, Protist, 2011, 162(5), 738-761, doi: 10.1016/j.protis.2011.05.001","10.1016/j.protis.2011.05.001"
"96","Okamoto N. : The Katablepharids are a Distant Sister Group of the Cryptophyta: A Proposal for Katablepharidophyta Divisio Nova/Kathablepharida Phylum Novum Based on SSU rDNA and Beta-Tubulin Phylogeny, Protist, 2005, 156(2), 163-179, doi: 10.1016/j.protis.2004.12.003","10.1016/j.protis.2004.12.003"
"97","Shalchian-Tabrizi K., Eikrem W., Klaveness D., Vaulot D., Minge M., Le Gall F., Romari K., Throndsen J., Botnen A., Massana R., Thomsen H., Jakobsen K. : Telonemia, a new protist phylum with affinity to chromist lineages, Proceedings of the Royal Society B: Biological Sciences, 2006, 273(1595), 1833-1842, doi: 10.1098/rspb.2006.3515","10.1098/rspb.2006.3515"
"98","Stoupin D., Kiss A., Arndt H., Shatilovich A., Gilichinsky D., Nitsche F. : Cryptic diversity within the choanoflagellate morphospecies complex Codosiga botrytis – Phylogeny and morphology of ancient and modern isolates, European Journal of Protistology, 2012, 48(4), 263-273, doi: 10.1016/j.ejop.2012.01.004","10.1016/j.ejop.2012.01.004"
"99","Hoffmeyer T., Burkhardt P. : Choanoflagellate models — Monosiga brevicollis and Salpingoeca rosetta, Current Opinion in Genetics &amp; Development, 2016, 39, 42-47, doi: 10.1016/j.gde.2016.05.016","10.1016/j.gde.2016.05.016"
"100","Hudson O., Buchholz M., Doyle V., Sundue M. : Multilocus phylogeny of Acrospermaceae: New epibiotic species and placement of Gonatophragmium, Pseudovirgaria, and Phaeodactylium anamorphs, Mycologia, 2019, 111(6), 1041-1055, doi: 10.1080/00275514.2019.1668905","10.1080/00275514.2019.1668905"
"101","Pinto V., Patriarca A. : Alternaria Species and Their Associated Mycotoxins, Methods in Molecular Biology, 2016, 13-32, doi: 10.1007/978-1-4939-6707-0_2","10.1007/978-1-4939-6707-0_2"
"102","Hodhod M., Abdel-Wahab M., Bahkali A., Hyde K. : Amarenographium soliumsp. nov. from Yanbu Mangroves in the Kingdom of Saudi Arabia, Cryptogamie, Mycologie, 2012, 33(3), 285-294, doi: 10.7872/crym.v33.iss3.2012.285","10.7872/crym.v33.iss3.2012.285"
"103","Prasongsuk S., Lotrakul P., Ali I., Bankeeree W., Punnapayak H. : The current status of Aureobasidium pullulans in biotechnology, Folia Microbiologica, 2017, 63(2), 129-140, doi: 10.1007/s12223-017-0561-4","10.1007/s12223-017-0561-4"
"104","Hughart R., Merrick M., Adelaja O., Bleasdale S., Harrington A., Tsoukas M. : Cutaneous phaeohyphomycosis caused by Biatriospora mackinnonii in a renal transplant recipient, JAAD Case Reports, 2016, 2(3), 230-232, doi: 10.1016/j.jdcr.2016.03.015","10.1016/j.jdcr.2016.03.015"
"105","Abdollahzadeh J., Groenewald J., Coetzee M., Wingfield M., Crous P. : Evolution of lifestyles in Capnodiales, Studies in Mycology, 2020, 95, 381-414, doi: 10.1016/j.simyco.2020.02.004","10.1016/j.simyco.2020.02.004"
"106","Jones E. B. G. and Ka-Lai P. : Marine Fungi, and Fungal-like Organisms, Berlin, Boston: De Gruyter, 2012, doi: 10.1515/9783110264067","10.1515/9783110264067"
"107","Batra N., Kaur H., Mohindra S., Singh S., Shamanth A., Rudramurthy S. : Cladosporium sphaerospermum causing brain abscess, a saprophyte turning pathogen: Case and review of published reports, Journal de Mycologie Médicale, 2019, 29(2), 180-184, doi: 10.1016/j.mycmed.2019.04.005","10.1016/j.mycmed.2019.04.005"
"108","Bengyella L. : Global insight into the distribution of velvet-like B protein in Cochliobolus species and implication in pathogenicity and fungicide resistance, World Journal of Microbiology and Biotechnology, 2018, 34(12), doi: 10.1007/s11274-018-2569-6","10.1007/s11274-018-2569-6"
"109","EFSA Panel on Plant Health (PLH), Jeger, M., Bragard, C., Caffier, D., Candresse, T., Chatzivassiliou, E., et al. (2018) Pest categorisation of Guignardia laricina. EFS2 16, doi: 10.2903/j.efsa.2018.5303","10.2903/j.efsa.2018.5303"
"110","Monkai J., Liu J. : Planistromellaceae (Botryosphaeriales), Cryptogamie, Mycologie, 2013, 34(1), 45, doi: 10.7872/crym.v34.iss1.2013.45","10.7872/crym.v34.iss1.2013.45"
"111","Ma, Wei, Lin, Zhang, Sun, Yang, et al. (2019) Brassica napus Infected with Leptosphaeria maculans. Genes 10: 296, doi: 10.3390/genes10040296","10.3390/genes10040296"
"112","Hernández-Restrepo M., Bezerra J., Tan Y., Wiederhold N., Crous P., Guarro J., Gené J. : Re-evaluation of Mycoleptodiscus species and morphologically similar fungi, Persoonia - Molecular Phylogeny and Evolution of Fungi, 2019, 42(1), 205-227, doi: 10.3767/persoonia.2019.42.08","10.3767/persoonia.2019.42.08"
"113","Churchill A. : Mycosphaerella fijiensis, the black leaf streak pathogen of banana: progress towards understanding pathogen biology and detection, disease development, and the challenges of control, Molecular Plant Pathology, 2010, 12(4), 307-328, doi: 10.1111/j.1364-3703.2010.00672.x","10.1111/j.1364-3703.2010.00672.x"
"114","Anisha C., Sachidanandan P., Radhakrishnan E. : Endophytic Paraconiothyrium sp. from Zingiber officinale Rosc. Displays Broad-Spectrum Antimicrobial Activity by Production of Danthron, Current Microbiology, 2017, 75(3), 343-352, doi: 10.1007/s00284-017-1387-7","10.1007/s00284-017-1387-7"
"115","Zhai Y., Huo G., Zhang Q., Li D., Wang D., Qi J., Han W., Gao J. : Phaeosphaones: Tyrosinase Inhibitory Thiodiketopiperazines from an Endophytic Phaeosphaeria fuckelii, Journal of Natural Products, 2020, 83(5), 1592-1597, doi: 10.1021/acs.jnatprod.0c00046","10.1021/acs.jnatprod.0c00046"
"116","Ud Din Z., De Medeiros L., Abreu L., Pfenning L., Lopes Jymeni D., Rodrigues-Filho E. : Differential metabolism of diastereoisomeric diterpenes by Preussia minima, found as endophytic fungus in Cupressus lusitanica, Bioorganic Chemistry, 2018, 78, 436-443, doi: 10.1016/j.bioorg.2018.04.003","10.1016/j.bioorg.2018.04.003"
"117","Kimunye J., Were E., Mussa F., Tazuba A., Jomanga K., Viljoen A., Swennen R., Muthoni F., Mahuku G. : Distribution of Pseudocercospora species causing Sigatoka leaf diseases of banana in Uganda and Tanzania, Plant Pathology, 2019, 69(1), 50-59, doi: 10.1111/ppa.13105","10.1111/ppa.13105"
"118","Chen Q., Hou L., Duan W., Crous P., Cai L. : Didymellaceae revisited, Studies in Mycology, 2017, 87(1), 105-159, doi: 10.1016/j.simyco.2017.06.002","10.1016/j.simyco.2017.06.002"
"119","Nouri MT., Lawrence DP., Yaghmour MA., Michailides TJ., Trouillas FP. : Neoscytalidium dimidiatum Causing Canker, Shoot Blight and Fruit Rot of Almond in California, Plant Disease, 2018, 102(8), 1638-1647, doi: 10.1094/pdis-12-17-1967-re","10.1094/pdis-12-17-1967-re"
"120","Hunter GC., Crous PW., Carnegie AJ., Wingfield MJ. : Teratosphaeria nubilosa , a serious leaf disease pathogen of Eucalyptus spp. in native and introduced areas, Molecular Plant Pathology, 2009, 10(1), 1-14, doi: 10.1111/j.1364-3703.2008.00516.x","10.1111/j.1364-3703.2008.00516.x"
"121","Liu X., Udayanga D., Luo Z., Chen L., Zhou D., Su H., Hyde K. : Backbone tree for Chaetothyriales with four new species of Minimelanolocus from aquatic habitats, Fungal Biology, 2015, 119(11), 1046-1062, doi: 10.1016/j.funbio.2015.08.005","10.1016/j.funbio.2015.08.005"
"122","Li D., De Hoog G., Saunte D., Van Den Ende A., Chen X. : Coniosporium epidermidis sp. nov., a new species from human skin, Studies in Mycology, 2008, 61, 131-136, doi: 10.3114/sim.2008.61.13","10.3114/sim.2008.61.13"
"123","Rajandran S., Razali K., Mustapha M., Palaniappan P., Amran F. : Cyphellophora sp. Isolated from a Corneal Ulcer in the Human Eye, Case Reports in Ophthalmological Medicine, 2020, 2020, 1-3, doi: 10.1155/2020/5861258","10.1155/2020/5861258"
"124","Kirchhoff L., Olsowski M., Rath P., Steinmann J. : Exophiala dermatitidis: Key issues of an opportunistic fungal pathogen, Virulence, 2019, 10(1), 984-998, doi: 10.1080/21505594.2019.1596504","10.1080/21505594.2019.1596504"
"125","Martin-Gomez M., Valenzuela-Lopez N., Cano-Lira J. : Knufia epidermidis: a rare finding in a paediatric dermatological sample, Clinical Microbiology and Infection, 2019, 25(1), 65-66, doi: 10.1016/j.cmi.2018.08.006","10.1016/j.cmi.2018.08.006"
"126","Jurick W., Peng H., Beard H., Garrett W., Lichtner F., Luciano-Rosario D., Macarisin O., Liu Y., Peter K., Gaskins V., Yang T., Mowery J., Bauchan G., Keller N., Cooper B. : Blistering1 Modulates Penicillium expansum Virulence Via Vesicle-mediated Protein Secretion, Molecular &amp; Cellular Proteomics, 2020, 19(2), 344-361, doi: 10.1074/mcp.ra119.001831","10.1074/mcp.ra119.001831"
"127","Purvis O. : Adaptation and interaction of saxicolous crustose lichens with metals, Botanical Studies, 2014, 55(1), doi: 10.1186/1999-3110-55-23","10.1186/1999-3110-55-23"
"128","Sheard J., May P. : A Synopsis of the Species of Amandinea (Lichenized Ascomycetes, Physciaceae) as Presently Known in North America, The Bryologist, 1997, 100(2), 159, doi: 10.2307/3244044","10.2307/3244044"
"129","Liu D., Wang L., Wang X., Hur J. : Two New Species of the Genus Candelariella from China and Korea, Mycobiology, 2019, 47(1), 40-49, doi: 10.1080/12298093.2019.1583785","10.1080/12298093.2019.1583785"
"130","Wang Y., Zheng Y., Wang X., Wei X., Wei J. : Lichen-Associated Fungal Community in Hypogymnia hypotrypa (Parmeliaceae, Ascomycota) Affected by Geographic Distribution and Altitude, Frontiers in Microbiology, 2016, 7, doi: 10.3389/fmicb.2016.01231","10.3389/fmicb.2016.01231"
"131","Pino-Bodas R., Zhurbenko M., Stenroos S. : Phylogenetic placement within  Lecanoromycetes of lichenicolous fungi associated with  Cladonia  and some other genera, Persoonia - Molecular Phylogeny and Evolution of Fungi, 2017, 39(1), 91-117, doi: 10.3767/persoonia.2017.39.05","10.3767/persoonia.2017.39.05"
"132","Seena S., Casotti C., Cornut J. : Inter- and intraspecific functional variability of aquatic fungal decomposers and freshwater ecosystem processes, Science of The Total Environment, 2020, 707, 135570, doi: 10.1016/j.scitotenv.2019.135570","10.1016/j.scitotenv.2019.135570"
"133","Réblová M., Gams W., Štěpánek V. : The new hyphomycete genera Brachyalara and Infundichalara, the similar Exochalara and species of ‘Phialophora sect. Catenulatae’ (Leotiomycetes), Fungal Diversity, 2011, 46(1), 67-86, doi: 10.1007/s13225-010-0077-6","10.1007/s13225-010-0077-6"
"134","He Q., Li Q., Bai L., Man L., Zhao W., Luo X., Bao S. : Powdery Mildew Caused by Erysiphe sedi on Crassula capitella in China, Plant Disease, 2020, 104(12), 3250, doi: 10.1094/pdis-06-20-1334-pdn","10.1094/pdis-06-20-1334-pdn"
"135","Williamson B., Tudzynski B., Tudzynski P., Van Kan J. : Botrytis cinerea: the cause of grey mould disease, Molecular Plant Pathology, 2007, 8(5), 561-580, doi: 10.1111/j.1364-3703.2007.00417.x","10.1111/j.1364-3703.2007.00417.x"
"136","Hongsanan S., Hyde K., Bahkali A., Camporesi E., Chomnunti P., Ekanayaka H., Gomes A., Hofstetter V., Jones E., Pinho D., Pereira O., Tian Q., Wanasinghe D., Xu J., Buyck B. : Fungal Biodiversity Profiles 11–20, Cryptogamie, Mycologie, 2015, 36(3), 355-380, doi: 10.7872/crym/v36.iss3.2015.355","10.7872/crym/v36.iss3.2015.355"
"137","Johnston P., Park D., Manning M. : Neobulgaria alba sp. nov. and its Phialophora-like anamorph in native forests and kiwifruit orchards in New Zealand, Mycotaxon, 2010, 113(1), 385-396, doi: 10.5248/113.385","10.5248/113.385"
"138","Ekanayaka A. : Preliminary classification of Leotiomycetes, Mycosphere, 2019, 10(1), 310-489, doi: 10.5943/mycosphere/10/1/7","10.5943/mycosphere/10/1/7"
"139","Wang M., Jiang X., Wu W., Hao Y., Su Y., Cai L., Xiang M., Liu X. : Psychrophilic fungi from the world's roof, Persoonia - Molecular Phylogeny and Evolution of Fungi, 2015, 34(1), 100-112, doi: 10.3767/003158515x685878","10.3767/003158515x685878"
"140","Piontelli L. E., Cruz C R., Toro .S.M. M. : COPROPHILOUS FUNGAL COMMUNITY OF WILD RABBIT IN A PARK OF A HOSPITAL (CHILE): A TAXONOMIC APPROACH, Boletín Micológico, 2006, 21, doi: 10.22370/bolmicol.2006.21.0.239","10.22370/bolmicol.2006.21.0.239"
"141","Vizzini A., Lantieri A., Medardi G., Ercole E., Cacialli G.: Phylogeny and morphology of the Peziza ammophila complex (Pezizales, Ascomycota), with description of two new species and a new form, Mycological Progress, 2016, 15(8), 883-901, doi: 10.1007/s11557-016-1213-9","10.1007/s11557-016-1213-9"
"142","Duarte S., Bärlocher F., Pascoal C., Cássio F. : Biogeography of aquatic hyphomycetes: Current knowledge and future perspectives, Fungal Ecology, 2016, 19, 169-181, doi: 10.1016/j.funeco.2015.06.002","10.1016/j.funeco.2015.06.002"
"143","Wu W., Sutton B. : A reassessment of some Discosia species, Mycological Research, 1996, 100(3), 287-290, doi: 10.1016/s0953-7562(96)80155-9","10.1016/s0953-7562(96)80155-9"
"144","Desjardins A. : GIBBERELLA FROM A (VENACEAE) TO Z (EAE), Annual Review of Phytopathology, 2003, 41(1), 177-198, doi: 10.1146/annurev.phyto.41.011703.115501","10.1146/annurev.phyto.41.011703.115501"
"145","Lu L., Cheng B., Du D., Hu X., Peng A., Pu Z., Zhang X., Huang Z., Chen G. : Morphological, molecular and virulence characterization of three Lencanicillium species infecting Asian citrus psyllids in Huangyan citrus groves, Journal of Invertebrate Pathology, 2015, 125, 45-55, doi: 10.1016/j.jip.2015.01.002","10.1016/j.jip.2015.01.002"
"146","Perdomo H., García D., Gené J., Cano J., Sutton D., Summerbell R., Guarro J. : Phialemoniopsis, a new genus of Sordariomycetes, and new species ofPhialemoniumandLecythophora, Mycologia, 2013, 105(2), 398-421, doi: 10.3852/12-137","10.3852/12-137"
"147","Marin-Felix Y., Guarro J., Cano-Lira J., García D., Miller A., Stchigel A. : Melanospora (Sordariomycetes, Ascomycota) and its relatives, MycoKeys, 2018, 44, 81-122, doi: 10.3897/mycokeys.44.29742","10.3897/mycokeys.44.29742"
"148","Sandoval-Denis M., Gené J., Sutton D., Cano-Lira J., De Hoog G., Decock C., Wiederhold N., Guarro J. : Redefining Microascus, Scopulariopsis and allied genera, Persoonia - Molecular Phylogeny and Evolution of Fungi, 2016, 36(1), 1-36, doi: 10.3767/003158516x688027","10.3767/003158516x688027"
"149","Evans H., Elliot S., Hughes D. : Hidden Diversity Behind the Zombie-Ant Fungus Ophiocordyceps unilateralis: Four New Species Described from Carpenter Ants in Minas Gerais, Brazil, PLoS ONE, 2011, 6(3), e17024, doi: 10.1371/journal.pone.0017024","10.1371/journal.pone.0017024"
"150","Nair V., Kostichka C., Kuntz J. : Sirococcus Clavigignenti-Juglandacearum: An Undescribed Species Causing Canker on Butternut, Mycologia, 1979, 71(3), 641-646, doi: 10.1080/00275514.1979.12021049","10.1080/00275514.1979.12021049"
"151","Linnakoski R., De Beer Z., Rousi M., Solheim H., Wingfield M. : Ophiostoma denticiliatum sp. nov. and other Ophiostoma species associated with the birch bark beetle in southern Norway, Persoonia - Molecular Phylogeny and Evolution of Fungi, 2009, 23(1), 9-15, doi: 10.3767/003158509x468038","10.3767/003158509x468038"
"152","Zhang Z., Chen W., Zou X., Han Y., Huang J., Liang Z., Deshmukh S. : Phylogeny and taxonomy of two new Plectosphaerella (Plectosphaerellaceae, Glomerellales) species from China, MycoKeys, 2019, 57, 47-60, doi: 10.3897/mycokeys.57.36628","10.3897/mycokeys.57.36628"
"153","Ebrahimi L., Fotouhifar K. : Identification of some fungi accompanying the scab symptoms in Iran, Mycologia Iranica, 2016, 3(1), 25-37, doi: 10.22043/mi.2017.48716.1077","10.22043/mi.2017.48716.1077"
"154","Wei D., Wanasinghe D., Hyde K., Mortimer P., Xu J., Xiao Y., Bhunjun C., To-Anun C. : The genus Simplicillium, MycoKeys, 2019, 60, 69-92, doi: 10.3897/mycokeys.60.38040","10.3897/mycokeys.60.38040"
"155","Kück U., Pöggeler S., Nowrousian M., Nolting N., Engh I. : Sordaria macrospora, a Model System for Fungal Development, Physiology and Genetics, 2009, 17-39, doi: 10.1007/978-3-642-00286-1_2","10.1007/978-3-642-00286-1_2"
"156","Perera R. : New species of Thozetella and Chaetosphaeria and new records of Chaetosphaeria and Tainosphaeria from Thailand, Mycosphere, 2016, 7(9), 1301-1321, doi: 10.5943/mycosphere/7/9/5","10.5943/mycosphere/7/9/5"
"157","Li J., Wu Y., Chen K., Wang Y., Hu J., Wei Y., Yang H. : Trichoderma cyanodichotomus sp. nov., a new soil-inhabiting species with a potential for biological control, Canadian Journal of Microbiology, 2018, 64(12), 1020-1029, doi: 10.1139/cjm-2018-0224","10.1139/cjm-2018-0224"
"158","Abdel-Aziz FA., Bahkali AH., Elgorban AM., Abdel-Wahab MA. : Pleurotheciella nilotica sp. nov. (Pleurotheciales, Ascomycota) from freshwater habitats in Egypt, Nova Hedwigia, 2020, 110(1-2), 91-98, doi: 10.1127/nova_hedwigia/2020/0570","10.1127/nova_hedwigia/2020/0570"
"159","Suh S., Blackwell M. : Four new yeasts in theCandida mesentericaclade associated with basidiocarp-feeding beetles, Mycologia, 2005, 97(1), 167-177, doi: 10.1080/15572536.2006.11832850","10.1080/15572536.2006.11832850"
"160","Breuer U., Harms H. : Debaryomyces hansenii — an extremophilic yeast with biotechnological potential, Yeast, 2006, 23(6), 415-437, doi: 10.1002/yea.1374","10.1002/yea.1374"
"161","De Hoog G., Smith M. : Galactomyces Redhead &amp; Malloch (1977), The Yeasts, 2011, null, 413-420, doi: 10.1016/b978-0-444-52149-1.00031-8","10.1016/b978-0-444-52149-1.00031-8"
"162","Cadez N., Smith M. : Hanseniaspora Zikes (1912), The Yeasts, 2011, 421-434, doi: 10.1016/b978-0-444-52149-1.00032-x","10.1016/b978-0-444-52149-1.00032-x"
"163","Yarrow D. : Pichia onychis sp.n., Antonie van Leeuwenhoek, 1965, 31(1), 465-467, doi: 10.1007/bf02045923","10.1007/bf02045923"
"164","James S., Cai J., Roberts I., Collins M. : A Phylogenetic Analysis of the Genus Saccharomyces Based on 18S rRNA Gene Sequences: Description of Saccharomyces kunashirensis sp. nov. and Saccharomyces martiniae sp. nov., International Journal of Systematic Bacteriology, 1997, 47(2), 453-460, doi: 10.1099/00207713-47-2-453","10.1099/00207713-47-2-453"
"165","Smith M. : Zygoascus hellenicus gen. nov., sp. nov., the teleomorph of Candida hellenica (= C. inositophila = C. steatolytica), Antonie van Leeuwenhoek, 1986, 52(1), 25-37, doi: 10.1007/bf00402684","10.1007/bf00402684"
"166","Kurtzman C. : Protomyces Unger (1833), The Yeasts, 2011, 725-731, doi: 10.1016/b978-0-444-52149-1.00060-4","10.1016/b978-0-444-52149-1.00060-4"
"167","Fonseca Á., Rodrigues M. : Taphrina, The Yeasts, 2011, 823-858, doi: 10.1016/b978-0-444-52149-1.00073-2","10.1016/b978-0-444-52149-1.00073-2"
"168","Uchida J., Aragaki M., Yahata P. : Basidiospore Formation byCeratobasidiumSp. on Agar, Mycologia, 1986, 78(4), 587-592, doi: 10.1080/00275514.1986.12025293","10.1080/00275514.1986.12025293"
"169","Libkind D., Gadanho M., Van Broock M., Sampaio J. : Cystofilobasidium lacus-mascardii sp. nov., a basidiomycetous yeast species isolated from aquatic environments of the Patagonian Andes, and Cystofilobasidium macerans sp. nov., the sexual stage of Cryptococcus macerans, INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY, 2009, 59(3), 622-630, doi: 10.1099/ijs.0.004390-0","10.1099/ijs.0.004390-0"
"170","Fell J., Guého-Kellermann E. : Guehomyces Fell &amp; Scorzetti (2004), The Yeasts, 2011, 1773-1775, doi: 10.1016/b978-0-444-52149-1.00143-9","10.1016/b978-0-444-52149-1.00143-9"
"171","Greslebin A., Rajchenberg M. : The genus Hyphodontia in the Patagonian Andes forests of Argentina, Mycologia, 2000, 92(6), 1155-1165, doi: 10.1080/00275514.2000.12061263","10.1080/00275514.2000.12061263"
"172","Mcgovern R., Horita H., Stiles C., Seijo T. : Host Range of Itersonilia perplexans and Management of Itersonilia Petal Blight of China Aster, Plant Health Progress, 2006, 7(1), doi: 10.1094/php-2006-1018-02-rs","10.1094/php-2006-1018-02-rs"
"173","Tsuji M., Tanabe Y., Vincent W., Uchida M. : Mrakia arctica sp. nov., a new psychrophilic yeast isolated from an ice island in the Canadian High Arctic, Mycoscience, 2018, 59(1), 54-58, doi: 10.1016/j.myc.2017.08.006","10.1016/j.myc.2017.08.006"
"174","Margesin R., Fell J. : Mrakiella cryoconiti gen. nov., sp. nov., a psychrophilic, anamorphic, basidiomycetous yeast from alpine and arctic habitats, INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY, 2008, 58(12), 2977-2982, doi: 10.1099/ijs.0.2008/000836-0","10.1099/ijs.0.2008/000836-0"
"175","Hamamoto M., Nakase T. : Ballistosporous yeasts found on the surface of plant materials collected in New Zealand, Antonie van Leeuwenhoek, 1996, 69(3), 279-291, doi: 10.1007/bf00399617","10.1007/bf00399617"
"176","Fell J., Phaff H. : Three new yeasts;Cryptococcus dimennae, Cryptococcus kutzingii andCryptococcus lactativorus spp. n., Antonie van Leeuwenhoek, 1967, 33(1), 464-472, doi: 10.1007/bf02045598","10.1007/bf02045598"
"177","Buhagiar R., Yarrow D., Barnett J. : Bullera crocea and Bullera armeniaca, Two New Yeasts from Fruit and Vegetables, Microbiology, 1983, 129(10), 3149-3155, doi: 10.1099/00221287-129-10-3149","10.1099/00221287-129-10-3149"
"178","Kwon-Chung K. : Filobasidium Olive (1968), The Yeasts, 2011, 1457-1465, doi: 10.1016/b978-0-444-52149-1.00115-4","10.1016/b978-0-444-52149-1.00115-4"
"179","Middelhoven W., Scorzetti G., Fell J. : Systematics of the anamorphic basidiomycetous yeast genus Trichosporon Behrend with the description of five novel species: Trichosporon vadense, T. smithiae, T. dehoogii, T. scarabaeorum and T. gamsii, International Journal of Systematic and Evolutionary Microbiology, 2004, 54(3), 975-986, doi: 10.1099/ijs.0.02859-0","10.1099/ijs.0.02859-0"
"180","Nakase T., Bai F., Boekhout T. : Bensingtonia Ingold emend. Nakase &amp; Boekhout (1986), The Yeasts, 2011, 1607-1622, doi: 10.1016/b978-0-444-52149-1.00136-1","10.1016/b978-0-444-52149-1.00136-1"
"181","Sampaio J., Fell J., Gadanho M., Bauer R. : Kurtzmanomyces insolitus sp.nov., a new Anamorphic Heterobasidiomycetous Yeast Species, Systematic and Applied Microbiology, 1999, 22(4), 619-625, doi: 10.1016/s0723-2020(99)80015-0","10.1016/s0723-2020(99)80015-0"
"182","Hamamoto M., Sugiyama J., Komagata K. : Transfer of Rhodotorula hasegawae to a new basidiomycetous genus Erythrobasidium as Erythrobasidium hasegawae comb. nov., The Journal of General and Applied Microbiology, 1988, 34(3), 279-287, doi: 10.2323/jgam.34.279","10.2323/jgam.34.279"
"183","Buhagiar R. : Torulopsis Bacarum, Torulopsis Pustula and Torulopsis Multis-Gemmis sp. nov., Three New Yeasts from Soft Fruit, Journal of General Microbiology, 1975, 86(1), 1-11, doi: 10.1099/00221287-86-1-1","10.1099/00221287-86-1-1"
"184","Hamamoto M., Boekhout T., Nakase T. : Sporobolomyces Kluyver &amp; van Niel (1924), The Yeasts, 2011, 1929-1990, doi: 10.1016/b978-0-444-52149-1.00156-7","10.1016/b978-0-444-52149-1.00156-7"
"185","Sampaio J. : Leucosporidiella Sampaio (2003), The Yeasts, 2011, 1801-1806, doi: 10.1016/b978-0-444-52149-1.00147-6","10.1016/b978-0-444-52149-1.00147-6"
"186","Sampaio J. : Sporidiobolus Nyland (1949), The Yeasts, 2011, 1549-1561, doi: 10.1016/b978-0-444-52149-1.00130-0","10.1016/b978-0-444-52149-1.00130-0"
"187","Pusz W., Malicki M., Patejuk K., Ronikier M., Suchan T. : First record of Exobasidium rhododendri (Fuckel) C. E. Cramer in Poland, Acta Societatis Botanicorum Poloniae, 2019, 88(3), doi: 10.5586/asbp.3632","10.5586/asbp.3632"
"188","Guého E., Midgley G., Guillot J. : The genus Malassezia with description of four new species, Antonie van Leeuwenhoek, 1996, 69(4), 337-355, doi: 10.1007/bf00399623","10.1007/bf00399623"
"189","Limtong S., Polburee P., Chamnanpa T., Khunnamwong P., Limtong P. : Meira siamensis sp. nov., a novel anamorphic ustilaginomycetous yeast species isolated from the vetiver grass phylloplane, International Journal of Systematic and Evolutionary Microbiology, 2017, 67(7), 2418-2422, doi: 10.1099/ijsem.0.001969","10.1099/ijsem.0.001969"
"190","Carris L., Castlebury L., Goates B. : Nonsystemic Bunt Fungi—Tilletia indica and T. horrida: A Review of History, Systematics, and Biology, Annual Review of Phytopathology, 2006, 44(1), 113-133, doi: 10.1146/annurev.phyto.44.070505.143402","10.1146/annurev.phyto.44.070505.143402"
"191","Nyland G. : The Genus Tilletiopsis, Mycologia, 1950, 42(4), 487-496, doi: 10.1080/00275514.1950.12017853","10.1080/00275514.1950.12017853"
"192","Boekhout T. : Pseudozyma Bandoni emend. Boekhout (1985) and a comparison with the yeast state of Ustilago maydis (De Candolle), The Yeasts, 2011, 1857-1868, doi: 10.1016/b978-0-444-52149-1.00153-1","10.1016/b978-0-444-52149-1.00153-1"
"193","Ghareeb H., Becker A., Iven T., Feussner I., Schirawski J. : Sporisorium reilianumInfection Changes Inflorescence and Branching Architectures of Maize, Plant Physiology, 2011, 156(4), 2037-2052, doi: 10.1104/pp.111.179499","10.1104/pp.111.179499"
"194","J. B., E. M., E. C. : Investigating Host Induced Meiosis in a Fungal Plant Pathogen, Meiosis - Molecular Mechanisms and Cytogenetic Diversity, 2012, doi: 10.5772/30032","10.5772/30032"
"195","Kralj KunčIč M., Kogej T., Drobne D., Gunde-Cimerman N. : Morphological Response of the Halophilic Fungal Genus Wallemia to High Salinity, Applied and Environmental Microbiology, 2010, 76(1), 329-337, doi: 10.1128/aem.02318-09","10.1128/aem.02318-09"
"196","Longcore J., Simmons D. : Chytridiomycota, eLS, 2012, doi: 10.1002/9780470015902.a0000349.pub3","10.1002/9780470015902.a0000349.pub3"
"197","Longcore J. : Morphology and Zoospore Ultrastructure of Chytriomyces Angularis Sp. Nov. (Chytridiales), Mycologia, 1992, 84(3), 442-451, doi: 10.1080/00275514.1992.12026158","10.1080/00275514.1992.12026158"
"198","Simmons D., James T., Meyer A., Longcore J. : Lobulomycetales, a new order in the Chytridiomycota, Mycological Research, 2009, 113(4), 450-460, doi: 10.1016/j.mycres.2008.11.019","10.1016/j.mycres.2008.11.019"
"199","Vélez C., Letcher P., Schultz S., Mataloni G., Lefèvre E., Powell M. : Three new genera in Chytridiales from aquatic habitats in Argentina, Mycologia, 2013, 105(5), 1251-1265, doi: 10.3852/12-353","10.3852/12-353"
"200","Dogma Jr I. J. : Studies on chitinophilic Siphonaria, Diplophlyctis, and Rhizoclosmatium, chytridiales. V. Diplophlyctis asteroidea, a new species with asexual resting spores, Transactions of the British Mycological Society, (1976), 67(2), 255-264, doi: 10.1016/S0007-1536(76)80131-3","10.1016/S0007-1536(76)80131-3"
"201","Simmons D. : Phylogeny of Powellomycetaceae fam. nov. and description of Geranomyces variabilis gen. et comb. nov., Mycologia, 2011, 103(6), 1411-1420, doi: 10.3852/11-039","10.3852/11-039"
