Sample,tank,Species,length,community,treatment
4,12,Calanoid,0.879,Naive,Caged
4,12,Calanoid,0.97,Naive,Caged
4,12,Calanoid,0.865,Naive,Caged
4,12,Calanoid,1.018,Naive,Caged
4,12,Calanoid,0.651,Naive,Caged
4,12,Ceriodaphnia,0.402,Naive,Caged
4,12,Ceriodaphnia,0.408,Naive,Caged
4,12,Ceriodaphnia,0.475,Naive,Caged
4,12,Ceriodaphnia,0.354,Naive,Caged
4,12,Ceriodaphnia,0.41,Naive,Caged
4,12,Ceriodaphnia,0.508,Naive,Caged
4,12,Ceriodaphnia,0.522,Naive,Caged
4,12,Ceriodaphnia,0.41,Naive,Caged
4,12,Ceriodaphnia,0.424,Naive,Caged
4,12,Ceriodaphnia,0.234,Naive,Caged
4,12,Ceriodaphnia,0.361,Naive,Caged
4,12,Ceriodaphnia,0.358,Naive,Caged
4,12,Ceriodaphnia,0.39,Naive,Caged
4,12,Ceriodaphnia,0.443,Naive,Caged
4,12,Ceriodaphnia,0.367,Naive,Caged
4,12,Ceriodaphnia,0.312,Naive,Caged
4,12,Ceriodaphnia,0.356,Naive,Caged
4,12,Ceriodaphnia,0.328,Naive,Caged
4,12,Ceriodaphnia,0.381,Naive,Caged
4,12,Ceriodaphnia,0.419,Naive,Caged
4,12,Ceriodaphnia,0.3,Naive,Caged
4,12,Ceriodaphnia,0.4,Naive,Caged
4,12,Ceriodaphnia,0.457,Naive,Caged
4,12,Ceriodaphnia,0.362,Naive,Caged
4,12,Ceriodaphnia,0.329,Naive,Caged
4,12,Ceriodaphnia,0.404,Naive,Caged
4,12,Ceriodaphnia,0.599,Naive,Caged
4,12,Ceriodaphnia,0.422,Naive,Caged
4,12,Ceriodaphnia,0.458,Naive,Caged
4,12,Ceriodaphnia,0.442,Naive,Caged
4,12,Ceriodaphnia,0.343,Naive,Caged
4,12,Ceriodaphnia,0.366,Naive,Caged
4,12,Cyclopoid,0.27894,Naive,Caged
4,12,Daphnia,1.153,Naive,Caged
4,12,Daphnia,0.938,Naive,Caged
4,12,Daphnia,0.949,Naive,Caged
4,12,Daphnia,0.954,Naive,Caged
4,12,Daphnia,0.905,Naive,Caged
4,12,Daphnia,0.842,Naive,Caged
4,12,Daphnia,1.15,Naive,Caged
4,12,Daphnia,0.708,Naive,Caged
4,12,Daphnia,0.568,Naive,Caged
4,12,Daphnia,0.771,Naive,Caged
4,12,Daphnia,0.856,Naive,Caged
4,12,Daphnia,0.503,Naive,Caged
4,12,Daphnia,0.504,Naive,Caged
4,12,Daphnia,0.619,Naive,Caged
4,12,Daphnia,0.668,Naive,Caged
4,12,Daphnia,0.876,Naive,Caged
4,12,Daphnia,0.695,Naive,Caged
4,12,Daphnia,0.902,Naive,Caged
4,12,Daphnia,0.897,Naive,Caged
4,12,Daphnia,0.595,Naive,Caged
4,12,Daphnia,0.799,Naive,Caged
4,12,Daphnia,0.821,Naive,Caged
4,12,Daphnia,0.788,Naive,Caged
4,12,Daphnia,1.282,Naive,Caged
4,12,Polyphemus,0.549,Naive,Caged
4,12,Polyphemus,0.576,Naive,Caged
4,12,Polyphemus,0.644,Naive,Caged
4,12,Polyphemus,0.276,Naive,Caged
4,12,Polyphemus,0.643,Naive,Caged
4,12,Polyphemus,0.609,Naive,Caged
4,12,Polyphemus,0.401,Naive,Caged
4,12,Polyphemus,0.417,Naive,Caged
4,12,Polyphemus,0.41,Naive,Caged
4,12,Polyphemus,0.399,Naive,Caged
4,12,Polyphemus,0.543,Naive,Caged
4,12,Polyphemus,0.494,Naive,Caged
4,12,Polyphemus,0.476,Naive,Caged
4,12,Polyphemus,0.588,Naive,Caged
4,12,Polyphemus,0.671,Naive,Caged
4,12,Polyphemus,0.518,Naive,Caged
4,12,Polyphemus,0.668,Naive,Caged
4,12,Polyphemus,0.356,Naive,Caged
4,12,Polyphemus,0.639,Naive,Caged
4,12,Polyphemus,0.498,Naive,Caged
4,12,Polyphemus,0.483,Naive,Caged
4,12,Polyphemus,0.598,Naive,Caged
4,12,Polyphemus,0.5,Naive,Caged
4,12,Polyphemus,0.433,Naive,Caged
4,12,Polyphemus,0.545,Naive,Caged
4,12,Polyphemus,0.515,Naive,Caged
4,12,Polyphemus,0.409,Naive,Caged
4,12,Polyphemus,0.423,Naive,Caged
4,12,Polyphemus,0.778,Naive,Caged
4,13,Calanoid,0.868,Naive,Control
4,13,Calanoid,0.953,Naive,Control
4,13,Calanoid,1.04,Naive,Control
4,13,Calanoid,0.825,Naive,Control
4,13,Calanoid,1.031,Naive,Control
4,13,Calanoid,0.987,Naive,Control
4,13,Calanoid,1.039,Naive,Control
4,13,Calanoid,0.999,Naive,Control
4,13,Calanoid,0.838,Naive,Control
4,13,Calanoid,0.993,Naive,Control
4,13,Calanoid,0.979,Naive,Control
4,13,Calanoid,0.392,Naive,Control
4,13,Calanoid,0.797,Naive,Control
4,13,Calanoid,1.088,Naive,Control
4,13,Calanoid,1.003,Naive,Control
4,13,Calanoid,1.1,Naive,Control
4,13,Calanoid,0.812,Naive,Control
4,13,Calanoid,0.719,Naive,Control
4,13,Calanoid,0.841,Naive,Control
4,13,Calanoid,0.791,Naive,Control
4,13,Calanoid,0.859,Naive,Control
4,13,Calanoid,0.509,Naive,Control
4,13,Calanoid,1.059,Naive,Control
4,13,Calanoid,1.028,Naive,Control
4,13,Calanoid,0.76,Naive,Control
4,13,Calanoid,0.383,Naive,Control
4,13,Calanoid,0.963,Naive,Control
4,13,Calanoid,0.998,Naive,Control
4,13,Calanoid,0.825,Naive,Control
4,13,Ceriodaphnia,0.324,Naive,Control
4,13,Ceriodaphnia,0.316,Naive,Control
4,13,Ceriodaphnia,0.548,Naive,Control
4,13,Ceriodaphnia,0.419,Naive,Control
4,13,Ceriodaphnia,0.595,Naive,Control
4,13,Ceriodaphnia,0.347,Naive,Control
4,13,Ceriodaphnia,0.361,Naive,Control
4,13,Ceriodaphnia,0.397,Naive,Control
4,13,Ceriodaphnia,0.363,Naive,Control
4,13,Ceriodaphnia,0.443,Naive,Control
4,13,Ceriodaphnia,0.339,Naive,Control
4,13,Ceriodaphnia,0.356,Naive,Control
4,13,Ceriodaphnia,0.39,Naive,Control
4,13,Ceriodaphnia,0.371,Naive,Control
4,13,Ceriodaphnia,0.418,Naive,Control
4,13,Ceriodaphnia,0.398,Naive,Control
4,13,Cyclopoid,0.21816,Naive,Control
4,13,Cyclopoid,0.198245,Naive,Control
4,13,Cyclopoid,0.20606,Naive,Control
4,13,Cyclopoid,0.275283,Naive,Control
4,13,Cyclopoid,0.218698,Naive,Control
4,13,Cyclopoid,0.229173,Naive,Control
4,13,Cyclopoid,0.196198,Naive,Control
4,13,Cyclopoid,0.251392,Naive,Control
4,13,Cyclopoid,0.239045,Naive,Control
4,13,Cyclopoid,0.219725,Naive,Control
4,13,Cyclopoid,0.334734,Naive,Control
4,13,Cyclopoid,0.247607,Naive,Control
4,13,Cyclopoid,0.253875,Naive,Control
4,13,Cyclopoid,0.223565,Naive,Control
4,13,Cyclopoid,0.328175,Naive,Control
4,13,Cyclopoid,0.464434,Naive,Control
4,13,Cyclopoid,0.385423,Naive,Control
4,13,Cyclopoid,0.357796,Naive,Control
4,13,Cyclopoid,0.195654,Naive,Control
4,13,Daphnia,0.59,Naive,Control
4,13,Daphnia,0.442,Naive,Control
4,13,Daphnia,0.498,Naive,Control
4,13,Daphnia,0.51,Naive,Control
4,13,Daphnia,0.838,Naive,Control
4,13,Daphnia,0.389,Naive,Control
4,13,Daphnia,0.709,Naive,Control
4,13,Daphnia,1.202,Naive,Control
4,13,Daphnia,0.556,Naive,Control
4,13,Daphnia,0.651,Naive,Control
4,13,Daphnia,0.531,Naive,Control
4,13,Daphnia,0.495,Naive,Control
4,13,Daphnia,0.485,Naive,Control
4,13,Daphnia,0.433,Naive,Control
4,13,Daphnia,0.724,Naive,Control
4,13,Daphnia,0.66,Naive,Control
4,13,Daphnia,0.641,Naive,Control
4,13,Daphnia,0.543,Naive,Control
4,13,Daphnia,0.733,Naive,Control
4,13,Daphnia,0.705,Naive,Control
4,13,Daphnia,0.668,Naive,Control
4,13,Daphnia,0.537,Naive,Control
4,13,Daphnia,0.632,Naive,Control
4,13,Daphnia,0.592,Naive,Control
4,13,Polyphemus,0.281,Naive,Control
4,13,Polyphemus,0.498,Naive,Control
4,13,Polyphemus,0.664,Naive,Control
4,13,Polyphemus,0.354,Naive,Control
4,13,Polyphemus,0.43,Naive,Control
4,13,Polyphemus,0.75,Naive,Control
4,13,Polyphemus,0.494,Naive,Control
4,13,Polyphemus,0.582,Naive,Control
4,13,Polyphemus,0.337,Naive,Control
4,18,Calanoid,0.819,Experienced,Control
4,18,Calanoid,1.031,Experienced,Control
4,18,Calanoid,0.795,Experienced,Control
4,18,Calanoid,0.82,Experienced,Control
4,18,Calanoid,0.931,Experienced,Control
4,18,Calanoid,0.848,Experienced,Control
4,18,Calanoid,0.362,Experienced,Control
4,18,Calanoid,0.443,Experienced,Control
4,18,Calanoid,0.397,Experienced,Control
4,18,Calanoid,0.902,Experienced,Control
4,18,Calanoid,0.862,Experienced,Control
4,18,Calanoid,0.946,Experienced,Control
4,18,Calanoid,0.346,Experienced,Control
4,18,Calanoid,0.398,Experienced,Control
4,18,Calanoid,0.452,Experienced,Control
4,18,Calanoid,0.38,Experienced,Control
4,18,Calanoid,0.362,Experienced,Control
4,18,Calanoid,0.793,Experienced,Control
4,18,Calanoid,0.752,Experienced,Control
4,18,Calanoid,0.661,Experienced,Control
4,18,Calanoid,0.87,Experienced,Control
4,18,Calanoid,0.313,Experienced,Control
4,18,Calanoid,0.824,Experienced,Control
4,18,Calanoid,0.838,Experienced,Control
4,18,Calanoid,0.227,Experienced,Control
4,18,Cyclopoid,0.488,Experienced,Control
4,18,Cyclopoid,0.501,Experienced,Control
4,18,Cyclopoid,0.347,Experienced,Control
4,18,Cyclopoid,0.709,Experienced,Control
4,18,Cyclopoid,0.501,Experienced,Control
4,18,Cyclopoid,0.485,Experienced,Control
4,18,Cyclopoid,0.527,Experienced,Control
4,18,Cyclopoid,0.436,Experienced,Control
4,18,Cyclopoid,0.605,Experienced,Control
4,18,Cyclopoid,0.287,Experienced,Control
4,18,Cyclopoid,0.715,Experienced,Control
4,18,Cyclopoid,0.673,Experienced,Control
4,18,Cyclopoid,0.582,Experienced,Control
4,18,Cyclopoid,0.468,Experienced,Control
4,18,Cyclopoid,0.418,Experienced,Control
4,18,Cyclopoid,0.363,Experienced,Control
4,18,Cyclopoid,0.686,Experienced,Control
4,18,Cyclopoid,0.659,Experienced,Control
4,18,Cyclopoid,0.462,Experienced,Control
4,18,Cyclopoid,0.628,Experienced,Control
4,18,Cyclopoid,0.566,Experienced,Control
4,18,Cyclopoid,0.652,Experienced,Control
4,18,Cyclopoid,0.52,Experienced,Control
4,18,Cyclopoid,0.538,Experienced,Control
4,18,Cyclopoid,0.52,Experienced,Control
4,18,Daphnia,0.633,Experienced,Control
4,18,Daphnia,1.221,Experienced,Control
4,18,Daphnia,1.075,Experienced,Control
4,18,Daphnia,0.862,Experienced,Control
4,18,Daphnia,0.721,Experienced,Control
4,18,Daphnia,0.92,Experienced,Control
4,18,Daphnia,0.684,Experienced,Control
4,18,Daphnia,0.748,Experienced,Control
4,18,Daphnia,0.65,Experienced,Control
4,18,Daphnia,0.834,Experienced,Control
4,18,Daphnia,0.676,Experienced,Control
4,18,Daphnia,0.6,Experienced,Control
4,18,Daphnia,0.856,Experienced,Control
4,18,Daphnia,0.925,Experienced,Control
4,18,Daphnia,0.796,Experienced,Control
4,18,Daphnia,0.847,Experienced,Control
4,18,Daphnia,0.703,Experienced,Control
4,18,Daphnia,1.277,Experienced,Control
4,18,Daphnia,0.933,Experienced,Control
4,18,Daphnia,1.016,Experienced,Control
4,20,Calanoid,1.026,Experienced,Free
4,20,Calanoid,1.014,Experienced,Free
4,20,Calanoid,1.042,Experienced,Free
4,20,Calanoid,0.991,Experienced,Free
4,20,Calanoid,0.334,Experienced,Free
4,20,Calanoid,0.701,Experienced,Free
4,20,Calanoid,0.378,Experienced,Free
4,20,Calanoid,0.368,Experienced,Free
4,20,Calanoid,0.374,Experienced,Free
4,20,Calanoid,0.361,Experienced,Free
4,20,Calanoid,0.981,Experienced,Free
4,20,Calanoid,0.85,Experienced,Free
4,20,Calanoid,1.127,Experienced,Free
4,20,Calanoid,0.457,Experienced,Free
4,20,Calanoid,0.592,Experienced,Free
4,20,Calanoid,0.359,Experienced,Free
4,20,Calanoid,1.002,Experienced,Free
4,20,Calanoid,0.382,Experienced,Free
4,20,Calanoid,0.379,Experienced,Free
4,20,Calanoid,0.886,Experienced,Free
4,20,Calanoid,0.604,Experienced,Free
4,20,Calanoid,0.459,Experienced,Free
4,20,Calanoid,0.469,Experienced,Free
4,20,Calanoid,0.356,Experienced,Free
4,20,Calanoid,0.373,Experienced,Free
4,20,Calanoid,0.518,Experienced,Free
4,20,Calanoid,0.419,Experienced,Free
4,20,Calanoid,0.896,Experienced,Free
4,20,Cyclopoid,0.435,Experienced,Free
4,20,Cyclopoid,0.517,Experienced,Free
4,20,Cyclopoid,0.304,Experienced,Free
4,20,Cyclopoid,0.388,Experienced,Free
4,20,Cyclopoid,0.538,Experienced,Free
4,20,Cyclopoid,0.623,Experienced,Free
4,20,Cyclopoid,0.411,Experienced,Free
4,20,Cyclopoid,0.307,Experienced,Free
4,20,Cyclopoid,0.324,Experienced,Free
4,20,Cyclopoid,0.548,Experienced,Free
4,20,Cyclopoid,0.406,Experienced,Free
4,20,Cyclopoid,0.445,Experienced,Free
4,20,Cyclopoid,0.491,Experienced,Free
4,20,Cyclopoid,0.727,Experienced,Free
4,20,Cyclopoid,0.469,Experienced,Free
4,20,Cyclopoid,0.322,Experienced,Free
4,20,Cyclopoid,0.382,Experienced,Free
4,20,Cyclopoid,0.29,Experienced,Free
4,20,Cyclopoid,0.34,Experienced,Free
4,20,Cyclopoid,0.514,Experienced,Free
4,20,Cyclopoid,0.444,Experienced,Free
4,20,Cyclopoid,0.61,Experienced,Free
4,20,Cyclopoid,0.287,Experienced,Free
4,20,Cyclopoid,0.448,Experienced,Free
4,20,Cyclopoid,0.368,Experienced,Free
4,20,Cyclopoid,0.516,Experienced,Free
4,20,Cyclopoid,0.418,Experienced,Free
4,20,Cyclopoid,0.228,Experienced,Free
4,20,Cyclopoid,0.576,Experienced,Free
4,20,Cyclopoid,0.574,Experienced,Free
4,20,Polyphemus,0.286536,Experienced,Free
3,20,Calanoid,0.369,Experienced,Free
3,20,Calanoid,0.381,Experienced,Free
3,20,Calanoid,1.097,Experienced,Free
3,20,Calanoid,0.522,Experienced,Free
3,20,Calanoid,0.824,Experienced,Free
3,20,Calanoid,0.826,Experienced,Free
3,20,Calanoid,0.814,Experienced,Free
3,20,Calanoid,0.921,Experienced,Free
3,20,Calanoid,1.028,Experienced,Free
3,20,Calanoid,0.951,Experienced,Free
3,20,Calanoid,1.001,Experienced,Free
3,20,Calanoid,0.989,Experienced,Free
3,20,Calanoid,0.996,Experienced,Free
3,20,Calanoid,1.026,Experienced,Free
3,20,Calanoid,0.345,Experienced,Free
3,20,Calanoid,0.361,Experienced,Free
3,20,Calanoid,0.343,Experienced,Free
3,20,Cyclopoid,0.374,Experienced,Free
3,20,Cyclopoid,0.667,Experienced,Free
3,20,Cyclopoid,0.289,Experienced,Free
3,20,Cyclopoid,0.431,Experienced,Free
3,20,Cyclopoid,0.381,Experienced,Free
3,20,Cyclopoid,0.635,Experienced,Free
3,20,Cyclopoid,0.31,Experienced,Free
3,20,Cyclopoid,0.301,Experienced,Free
3,20,Cyclopoid,0.456,Experienced,Free
3,20,Cyclopoid,0.522,Experienced,Free
3,20,Cyclopoid,0.607,Experienced,Free
3,20,Cyclopoid,0.485,Experienced,Free
3,20,Cyclopoid,0.42,Experienced,Free
3,20,Cyclopoid,0.48,Experienced,Free
3,20,Cyclopoid,0.381,Experienced,Free
3,20,Cyclopoid,0.453,Experienced,Free
3,20,Cyclopoid,0.245,Experienced,Free
3,20,Cyclopoid,0.508,Experienced,Free
3,20,Cyclopoid,0.296,Experienced,Free
3,20,Cyclopoid,0.507,Experienced,Free
3,20,Daphnia,1.219,Experienced,Free
4,19,Calanoid,0.903,Naive,Caged
4,19,Calanoid,0.851,Naive,Caged
4,19,Calanoid,0.798,Naive,Caged
4,19,Calanoid,0.791,Naive,Caged
4,19,Calanoid,0.818,Naive,Caged
4,19,Calanoid,0.909,Naive,Caged
4,19,Calanoid,0.923,Naive,Caged
4,19,Calanoid,0.889,Naive,Caged
4,19,Calanoid,0.827,Naive,Caged
4,19,Cyclopoid,0.252,Naive,Caged
4,19,Cyclopoid,0.237,Naive,Caged
4,19,Daphnia,0.998,Naive,Caged
4,19,Daphnia,1.283,Naive,Caged
4,19,Daphnia,0.685,Naive,Caged
4,19,Daphnia,0.765,Naive,Caged
4,19,Daphnia,0.583,Naive,Caged
4,19,Daphnia,0.426,Naive,Caged
4,19,Daphnia,0.443,Naive,Caged
4,19,Daphnia,0.447,Naive,Caged
4,19,Daphnia,1.01,Naive,Caged
4,19,Daphnia,0.639,Naive,Caged
4,27,Calanoid,0.823,Naive,Free
4,27,Calanoid,0.778,Naive,Free
4,27,Calanoid,0.815,Naive,Free
4,27,Calanoid,0.876,Naive,Free
4,27,Calanoid,0.837,Naive,Free
4,27,Calanoid,0.908,Naive,Free
4,27,Calanoid,0.577,Naive,Free
4,27,Calanoid,0.873,Naive,Free
4,27,Calanoid,1.012,Naive,Free
4,27,Calanoid,0.944,Naive,Free
4,27,Calanoid,0.841,Naive,Free
4,27,Calanoid,0.938,Naive,Free
4,27,Calanoid,0.972,Naive,Free
4,27,Calanoid,0.798,Naive,Free
4,27,Cyclopoid,0.303,Naive,Free
4,27,Cyclopoid,0.284,Naive,Free
4,27,Cyclopoid,0.439,Naive,Free
4,27,Cyclopoid,0.402,Naive,Free
4,27,Cyclopoid,0.408,Naive,Free
4,27,Cyclopoid,0.507,Naive,Free
4,27,Cyclopoid,0.436,Naive,Free
4,27,Cyclopoid,0.276,Naive,Free
4,27,Cyclopoid,0.381,Naive,Free
4,27,Cyclopoid,0.347,Naive,Free
4,27,Cyclopoid,0.439,Naive,Free
4,27,Cyclopoid,0.48,Naive,Free
4,27,Cyclopoid,0.458,Naive,Free
4,27,Cyclopoid,0.498,Naive,Free
4,27,Cyclopoid,0.449,Naive,Free
4,27,Cyclopoid,0.266,Naive,Free
4,27,Cyclopoid,0.461,Naive,Free
4,27,Cyclopoid,0.33,Naive,Free
4,27,Cyclopoid,0.401,Naive,Free
4,27,Cyclopoid,0.352,Naive,Free
4,27,Cyclopoid,0.559,Naive,Free
4,27,Cyclopoid,0.329,Naive,Free
4,27,Cyclopoid,0.424,Naive,Free
4,27,Cyclopoid,0.408,Naive,Free
4,27,Cyclopoid,0.351,Naive,Free
4,27,Daphnia,0.65,Naive,Free
3,10,Calanoid,0.85,Experienced,Control
3,10,Calanoid,0.374,Experienced,Control
3,10,Calanoid,0.941,Experienced,Control
3,10,Cyclopoid,0.385,Experienced,Control
3,10,Cyclopoid,0.547,Experienced,Control
3,10,Cyclopoid,0.443,Experienced,Control
3,10,Cyclopoid,0.467,Experienced,Control
3,10,Cyclopoid,0.48,Experienced,Control
3,10,Cyclopoid,0.421,Experienced,Control
3,10,Cyclopoid,0.449,Experienced,Control
3,10,Cyclopoid,0.621,Experienced,Control
3,10,Cyclopoid,0.473,Experienced,Control
3,10,Cyclopoid,0.455,Experienced,Control
3,10,Cyclopoid,0.674,Experienced,Control
3,10,Cyclopoid,0.485,Experienced,Control
3,10,Cyclopoid,0.425,Experienced,Control
3,10,Cyclopoid,0.514,Experienced,Control
3,10,Daphnia,0.589,Experienced,Control
3,10,Daphnia,1.261,Experienced,Control
3,10,Daphnia,0.851,Experienced,Control
3,10,Daphnia,0.78,Experienced,Control
3,10,Daphnia,0.914,Experienced,Control
3,10,Daphnia,0.928,Experienced,Control
3,26,Calanoid,0.697,Naive,Caged
3,26,Calanoid,0.706,Naive,Caged
3,26,Calanoid,1.086,Naive,Caged
3,26,Calanoid,0.858,Naive,Caged
3,26,Calanoid,0.912,Naive,Caged
3,26,Calanoid,1.096,Naive,Caged
3,26,Calanoid,0.85,Naive,Caged
3,26,Calanoid,1.094,Naive,Caged
3,26,Calanoid,0.818,Naive,Caged
3,26,Calanoid,1.017,Naive,Caged
3,26,Calanoid,0.836,Naive,Caged
3,26,Calanoid,0.782,Naive,Caged
3,26,Calanoid,0.473,Naive,Caged
3,26,Calanoid,0.638,Naive,Caged
3,26,Calanoid,0.779,Naive,Caged
3,26,Calanoid,0.865,Naive,Caged
3,26,Calanoid,0.732,Naive,Caged
3,26,Calanoid,0.84,Naive,Caged
3,26,Calanoid,0.993,Naive,Caged
3,26,Calanoid,0.79,Naive,Caged
3,26,Calanoid,0.873,Naive,Caged
3,26,Calanoid,0.912,Naive,Caged
3,26,Calanoid,0.82,Naive,Caged
3,26,Calanoid,0.367,Naive,Caged
3,26,Calanoid,0.418,Naive,Caged
3,26,Ceriodaphnia,0.469,Naive,Caged
3,26,Ceriodaphnia,0.534,Naive,Caged
3,26,Ceriodaphnia,0.54,Naive,Caged
3,26,Ceriodaphnia,0.337,Naive,Caged
3,26,Ceriodaphnia,0.59,Naive,Caged
3,26,Ceriodaphnia,0.333,Naive,Caged
3,26,Ceriodaphnia,0.421,Naive,Caged
3,26,Cyclopoid,0.326,Naive,Caged
3,26,Daphnia,0.534,Naive,Caged
3,26,Daphnia,0.557,Naive,Caged
3,26,Daphnia,0.739,Naive,Caged
3,26,Daphnia,0.624,Naive,Caged
3,26,Daphnia,0.676,Naive,Caged
3,26,Daphnia,0.468,Naive,Caged
3,26,Daphnia,0.67,Naive,Caged
4,3,Calanoid,0.806,Naive,Control
4,3,Calanoid,0.968,Naive,Control
4,3,Calanoid,0.68,Naive,Control
4,3,Calanoid,0.735,Naive,Control
4,3,Calanoid,0.93,Naive,Control
4,3,Calanoid,0.91,Naive,Control
4,3,Calanoid,0.878,Naive,Control
4,3,Calanoid,0.963,Naive,Control
4,3,Ceriodaphnia,0.603,Naive,Control
4,3,Ceriodaphnia,0.355,Naive,Control
4,3,Ceriodaphnia,0.493,Naive,Control
4,3,Ceriodaphnia,0.634,Naive,Control
4,3,Ceriodaphnia,0.49,Naive,Control
4,3,Ceriodaphnia,0.502,Naive,Control
4,3,Ceriodaphnia,0.401,Naive,Control
4,3,Ceriodaphnia,0.591,Naive,Control
4,3,Ceriodaphnia,0.457,Naive,Control
4,3,Polyphemus,0.557,Naive,Control
4,3,Polyphemus,0.472,Naive,Control
4,3,Polyphemus,0.464,Naive,Control
4,3,Polyphemus,0.541,Naive,Control
4,3,Polyphemus,0.557,Naive,Control
4,3,Polyphemus,0.489,Naive,Control
4,3,Polyphemus,0.443,Naive,Control
3,26,Polyphemus,0.627,Naive,Caged
3,26,Polyphemus,0.605,Naive,Caged
3,26,Polyphemus,0.504,Naive,Caged
3,26,Polyphemus,0.466,Naive,Caged
3,26,Polyphemus,0.382,Naive,Caged
3,26,Polyphemus,0.442,Naive,Caged
3,26,Polyphemus,0.317,Naive,Caged
3,26,Polyphemus,0.319,Naive,Caged
3,26,Polyphemus,0.351,Naive,Caged
4,19,Polyphemus,0.483,Naive,Caged
4,19,Polyphemus,0.555,Naive,Caged
4,19,Polyphemus,0.417,Naive,Caged
4,19,Polyphemus,0.56,Naive,Caged
4,19,Polyphemus,0.506,Naive,Caged
4,19,Polyphemus,0.482,Naive,Caged
4,19,Polyphemus,0.542,Naive,Caged
4,15,Calanoid,0.851,Naive,Free
4,15,Calanoid,0.903,Naive,Free
4,15,Calanoid,0.862,Naive,Free
4,15,Calanoid,0.98,Naive,Free
4,15,Calanoid,0.881,Naive,Free
4,15,Calanoid,1.062,Naive,Free
4,15,Calanoid,0.94,Naive,Free
4,15,Cyclopoid,0.567,Naive,Free
4,15,Cyclopoid,0.601,Naive,Free
4,15,Cyclopoid,0.429,Naive,Free
4,15,Cyclopoid,0.416,Naive,Free
4,15,Cyclopoid,0.505,Naive,Free
4,15,Cyclopoid,0.368,Naive,Free
4,5,Calanoid,1.022,Naive,Free
4,5,Calanoid,0.977,Naive,Free
4,5,Calanoid,1.05,Naive,Free
4,5,Calanoid,0.911,Naive,Free
4,5,Calanoid,0.992,Naive,Free
4,5,Calanoid,1.087,Naive,Free
4,5,Calanoid,0.874,Naive,Free
4,5,Calanoid,0.787,Naive,Free
4,5,Calanoid,0.849,Naive,Free
4,5,Calanoid,0.796,Naive,Free
4,5,Calanoid,1.037,Naive,Free
4,5,Calanoid,0.817,Naive,Free
4,5,Cyclopoid,0.55,Naive,Free
4,5,Cyclopoid,0.428,Naive,Free
4,5,Cyclopoid,0.581,Naive,Free
4,5,Cyclopoid,0.509,Naive,Free
4,5,Cyclopoid,0.612,Naive,Free
4,5,Cyclopoid,0.51,Naive,Free
4,5,Cyclopoid,0.361,Naive,Free
4,5,Cyclopoid,0.44,Naive,Free
4,5,Cyclopoid,0.393,Naive,Free
4,5,Cyclopoid,0.39,Naive,Free
4,5,Cyclopoid,0.429,Naive,Free
4,5,Cyclopoid,0.434,Naive,Free
4,5,Cyclopoid,0.453,Naive,Free
4,5,Cyclopoid,0.46,Naive,Free
4,5,Cyclopoid,0.366,Naive,Free
4,5,Cyclopoid,0.464,Naive,Free
4,5,Cyclopoid,0.448,Naive,Free
4,5,Daphnia,0.734,Naive,Free
3,18,Calanoid,0.719,Experienced,Control
3,18,Calanoid,0.912,Experienced,Control
3,18,Calanoid,0.98,Experienced,Control
3,18,Calanoid,0.958,Experienced,Control
3,18,Calanoid,0.495,Experienced,Control
3,18,Calanoid,0.442,Experienced,Control
3,18,Calanoid,0.363,Experienced,Control
3,18,Ceriodaphnia,0.427,Experienced,Control
3,18,Cyclopoid,0.554,Experienced,Control
3,18,Cyclopoid,0.47,Experienced,Control
3,18,Cyclopoid,0.478,Experienced,Control
3,18,Cyclopoid,0.541,Experienced,Control
3,18,Cyclopoid,0.681,Experienced,Control
3,18,Cyclopoid,0.5,Experienced,Control
3,18,Cyclopoid,0.468,Experienced,Control
3,18,Cyclopoid,0.705,Experienced,Control
3,18,Cyclopoid,0.448,Experienced,Control
3,18,Cyclopoid,0.734,Experienced,Control
3,18,Cyclopoid,0.563,Experienced,Control
4,24,Calanoid,0.958,Naive,Control
4,24,Calanoid,0.785,Naive,Control
4,24,Calanoid,0.907,Naive,Control
4,24,Calanoid,0.73,Naive,Control
4,24,Calanoid,0.926,Naive,Control
4,24,Calanoid,0.936,Naive,Control
4,24,Calanoid,0.789,Naive,Control
4,24,Calanoid,0.753,Naive,Control
4,24,Calanoid,0.815,Naive,Control
4,24,Calanoid,1.01,Naive,Control
4,24,Calanoid,0.797,Naive,Control
4,24,Calanoid,0.936,Naive,Control
4,24,Calanoid,0.747,Naive,Control
4,24,Calanoid,0.986,Naive,Control
4,24,Calanoid,1.017,Naive,Control
4,24,Calanoid,0.744,Naive,Control
4,24,Calanoid,0.768,Naive,Control
4,24,Calanoid,0.993,Naive,Control
4,24,Calanoid,0.784,Naive,Control
4,24,Calanoid,0.984,Naive,Control
4,24,Calanoid,0.818,Naive,Control
4,24,Calanoid,0.804,Naive,Control
4,24,Calanoid,0.868,Naive,Control
4,24,Calanoid,0.691,Naive,Control
4,24,Calanoid,0.727,Naive,Control
4,24,Calanoid,0.932,Naive,Control
4,24,Calanoid,0.817,Naive,Control
4,24,Calanoid,1.015,Naive,Control
4,24,Ceriodaphnia,0.645,Naive,Control
4,24,Ceriodaphnia,0.73,Naive,Control
4,24,Ceriodaphnia,0.453,Naive,Control
4,24,Ceriodaphnia,0.356,Naive,Control
4,24,Ceriodaphnia,0.348,Naive,Control
