lake,date_yyyy_mm_dd,zoo_order,zoo_taxa,zoo_lifestage,zoo_length_unit,zoo_length_measurement
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.582
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.776
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.7178
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.873
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.9118
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,1.067
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.2222
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.2222
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.2804
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.2804
CBL5,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.261
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.552
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.455
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.552
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.455
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.455
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.3968
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.455
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.455
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.3968
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.358
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.358
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.261
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.358
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.3968
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.261
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.3774
CBL5,2018,Copepoda,Cyclops scutifer,Adult,mm,1.6684
CBL5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.552
CBL5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.358
CBL5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.134
CBL5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.649
CBL5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.649
CBL5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.7848
CBL5,2018,Cladoceran,Daphnia catawba,Adult,mm,1.358
CBL5,2018,Cladoceran,Daphnia catawba,Adult,mm,1.261
CBL5,2018,Cladoceran,Daphnia catawba,Adult,mm,1.707
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 1,mm,0.4268
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.679
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.776
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.679
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.97
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,1.1058
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.8148
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.776
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.9118
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.8148
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.261
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.261
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.261
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.067
CBL5,2019,Copepoda,Cyclops scutifer,Adult,mm,1.3774
CBL5,2019,Copepoda,Cyclops scutifer,Adult,mm,1.358
CBL5,2019,Copepoda,Cyclops scutifer,Adult,mm,1.261
CBL5,2019,Copepoda,Cyclops scutifer,Adult,mm,1.0864
CBL5,2019,Copepoda,Cyclops scutifer,Adult,mm,1.3192
CBL5,2019,Copepoda,Cyclops scutifer,Adult,mm,1.2804
CBL5,2019,Copepoda,Cyclops scutifer,Adult,mm,1.358
CBL5,2019,Cladoceran,Daphnia longiremis,Adult,mm,1.552
CBL5,2019,Cladoceran,Daphnia longiremis,Adult,mm,0.8148
CBL5,2019,Cladoceran,Daphnia longiremis,Adult,mm,0.7954
CBL5,2019,Cladoceran,Daphnia longiremis,Adult,mm,1.358
CBL5,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.94
CBL5,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,1.746
CBL5,2019,Cladoceran,Daphnia middendorffiana,Adult,mm,2.231
CBL5,2019,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.582
CBL5,2019,Copepoda,Leptodiaptomus minutus,Copepodite 2,mm,0.388
CBL5,2019,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.873
CBL5,2019,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.679
CBL5,2019,Copepoda,Leptodiaptomus minutus,Copepodite 4,mm,0.97
CBL5,2019,Copepoda,Leptodiaptomus minutus,Adult,mm,1.261
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.4268
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.7178
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2028
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.3192
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2028
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2998
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.4744
CBL5,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.4938
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.582
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.679
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.6208
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.873
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.7954
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.9894
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.8924
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.873
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,1.0088
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2222
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2804
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,0.97
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,0.97
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.455
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.2028
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.261
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.164
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.3968
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
CBL7,2019,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.164
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.6402
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.679
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.6402
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.8342
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.8342
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.7954
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.873
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.8536
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.8148
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,1.067
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,1.1058
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.97
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.873
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.776
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.8148
CBL7,2019,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.8148
CBL7,2019,Copepoda,Acanthocyclops vernalis,Adult,mm,1.358
CBL7,2019,Copepoda,Acanthocyclops vernalis,Adult,mm,1.261
CBL7,2019,Copepoda,Acanthocyclops vernalis,Adult,mm,1.3192
CBL7,2019,Copepoda,Acanthocyclops vernalis,Adult,mm,1.358
CBL7,2019,Copepoda,Acanthocyclops vernalis,Adult,mm,1.261
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,0.7954
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,1.3192
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,1.0476
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,0.873
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,1.1252
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,0.9118
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,1.0775
CBL7,2019,Cladoceran,Daphnia longiremis,Adult,mm,0.6402
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.582
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 1,mm,0.6402
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.776
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 2,mm,0.873
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.9506
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 3,mm,0.97
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.261
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2028
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.1834
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.2028
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Copepodite 4,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.552
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.4938
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
ERA 4,2018,Copepoda,Leptodiaptomus sicilis,Adult,mm,1.358
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.6984
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.582
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.6208
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 2,mm,0.679
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.776
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.776
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.776
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 3,mm,0.776
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,0.97
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,1.0282
ERA 4,2018,Copepoda,Cyclops scutifer,Copepodite 4,mm,0.97
ERA 4,2018,Copepoda,Cyclops scutifer,Adult,mm,1.2222
ERA 4,2018,Copepoda,Cyclops scutifer,Adult,mm,1.222
ERA 4,2018,Copepoda,Cyclops scutifer,Adult,mm,1.261
ERA 4,2018,Copepoda,Cyclops scutifer,Adult,mm,1.2804
ERA 4,2018,Copepoda,Cyclops scutifer,Adult,mm,1.164
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 1,mm,0.582
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 1,mm,0.582
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 1,mm,0.582
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 1,mm,0.582
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.873
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,1.0282
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,0.97
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 3,mm,1.067
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Copepodite 4,mm,1.0088
ERA 4,2018,Copepoda,Leptodiaptomus minutus,Adult,mm,1.2028
ERA 4,2018,Copepoda,Limnocalanus macrurus ,Copepodite 2,mm,1.261
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,2.037
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,1.455
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,1.5908
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,1.358
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,1.4162
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,1.4938
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,1.649
ERA 4,2018,Cladoceran,Daphnia longiremis,Adult,mm,1.067
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,3.007
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.231
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.649
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.716
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.4356
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.134
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.91
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.716
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.328
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.0758
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,3.298
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.91
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.843
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.5714
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.037
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.843
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.9788
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.5326
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.134
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.843
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.037
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.231
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.6102
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.5326
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.8236
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.843
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.522
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.843
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.231
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.522
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.231
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.746
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.522
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.134
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.716
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.425
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.716
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,2.231
ERA 5,2018,Cladoceran,Daphnia middendorffiana,Adult,mm,1.843
ERA 5,2018,Cladoceran,Daphnia parvula,Adult,mm,1.164
ERA 5,2018,Cladoceran,Daphnia parvula,Adult,mm,1.1834
ERA 5,2018,Cladoceran,Daphnia parvula,Adult,mm,1.5908
ERA 5,2018,Cladoceran,Daphnia parvula,Adult,mm,1.164
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.36647
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.47926
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.49275
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.37519
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.39728
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.3449
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.46032
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 2,mm,0.44985
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.55862
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.54363
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.58695
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.54275
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.59306
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.58423
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.59111
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.59336
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 3,mm,0.50256
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.64552
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Copepodite 4,mm,0.72248
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Adult,mm,1.32769
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Adult,mm,1.7654
ERA 5,2018,Copepoda,Acanthocyclops vernalis,Adult,mm,2.08689
ERA 5,2018,Copepoda,Arctodiaptomus arapahoensis,Copepodite,mm,0.82875
ERA 5,2018,Cladoceran,Chydorus sphaericus,Adult,mm,0.44056
ERA 5,2018,Cladoceran,Chydorus sphaericus,Adult,mm,0.41728
Greiner Lake,2018,Copepoda,Leptodiaptomus minutus,Copepodite 1,mm,0.485
Greiner Lake,2018,Copepoda,Leptodiaptomus minutus,Copepodite 1,mm,0.485
Greiner Lake,2018,Copepoda,Leptodiaptomus minutus,Copepodite 1,mm,0.485
