Ref.code;Authors;Year;Title;Journal.Book;Pub.type
180;Tande, K. S., and R. J. Henderson. ;1988;Lipid Composition of Copepodite Stages and Adult Females of Calanus glacialis in Arctic Waters of the Barents Sea ;Polar Biology;Article
181;Ikeda, T. ;1971;Respiration in Zooplankton: Relationships between respiration rate and body size in marine plankton animals as a function of the temperature of habitat ;Bulletin of the Faculty of Fisheries;Institutional report, bulletin or memoirs
182;Zmdewska, M. I., Yen, J., and L. Bielecka. ;1999;Size variability in two common antarctic copepods: Calanoides acutus and Metridia gerlachei ;Polish Polar Research ;Article
183;Ikeda, T., and H. R. Skjoldal.;1980;The Effect of Laboratory conditions on the extrapolation of experimental measurements to the ecology of marine zooplankton. VI. Changes in physiological activities and biochemical components of acetes sibogae australis and Acartia australis after capture ;Marine Biology;Article
184;Ara, K. ;2001;Length-weight relationships and chemical content of the planktonic copepods in the Cananeia Lagoon estuarine system, Sao Paulo, Brazil ;Plankton Biology and Ecology;Article
185;Perumal, P., Rajkumar, M, and P. Santhanam. ;2009;Biochemical composition of wild copepods, Acartia spinicauda and Oithona similis, from Parangipettai coastal waters in relation to environmental parameters;Journal of Environmental Biology ;Article
186;Orr, A. P.;1934;The weight and chemical composition of Euchaeta norvegica (Boeck);Proceedings of the Royal Society ;Article
187;Vijverberg, J., and T. H. Frank.;1976;The chemical composition and energy contents of copepods and cladocerans in relation to their size;Freshwater Biology ;Article
188;Riccardi, N., and M. Mangoni. ;1999;Considerations on the biochemical composition of some freshwater zooplankton species;Journal of Limnology ;Article
189;Falk-Petersen, S., Mayzaud, P., Kattner, G., and J. R. Sargent. ;2009;Lipids and life strategy of Arctic Calanus ;Marine Biology Research ;Article
190;Evjemo, J. O., Reitan, K. I., and Y. Olsen. ;2003;Copepods as live food organisms in the larval rearing of halibut larvae (Hippoglossus hippoglossus L.) with special emphasis on the nutritional value;Aquaculture;Article
191;Krishnamurti, K.;1967;Nitrogen and phosphorus in plankton ;Hydrobioiogia ;Article
192;Ohman, M. D. ;1997;On the determination of zooplankton lipid content and the occurrence of gelatinous copepods ;Journal of Plankton Research ;Article
193;Riccardi, N., and M. Mangoni. ;1999;Considerations on the biochemical composition of some freshwater zooplankton species;Journal of Limnology ;Article
194;Kobari, T., Mori, H., and H. Tokushige. ;2013;Nucleic acids and protein content in ontogenetically migrating copepods in the Oyashio region as influenced by development stage and depth distribution ;Journal of Plankton Research ;Article
195;Cass, C., Wakeham, S., and K. Daly. ;2011;Lipid composition of tropical and subtropical copepod species of the genus Rhincalanus (Copepoda: Eucalanidae): a novel fatty acid and alcohol signature;Marine Ecology Progress Series ;Article
196;Blazka, P. ;1966;The ratio of crude protein, glycogen and fat in the individual steps of the production chain ;Hydrobiological studies I;Book or book chapter
197;Bascheri, M. C., and J. Mazza. ;1968;Contribution a l'etude biochimique du plancton. II. Variation des teneurs en glucides et en proteines des Copepodes du golfe de Marseille ;Rapport de rÇunion de la Commission Internationale pour l?Exploration Scientifique de la Mer MÇditerranÇe. ;Institutional report, bulletin or memoirs
198;Nakai, Z. ;1955;The chemical composition, volume, weight, and size of the important marine plankton ;Special Publication of Bulletin of Tokai Regional Fisheries Research Laboratory;Article
