source.code,authors,year,title,publication,volume,issue,start.page,end.page,doi,ISSN,eISSN,ISBN
45,"Moser, G; Lange-Bertalot, H; Metzeltin, D; Witkowski, A",1998,"bibliotheca diatomologica, volume 38: insel der endemiten: geobotanisches phänomen neukaledonien",Gebrüder Borntraeger Verlag,38,NA,NA,NA,NA,NA,NA,9783443570293
46,"Lange-Bertalot, H",2000,"iconographia diatomologica, volume 7",Koeltz Botanical Books,7,NA,NA,NA,NA,NA,NA,9783904144100
47,"Lange-Bertalot, H; Metzeltin, D",2002,"iconographia diatomologica, volume 11: diatoms from the 'island continent' madagascar",Koeltz Botanical Books,11,NA,NA,NA,NA,NA,NA,9783904144940
48,"Reichardt, E",1997,taxonomische revision des artenkomplexes um gomphonema pumilum (bacillariophyceae),Nova Hedwigia,NA,NA,99,129,10.1127/nova.hedwigia/65/1997/99,NA,NA,NA
49,"Lange-Bertalot, H; Genkal SI",1999,"iconographia diatomologica, volume 6: phytogeography, diversity, taxonomy",Gantner Verlag,6,NA,NA,NA,NA,NA,NA,9783904144124
50,"Kociolek, JP; Stoermer, EF",1988,"taxonomy, ultrastructure and distribution of gomphoneis herculeana, g. eriense and closely related species (naviculales: gomphonemataceae)",Proceedings of the Academy of Natural Sciences of Philadelphia,140,2,24,97,NA,NA,NA,NA
51,"Jahn, R; Kociolek, JP; Witkowski, A; Compère, P",2001,studies on diatoms. dedicated to prof. dr. dr. h. c. horst lange - bertalot on the occasion of his 65th birthday,NA,NA,NA,NA,NA,NA,NA,NA,978-3-904144-26-1
52,"Lange-Bertalot, H; Cavacini P; Tagliaventi N; Alfinito S",2003,"iconographia diatomologica, volume 12: diatoms of sardinia",Koeltz Botanical Books,12,NA,NA,NA,NA,NA,NA,9783906166018
53,"Lange-Bertalot, H; Krammer, K",1987,"bibliotheca diatomologica, volume 15: bacillariaceae, epithemiaceae, surirellaceae",Gebrüder Borntraeger Verlag,15,NA,NA,NA,NA,NA,NA,9783443570064
54,"Hohn, MH; Hellerman, J",1963,the taxonomy and structure of diatom populations from three eastern north american rivers using three sampling methods,Transactions of the American Microscopical Society,82,3,250,329,10.2307/3223932,0003-0023,NA,NA
56,"Tudesque, L; Rimet, F; Ector, L",2008,"a new taxon of the section nitzschiae lanceolatae grunow: nitzschia costei sp. nov. compared to n. fonticola grunow, n. macedonica hustedt, n. tropica hustedt and related species",Diatom Research,23,2,483,501,10.1080/0269249X.2008.9705771,0269-249X,NA,NA
57,"Morales, EA; Manoylov, KM",2006,morphological studies on selected taxa in the genus staurosirella williams et round (bacillariophyceae) from rivers in north america,Diatom Research,21,2,343,364,10.1080/0269249X.2006.9705674,0269-249X,NA,NA
58,"Sims, PA",2001,the genus praetriceratium gen. nov.: a survey of eupodiscoid genera with a sipho marginalis,Diatom Research,16,2,399,416,10.1080/0269249X.2001.9705527,0269-249X,NA,NA
59,"Bergman, I; Lindstrom, ES; Sassenhagen, I",2024,ciliate grazing on the bloom-forming microalga gonyostomum semen,MICROBIAL ECOLOGY,87,1,NA,NA,10.1007/s00248-024-02344-9,0095-3628,1432-184X,NA
60,"Llorente, A; Fraile, H; de Bikuña, BG; Seoane, S",2024,hplc validation as a management tool in artificial water storage ponds,LIMNOLOGICA,105,NA,NA,NA,10.1016/j.limno.2024.126160,0075-9511,1873-5851,NA
61,"Arnoldt, S; Pourdanandeh, M; Spikkeland, I; Andersson, MX; Selander, E",2024,mass spectroscopy reveals compositional differences in copepodamides from limnic and marine copepods,SCIENTIFIC REPORTS,14,1,NA,NA,10.1038/s41598-024-53247-1,2045-2322,NA,NA
62,"Sildever, S; Stewart, RIA; Tesson, SVM",2024,"factors contributing to the potential expansion of limnomonas gaiensis (chlamydomonadales, chlorophyta) in freshwater lakes in northern europe",EUROPEAN JOURNAL OF PHYCOLOGY,59,2,169,183,10.1080/09670262.2023.2274080,0967-0262,1469-4433,NA
63,"Zuo, YP; Southard, M; Xu, QN; Zhang, GX; Skibinski, E; Moon, N; Gan, L; Chen, YS; Jiang, L",2024,cell size-dependent species sensitivity to nanoparticles underlies changes in phytoplankton diversity and productivity,GLOBAL CHANGE BIOLOGY,30,1,NA,NA,10.1111/gcb.17049,1354-1013,1365-2486,NA
64,"Murphy, CA; Pollock, AMM; Arismendi, I; Johnson, SL",2023,habs and hab nots: dynamics of phytoplankton blooms across similar oligotrophic reservoirs,LIMNOLOGICA,103,NA,NA,NA,10.1016/j.limno.2023.126110,0075-9511,1873-5851,NA
65,"Blackburn-Desbiens, P; Grosbois, G; Power, M; Culp, J; Rautio, M",2023,integrating hydrological connectivity and zooplankton composition in arctic ponds and lakes,FRESHWATER BIOLOGY,68,12,2131,2150,10.1111/fwb.14181,0046-5070,1365-2427,NA
67,"Titocci, J; Fink, P",2024,disturbance alters phytoplankton functional traits and consequently drives changes in zooplankton life-history traits and lipid composition,HYDROBIOLOGIA,851,1,161,180,10.1007/s10750-023-05323-2,0018-8158,1573-5117,NA
68,"Rogalski, MA; Ferah, U",2023,lake water chemistry and population of origin interact to shape fecundity and growth in daphnia ambigua,ECOLOGY AND EVOLUTION,13,6,NA,NA,10.1002/ece3.10176,2045-7758,NA,NA
69,"Ramaekers, L; Vanschoenwinkel, B; Brendonck, L; Pinceel, T",2023,elevated dissolved carbon dioxide and associated acidification delays maturation and decreases calcification and survival in the freshwater crustacean daphnia magna,LIMNOLOGY AND OCEANOGRAPHY,68,7,1624,1635,10.1002/lno.12372,0024-3590,1939-5590,NA
70,"Klasios, N; Tseng, M",2023,microplastics in subsurface water and zooplankton from eight lakes in british columbia,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,80,8,1248,1267,10.1139/cjfas-2022-0293,0706-652X,1205-7533,NA
71,"Theus, ME; Michaels, J; Fey, SB",2023,interactive effects of temperature and bisphenol a on phytoplankton growth and community structure,CONSERVATION PHYSIOLOGY,11,1,NA,NA,10.1093/conphys/coad021,2051-1434,NA,NA
72,"Grzesiuk, M; Gryglewicz, E; Bentkowski, P; Pijanowska, J",2023,impact of fluoxetine on herbivorous zooplankton and planktivorous fish,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,42,2,385,392,10.1002/etc.5525,0730-7268,1552-8618,NA
73,"Zheng, SW; Wang, R; Kainz, MJ; Liu, CY; Li, PW; Li, ZX; Yan, HY; Yin, DQ",2022,"how phytoplankton biomass controls metal(loid) bioaccumulation in size-fractionated plankton in anthropogenic-impacted subtropical lakes: a comprehensive study in the yangtze river delta, china",WATER RESEARCH,224,NA,NA,NA,10.1016/j.watres.2022.119075,0043-1354,1879-2448,NA
74,"Lachapelle, J; Bestion, E; Jackson, EE; Schaum, CE",2022,presence of a resident species aids invader evolution,LIMNOLOGY AND OCEANOGRAPHY,67,10,2252,2264,10.1002/lno.12200,0024-3590,1939-5590,NA
75,"Baker, HK; Li, SS; Samu, SC; Jones, NT; Symons, CC; Shurin, JB",2022,prey naivete alters the balance of consumptive and non-consumptive predator effects and shapes trophic cascades in freshwater plankton,OIKOS,2022,11,NA,NA,10.1111/oik.09173,0030-1299,1600-0706,NA
76,"Titocci, J; Fink, P",2022,"food quality impacts on reproductive traits, development and fatty acid composition of the freshwater calanoid copepod eudiaptomus sp.",JOURNAL OF PLANKTON RESEARCH,44,4,528,541,10.1093/plankt/fbac030,0142-7873,1464-3774,NA
78,"Gu, L; Qin, SS; Sun, YF; Huang, J; Akbar, S; Zhang, L; Yang, Z",2022,coping with antagonistic predation risks: predator-dependent unique responses are dominant in ceriodaphnia cornuta,MOLECULAR ECOLOGY,31,14,3951,3962,10.1111/mec.16550,0962-1083,1365-294X,NA
79,"Ramaekers, L; Pinceel, T; Brendonck, L; Vanschoenwinkel, B",2022,direct effects of elevated dissolved co2 can alter the life history of freshwater zooplankton,SCIENTIFIC REPORTS,12,1,NA,NA,10.1038/s41598-022-10094-2,2045-2322,NA,NA
80,"Gomes, ACAM; Macêdo, RL; Gomes, LF; Velho, LFM; Rocha, O; Vieira, LCG",2022,"range expansion of kellicottia bostoniensis (rousselet, 1908) (rotifera) throughout a biogeographic boundary between the brazilian savanna and the amazon",AQUATIC SCIENCES,84,2,NA,NA,10.1007/s00027-022-00861-8,1015-1621,1420-9055,NA
81,"Kim, K; Taylor, DJ",2022,thermal phenotypic plasticity of the second limb in daphnia,JOURNAL OF PLANKTON RESEARCH,44,2,259,267,10.1093/plankt/fbac003,0142-7873,1464-3774,NA
82,"Dao, TS; Nguyen, VT; Baduel, C; Bui, MH; Tran, VT; Pham, TL; Bui, BT; Dinh, KV",2022,toxicity of di-2-ethylhexyl phthalate and tris (2-butoxyethyl) phosphate to a tropical micro-crustacean (ceriodaphnia cornuta) is higher in mekong river water than in standard laboratory medium,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,29,26,39777,39789,10.1007/s11356-022-18993-7,0944-1344,1614-7499,NA
83,"Mohanty, TR; Tiwari, NK; Kumari, S; Ray, A; Manna, RK; Bayen, S; Roy, S; Das Gupta, S; Ramteke, MH; Swain, HS; Bhor, M; Das, BK",2022,variation of aulacoseira granulata as an eco-pollution indicator in subtropical large river ganga in india: a multivariate analytical approach,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,29,25,37498,37512,10.1007/s11356-021-18096-9,0944-1344,1614-7499,NA
84,"Govaert, L; De Meester, L; Rousseaux, S; Declerck, SAJ; Pantel, JH",2021,measuring the contribution of evolution to community trait structure in freshwater zooplankton,OIKOS,130,10,1773,1787,10.1111/oik.07885,0030-1299,1600-0706,NA
85,"Caputo, L; Fuentes, R; Woelfl, S; Castañeda, LE; Cárdenas, L",2021,"phenotypic plasticity of clonal populations of the freshwater jellyfish craspedacusta sowerbii (lankester, 1880) in southern hemisphere lakes (chile) and the potential role of the zooplankton diet",AUSTRAL ECOLOGY,46,8,1192,1197,10.1111/aec.13087,1442-9985,1442-9993,NA
86,"Flöder, S; Yong, J; Klauschies, T; Gaedke, U; Poprick, T; Brinkhoff, T; Moorthi, S",2021,intraspecific trait variation alters the outcome of competition in freshwater ciliates,ECOLOGY AND EVOLUTION,11,15,10225,10243,10.1002/ece3.7828,2045-7758,NA,NA
87,"Bomfim, FD; Melao, MDG; Gebara, RC; Lansac-Tôha, FA",2021,warming and predator drive functional responses of three subtropical cladocerans,AQUATIC ECOLOGY,55,3,903,914,10.1007/s10452-021-09870-5,1386-2588,1573-5125,NA
89,"Münzner, K; Gollnisch, R; Rengefors, K; Koreiviene, J; Lindström, ES",2021,high iron requirements for growth in the nuisance alga gonyostomum semen (raphidophyceae),JOURNAL OF PHYCOLOGY,57,4,1309,1322,10.1111/jpy.13170,0022-3646,1529-8817,NA
90,"Fettweis, A; Bergen, B; Hansul, S; De Schamphelaere, K; Smolders, E",2021,"correlated ni, cu, and zn sensitivities of 8 freshwater algal species and consequences for low-level metal mixture effects",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,40,7,2015,2025,10.1002/etc.5034,0730-7268,1552-8618,NA
91,"Choi, JY; Kim, SK",2021,"the use of winter water temperature and food composition by the copepod cyclops vicinus (uljanin, 1875) to provide a temporal refuge from fish predation",BIOLOGY-BASEL,10,5,NA,NA,10.3390/biology10050393,NA,2079-7737,NA
92,"Broccoli, A; Anselmi, S; Cavallo, A; Ferrari, V; Prevedelli, D; Pastorino, P; Renzi, M",2021,"ecotoxicological effects of new generation pollutants (nanoparticles, amoxicillin and white musk) on freshwater and marine phytoplankton species",CHEMOSPHERE,279,NA,NA,NA,10.1016/j.chemosphere.2021.130623,0045-6535,1879-1298,NA
93,"Tseng, M; Di Filippo, CM; Fung, M; Kim, JO; Forster, IP; Zhou, YL",2021,cascading effects of algal warming in a freshwater community,FUNCTIONAL ECOLOGY,35,4,920,929,10.1111/1365-2435.13752,0269-8463,1365-2435,NA
94,"Kazama, T; Urabe, J; Yamamichi, M; Tokita, K; Yin, XW; Katano, I; Doi, H; Yoshida, T; Hairston, NG",2021,a unified framework for herbivore-to-producer biomass ratio reveals the relative influence of four ecological factors,COMMUNICATIONS BIOLOGY,4,1,NA,NA,10.1038/s42003-020-01587-9,NA,2399-3642,NA
95,"Amaral, DC; Dunck, B; Braghin, LSM; Fernandes, UL; Bomfim, FF; Bonecker, CC; Lansac-Tôha, FA",2021,predation by an omnivorous fish and food availability alter zooplankton functional diversity: a microcosm approach,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,93,NA,NA,NA,10.1590/0001-3765202120200778,0001-3765,1678-2690,NA
96,"Chaktraborty, S; Karmaker, D; Rahman, MA; Bali, SC; Das, SK; Hossen, R",2021,"impacts of ph and salinity on community composition, growth and cell morphology of three freshwater phytoplankton",PLANT SCIENCE TODAY,8,3,655,661,10.14719/pst.2021.8.3.1190,2348-1900,NA,NA
97,"Macêdo, RL; Franco, ACS; Corrêa, RF; Costa, KD; Pereira, LG; de Oliveira, FDM; Klippel, G; Cordeiro, BD; Thiago, MGR; Rocha, MID; Huszar, VLM; dos Santos, LN; Branco, CWC",2021,"spreading of the invasive dinoflagellate ceratium furcoides (levander) langhans throughout the paraiba do sul ecoregion, south america, brazil",LIMNETICA,40,2,233,246,10.23818/limn.40.16,0213-8409,1989-1806,NA
98,"Salmi, P; Mäki, A; Mikkonen, A; Puupponen, VM; Vuorio, K; Tiirola, M",2021,comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton,BOREAL ENVIRONMENT RESEARCH,26,NA,17,27,10.17011/jyx/dataset/66278,1239-6095,1797-2469,NA
604,"Lu, XT; Gao, YY; Weisse, T",2021,functional ecology of two contrasting freshwater ciliated protists in relation to temperature,JOURNAL OF EUKARYOTIC MICROBIOLOGY,68,1,NA,NA,10.1111/jeu.12823,1066-5234,1550-7408,NA
100,"Lines, T; Orr, P; Beardall, J",2021,elevated co2 has differential effects on five species of microalgae from a subtropical freshwater lake: possible implications for phytoplankton species composition1,JOURNAL OF PHYCOLOGY,57,1,324,334,10.1111/jpy.13104,0022-3646,1529-8817,NA
101,"Sha, YC; Tesson, SVM; Hansson, LA",2020,diverging responses to threats across generations in zooplankton,ECOLOGY,101,11,NA,NA,10.1002/ecy.3145,0012-9658,1939-9170,NA
102,"Krzton, W; Kosiba, J",2020,variations in zooplankton functional groups density in freshwater ecosystems exposed to cyanobacterial blooms,SCIENCE OF THE TOTAL ENVIRONMENT,730,NA,NA,NA,10.1016/j.scitotenv.2020.139044,0048-9697,1879-1026,NA
103,"Pinheiro-Silva, L; Gianuca, AT; Silveira, MH; Petrucio, MM",2020,grazing efficiency asymmetry drives zooplankton top-down control on phytoplankton in a subtropical lake dominated by non-toxic cyanobacteria,HYDROBIOLOGIA,847,10,2307,2320,10.1007/s10750-020-04255-5,0018-8158,1573-5117,NA
104,"Vezhnavets, VV; Litvinova, AG",2020,"representatives of the genus eurytemora giesbrecht, 1881 (calanoida, temoridae) in aquatic ecosystems of belarus",CRUSTACEANA,93,3-5,283,298,10.1163/15685403-00004008,0011-216X,1568-5403,NA
105,"Ritschar, S; Rabus, M; Laforsch, C",2020,predator-specific inducible morphological defenses of a water flea against two freshwater predators,JOURNAL OF MORPHOLOGY,281,6,653,661,10.1002/jmor.21131,0362-2525,1097-4687,NA
106,"Luimstra, VM; Verspagen, JMH; Xu, TS; Schuurmans, JM; Huisman, J",2020,changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies,ECOLOGY,101,3,NA,NA,10.1002/ecy.2951,0012-9658,1939-9170,NA
107,"Arunpandi, N; Jyothibabu, R; Jagadeesan, L; Albin, KJ; Savitha, KMM; Parthasarathi, S",2020,impact of salinity on the grazing rate of a cladocera (latonopsis australis) in a large tropical estuarine system,ENVIRONMENTAL MONITORING AND ASSESSMENT,192,2,NA,NA,10.1007/s10661-020-8068-x,0167-6369,1573-2959,NA
108,"Hofmann, P; Chatzinotas, A; Harpole, WS; Dunker, S",2019,temperature and stoichiometric dependence of phytoplankton traits,ECOLOGY,100,12,NA,NA,10.1002/ecy.2875,0012-9658,1939-9170,NA
111,"Barrow, JL; Beisner, BE; Giles, R; Giani, A; Domaizon, I; Gregory-Eaves, I",2019,macrophytes moderate the taxonomic and functional composition of phytoplankton assemblages during a nutrient loading experiment,FRESHWATER BIOLOGY,64,8,1369,1381,10.1111/fwb.13311,0046-5070,1365-2427,NA
112,"Colomer, J; Müller, MF; Barcelona, A; Serra, T",2019,mediated food and hydrodynamics on the ingestion of microplastics by daphnia magna,ENVIRONMENTAL POLLUTION,251,NA,434,441,10.1016/j.envpol.2019.05.034,0269-7491,1873-6424,NA
113,"Tseng, M; Bernhardt, JR; Chila, AE",2019,species interactions mediate thermal evolution,EVOLUTIONARY APPLICATIONS,12,7,1463,1474,10.1111/eva.12805,1752-4571,NA,NA
114,"Jordan, MP; Stewart, AR; Eagles-Smith, CA; Strecker, AL",2019,nutrients mediate the effects of temperature on methylmercury concentrations in freshwater zooplankton,SCIENCE OF THE TOTAL ENVIRONMENT,667,NA,601,612,10.1016/j.scitotenv.2019.02.259,0048-9697,1879-1026,NA
115,"Josué, IIP; Cardoso, SJ; Miranda, M; Mucci, M; Ger, KA; Roland, F; Marinho, MM",2019,cyanobacteria dominance drives zooplankton functional dispersion,HYDROBIOLOGIA,831,1,149,161,10.1007/s10750-018-3710-0,0018-8158,1573-5117,NA
116,"Raveh, S; Langen, K; Bakker, TCM; Josephs, C; Frommen, JG",2019,"oddity, predation risk and social decisions in aquatic invertebrates",ETHOLOGY,125,2,106,113,10.1111/eth.12835,0179-1613,1439-0310,NA
117,"Wilkinson, AA; Hondzo, M; Guala, M",2019,investigating abiotic drivers for vertical and temporal heterogeneities of cyanobacteria concentrations in lakes using a seasonal in situ monitoring station,WATER RESOURCES RESEARCH,55,2,954,972,10.1029/2018WR024228,0043-1397,1944-7973,NA
118,"Mironova, E; Gopko, M; Pasternak, A; Mikheev, V; Taskinen, J",2019,trematode cercariae as prey for zooplankton: effect on fitness traits of predators,PARASITOLOGY,146,1,105,111,10.1017/S0031182018000963,0031-1820,1469-8161,NA
119,"Mandal, S; Wilkins, RA; Shurin, JB",2018,compensatory grazing by daphnia generates a trade-off between top-down and bottom-up effects across phytoplankton taxa,ECOSPHERE,9,12,NA,NA,10.1002/ecs2.2537,2150-8925,NA,NA
120,"Bestion, E; García-Carreras, B; Schaum, CE; Pawar, S; Yvon-Durocher, G",2018,metabolic traits predict the effects of warming on phytoplankton competition,ECOLOGY LETTERS,21,5,655,664,10.1111/ele.12932,1461-023X,1461-0248,NA
122,"Jones, NT; Gilbert, B",2018,geographic signatures in species turnover: decoupling colonization and extinction across a latitudinal gradient,OIKOS,127,4,507,517,10.1111/oik.04590,0030-1299,1600-0706,NA
123,"Wolf, R; Heuschele, J",2018,water browning influences the behavioral effects of ultraviolet radiation on zooplankton,FRONTIERS IN ECOLOGY AND EVOLUTION,6,NA,NA,NA,10.3389/fevo.2018.00026,2296-701X,NA,NA
124,"Kruk, C; Segura, AM; Nogueira, L; Alcántara, I; Calliari, D; de la Escalera, GM; Carballo, C; Cabrera, C; Sarthou, F; Scavone, P; Piccini, C",2017,a multilevel trait-based approach to the ecological performance of microcystis aeruginosa complex from headwaters to the ocean,HARMFUL ALGAE,70,NA,23,36,10.1016/j.hal.2017.10.004,1568-9883,1878-1470,NA
125,"Brennan, GL; Colegrave, N; Collins, S",2017,evolutionary consequences of multidriver environmental change in an aquatic primary producer,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,114,37,9930,9935,10.1073/pnas.1703375114,0027-8424,NA,NA
126,"Hahn, MW; Karbon, G; Koll, U; Schmidt, J; Lang, E",2017,polynucleobacter sphagniphilus sp nov a planktonic freshwater bacterium isolated from an acidic and humic freshwater habitat,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,67,9,3261,3267,10.1099/ijsem.0.002096,1466-5026,1466-5034,NA
127,"Yang, D; Park, S",2017,"freshwater anostracan, branchinella kugenumaensis, as a potential controlling consumer species on toxic cyanobacteria microcystis aeruginosa",AQUATIC ECOLOGY,51,3,449,461,10.1007/s10452-017-9628-1,1386-2588,1573-5125,NA
128,"Santos-Medrano, GE; Robles-Vargas, D; Hernández-Flores, S; Rico-Martínez, R",2017,"life table demography of asplanchna brightwellii gosse, 1850 fed with five different prey items",HYDROBIOLOGIA,796,1,169,179,10.1007/s10750-016-3069-z,0018-8158,1573-5117,NA
129,"Bramburger, AJ; Reavie, ED; Sgro, GV; Estepp, LR; Chraïbi, VLS; Pillsbury, RW",2017,decreases in diatom cell size during the 20th century in the laurentian great lakes: a response to warming waters?,JOURNAL OF PLANKTON RESEARCH,39,2,199,210,10.1093/plankt/fbx009,0142-7873,1464-3774,NA
130,"Rocha, GS; Tonietto, AE; Lombardi, AT; Melao, MDG",2016,effect of copper contaminated food on the life cycle and secondary production of daphnia laevis,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,133,NA,235,242,10.1016/j.ecoenv.2016.07.011,0147-6513,1090-2414,NA
131,"Reartes, SBR; Estrada, V; Bazán, R; Larrosa, N; Cossavella, A; López, A; Busso, F; Diaz, MS",2016,evaluation of ecological effects of anthropogenic nutrient loading scenarios in los molinos reservoir through a mathematical model,ECOLOGICAL MODELLING,320,NA,393,406,10.1016/j.ecolmodel.2015.10.028,0304-3800,1872-7026,NA
133,"Liu, X; Beyrend, D; Dur, G; Ban, S",2015,combined effects of temperature and food concentration on growth and reproduction of eodiaptomus japonicus (copepoda: calanoida) from lake biwa (japan),FRESHWATER BIOLOGY,60,10,2003,2018,10.1111/fwb.12626,0046-5070,1365-2427,NA
134,"Narwani, A; Alexandrou, MA; Herrin, J; Vouaux, A; Zhou, C; Oakley, TH; Cardinale, BJ",2015,common ancestry is a poor predictor of competitive traits in freshwater green algae,PLOS ONE,10,9,NA,NA,10.1371/journal.pone.0137085,1932-6203,NA,NA
135,"Behl, S; Stibor, H",2015,prey diversity and prey identity affect herbivore performance on different time scales in a long term aquatic food-web experiment,OIKOS,124,9,1192,1202,10.1111/oik.01463,0030-1299,1600-0706,NA
136,"Grujcic, V; Kasalicky, V; Simek, K",2015,prey-specific growth responses of freshwater flagellate communities induced by morphologically distinct bacteria from the genus limnohabitans,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,81,15,4993,5002,10.1128/AEM.00396-15,0099-2240,1098-5336,NA
137,"Shi, PL; Shen, H; Wang, WJ; Chen, WJ; Xie, P",2015,the relationship between light intensity and nutrient uptake kinetics in six freshwater diatoms,JOURNAL OF ENVIRONMENTAL SCIENCES,34,NA,28,36,10.1016/j.jes.2015.03.003,1001-0742,1878-7320,NA
138,"Kong, YJ; Lou, IC; Zhang, YY; Lou, CU; Mok, KM",2014,using an online phycocyanin fluorescence probe for rapid monitoring of cyanobacteria in macau freshwater reservoir,HYDROBIOLOGIA,741,1,33,49,10.1007/s10750-013-1759-3,0018-8158,1573-5117,NA
139,"Souza, JP; Melo, DC; Lombardi, AT; Melao, MGG",2014,effects of dietborne cadmium on life history and secondary production of a tropical freshwater cladoceran,ECOTOXICOLOGY,23,9,1764,1773,10.1007/s10646-014-1341-4,0963-9292,1573-3017,NA
140,"Hahn, MW; Schmidt, J; Taipale, SJ; Doolittle, WF; Koll, U",2014,"rhodoluna lacicola gen. nov., sp nov., a planktonic freshwater bacterium with stream-lined genome",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,64,NA,3254,3263,10.1099/ijs.0.065292-0,1466-5026,1466-5034,NA
141,"Vijverberg, J; Dejen, E; Getahun, A; Nagelkerke, LAJ",2014,"zooplankton, fish communities and the role of planktivory in nine ethiopian lakes",HYDROBIOLOGIA,722,1,45,60,10.1007/s10750-013-1674-7,0018-8158,1573-5117,NA
142,"Shatwell, T; Köhler, J; Nicklisch, A",2013,temperature and photoperiod interactions with silicon-limited growth and competition of two diatoms,JOURNAL OF PLANKTON RESEARCH,35,5,957,971,10.1093/plankt/fbt058,0142-7873,1464-3774,NA
144,"Burns, CW",2013,"predictors of invasion success by daphnia species: influence of food, temperature and species identity",BIOLOGICAL INVASIONS,15,4,859,869,10.1007/s10530-012-0335-5,1387-3547,1573-1464,NA
145,"Rolinski, S; Pätz, P; Papendick, K; Jähnichen, S; Scheifhacken, N",2013,phytoplankton appearance in particle size spectra - deriving conversion functions between microscopic and particle counter measurements,WATER RESEARCH,47,5,1928,1940,10.1016/j.watres.2013.01.024,0043-1354,NA,NA
146,"Todaro, MA; Perissinotto, R; Bownes, SJ",2013,"neogosseidae (gastrotricha, chaetonotida) from the isimangaliso wetland park, kwazulu-natal, south africa",ZOOKEYS,NA,315,77,94,10.3897/zookeys.315.5593,1313-2989,1313-2970,NA
147,"Bozkurt, A; Çelik, K; Sevindik, TO",2012,seasonal variations in the length of zooplankton related to certain physicochemical variables in two freshwater reservoirs,CRUSTACEANA,85,4-5,447,462,10.1163/156854012X634401,0011-216X,1568-5403,NA
148,"Kumar, R; Souissi, S; Hwang, JS",2012,vulnerability of carp larvae to copepod predation as a function of larval age and body length,AQUACULTURE,338,NA,274,283,10.1016/j.aquaculture.2012.01.001,0044-8486,1873-5622,NA
149,"Hahn, MW; Minasyan, A; Lang, E; Koll, U; Spröer, C",2012,"polynucleobacter difficilis sp nov., a planktonic freshwater bacterium affiliated with subcluster b1 of the genus polynucleobacter",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,62,NA,376,383,10.1099/ijs.0.031393-0,1466-5026,1466-5034,NA
150,"Reiss, J; Schmid-Araya, JM",2011,"feeding response of a benthic copepod to ciliate prey type, prey concentration and habitat complexity",FRESHWATER BIOLOGY,56,8,1519,1530,10.1111/j.1365-2427.2011.02590.x,0046-5070,1365-2427,NA
151,"Liu, LP; Li, K; Chen, TY; Dai, XL; Jiang, M; Diana, JS",2011,effects of microcystis aeruginosa on life history of water flea daphnia magna,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,29,4,892,897,10.1007/s00343-011-0518-4,0254-4059,1993-5005,NA
152,"Yen, J; Sehn, JK; Catton, K; Kramer, A; Sarnelle, O",2011,pheromone trail following in three dimensions by the freshwater copepod hesperodiaptomus shoshone,JOURNAL OF PLANKTON RESEARCH,33,6,907,916,10.1093/plankt/fbq164,0142-7873,1464-3774,NA
153,"Hahn, MW; Lang, E; Tarao, M; Brandt, U",2011,"polynucleobacter rarus sp. nov., a free-living planktonic bacterium isolated from an acidic lake",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,61,NA,781,787,10.1099/ijs.0.017350-0,1466-5026,NA,NA
155,"Hahn, MW; Lang, E; Brandt, U; Spröer, C",2011,"polynucleobacter acidiphobus sp. nov., a representative of an abundant group of planktonic freshwater bacteria",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,61,NA,788,794,10.1099/ijs.0.023929-0,1466-5026,1466-5034,NA
156,"Kramer, AM; Sarnelle, O; Yen, J",2011,the effect of mating behavior and temperature variation on the critical population density of a freshwater copepod,LIMNOLOGY AND OCEANOGRAPHY,56,2,707,715,10.4319/lo.2011.56.2.0707,0024-3590,1939-5590,NA
157,"Silva-Briano, M; Suárez-Morales, E; Ortiz, AA; Reyes-Flores, M",2011,"two species of mastigodiaptomus (copepoda: diaptomidae), hosts of the epibiotic ciliate trichodina diaptomi (peritricha) in north america",JOURNAL OF LIMNOLOGY,70,2,329,333,10.4081/jlimnol.2011.329,1129-5767,1723-8633,NA
