source,authors,year,title,doi,page,volume,issue
"Fan, X. et al. (2017) ‘Morphological descriptions of five scuticociliates including one new species of Falcicyclidium’, European Journal of Protistology, 59, pp. 34–49. Available at: https://doi.org/10.1016/j.ejop.2017.03.003.","Fan, X. et al. ",2017,Morphological descriptions of five scuticociliates including one new species of Falcicyclidium,10.1016/j.ejop.2017.03.003,34–49,59,NA
"Fawley, K.P. and Fawley, M.W. (2007) ‘Observations on the Diversity and Ecology of Freshwater Nannochloropsis (Eustigmatophyceae), with Descriptions of New Taxa’, Protist, 158(3), pp. 325–336. Available at: https://doi.org/10.1016/j.protis.2007.03.003.","Fawley, K.P. and Fawley, M.W. ",2007,"Observations on the Diversity and Ecology of Freshwater Nannochloropsis (Eustigmatophyceae), with Descriptions of New Taxa",10.1016/j.protis.2007.03.003,325–336,158,(3)
"Fell, J.W. and Guého-Kellermann, E. (2011) ‘Guehomyces Fell & Scorzetti (2004)’, in The Yeasts. Elsevier, pp. 1773–1775. Available at: https://doi.org/10.1016/B978-0-444-52149-1.00143-9.","Fell, J.W. and Guého-Kellermann, E. ",2011,Guehomyces Fell & Scorzetti (2004),10.1016/B978-0-444-52149-1.00143-9,1773–1775,NA,NA
"Fell, J.W. and Phaff, H.J. (1967) ‘Three new yeasts;Cryptococcus dimennae, Cryptococcus kutzingii andCryptococcus lactativorus spp. n.’, Antonie van Leeuwenhoek, 33(1), pp. 464–472. Available at: https://doi.org/10.1007/BF02045598.","Fell, J.W. and Phaff, H.J. ",1967,"Three new yeasts;Cryptococcus dimennae, Cryptococcus kutzingii andCryptococcus lactativorus spp. n.",10.1007/BF02045598,464–472,33,(1)
"Fenchel, T. (1980) ‘Suspension feeding in ciliated protozoa: Feeding rates and their ecological significance’, Microbial Ecology, 6(1), pp. 13–25. Available at: https://doi.org/10.1007/BF02020371.","Fenchel, T. ",1980,Suspension feeding in ciliated protozoa: Feeding rates and their ecological significance,10.1007/BF02020371,13–25,6,(1)
"Fenchel, T. (1990) ‘Adaptive significance of polymorphic life cycles in Protozoa: responses to starvation and refeeding in two species of marine ciliates’, Journal of Experimental Marine Biology and Ecology, 136(3), pp. 159–177. Available at: https://doi.org/10.1016/0022-0981(90)90159-A.","Fenchel, T. ",1990,Adaptive significance of polymorphic life cycles in Protozoa: responses to starvation and refeeding in two species of marine ciliates,10.1016/0022-0981(90)90159-A,159–177,136,(3)
"Fenchel, T. and Jonsson, P. (1988) ‘The functional biology of Strombidium sulcatum, a marine oligotrich ciliate (Ciliophora, Oligotrichina)’, Marine Ecology Progress Series, 48, pp. 1–15. Available at: https://doi.org/10.3354/meps048001.","Fenchel, T. and Jonsson, P. ",1988,"The functional biology of Strombidium sulcatum, a marine oligotrich ciliate (Ciliophora, Oligotrichina)",10.3354/meps048001,1–15,48,NA
"Figueroa, R.I. et al. (2008) ‘Description, Host-specificity, and Strain Selectivity of the Dinoflagellate Parasite Parvilucifera sinerae sp. nov. (Perkinsozoa)’, Protist, 159(4), pp. 563–578. Available at: https://doi.org/10.1016/j.protis.2008.05.003.","Figueroa, R.I. et al. ",2008,"Description, Host-specificity, and Strain Selectivity of the Dinoflagellate Parasite Parvilucifera sinerae sp. nov. (Perkinsozoa)",10.1016/j.protis.2008.05.003,563–578,159,(4)
"Findenig, B.M., Chatzinotas, A. and Boenigk, J. (2010) ‘TAXONOMIC AND ECOLOGICAL CHARACTERIZATION OF STOMATOCYSTS OF SPUMELLA-LIKE FLAGELLATES (CHRYSOPHYCEAE)1: STOMATOCYSTS OF SPUMELLA’, Journal of Phycology, 46(5), pp. 868–881. Available at: https://doi.org/10.1111/j.1529-8817.2010.00892.x.","Findenig, B.M., Chatzinotas, A. and Boenigk, J. ",2010,TAXONOMIC AND ECOLOGICAL CHARACTERIZATION OF STOMATOCYSTS OF SPUMELLA-LIKE FLAGELLATES (CHRYSOPHYCEAE)1: STOMATOCYSTS OF SPUMELLA,10.1111/j.1529-8817.2010.00892.x,868–881,46,(5)
"Finlay, B.J. and Fenchel, T. (1991) ‘Polymorphic bacterial symbionts in the anaerobic ciliated protozoon Metopus’, FEMS Microbiology Letters, 79(2–3), pp. 187–190. Available at: https://doi.org/10.1111/j.1574-6968.1991.tb04526.x.","Finlay, B.J. and Fenchel, T. ",1991,Polymorphic bacterial symbionts in the anaerobic ciliated protozoon Metopus,10.1111/j.1574-6968.1991.tb04526.x,187–190,79,(2–3)
"Finley, H.E. and Williams, H.B. (1955) ‘Chromatographic Analysis of the Asexual and Sexual Stages of a Ciliate ( Vorticella microstoma )*’, The Journal of Protozoology, 2(1), pp. 13–18. Available at: https://doi.org/10.1111/j.1550-7408.1955.tb02389.x.","Finley, H.E. and Williams, H.B. ",1955,Chromatographic Analysis of the Asexual and Sexual Stages of a Ciliate ( Vorticella microstoma )*,10.1111/j.1550-7408.1955.tb02389.x,13–18,2,(1)
"Flynn, K.J., Davidson, K. and Cunningham, A. (1996) ‘Prey selection and rejection by a microflagellate; implications for the study and operation of microbial food webs’, Journal of Experimental Marine Biology and Ecology, 196(1–2), pp. 357–372. Available at: https://doi.org/10.1016/0022-0981(95)00140-9.","Flynn, K.J., Davidson, K. and Cunningham, A. ",1996,Prey selection and rejection by a microflagellate; implications for the study and operation of microbial food webs,10.1016/0022-0981(95)00140-9,357–372,196,(1–2)
"Foissner, W. (1995) ‘Tropical Protozoan Diversity: 80 Ciliate Species (Protozoa, Ciliophora) in a Soil Sample from a Tropical Dry Forest of Costa Rica, with Descriptions of four New Genera and seven New Species’, Archiv für Protistenkunde, 145(1–2), pp. 37–79. Available at: https://doi.org/10.1016/S0003-9365(11)80300-3.","Foissner, W. ",1995,"Tropical Protozoan Diversity: 80 Ciliate Species (Protozoa, Ciliophora) in a Soil Sample from a Tropical Dry Forest of Costa Rica, with Descriptions of four New Genera and seven New Species",10.1016/S0003-9365(11)80300-3,37–79,145,(1–2)
"Foissner, W. (2013) ‘Description of Glaucomides bromelicola n. gen., n. sp. (Ciliophora, Tetrahymenida), a Macrostome Forming Inhabitant of Bromeliads (Bromeliaceae), Including Redescriptions of Glaucoma scintillans and G. reniformis’, Journal of Eukaryotic Microbiology, 60(2), pp. 137–157. Available at: https://doi.org/10.1111/jeu.12016.","Foissner, W. ",2013,"Description of Glaucomides bromelicola n. gen., n. sp. (Ciliophora, Tetrahymenida), a Macrostome Forming Inhabitant of Bromeliads (Bromeliaceae), Including Redescriptions of Glaucoma scintillans and G. reniformis",10.1111/jeu.12016,137–157,60,(2)
"Foissner, W. et al. (2014) ‘New SSU-rDNA sequences for eleven colpodeans (Ciliophora, Colpodea) and description of Apocyrtolophosis nov. gen’, European Journal of Protistology, 50(1), pp. 40–46. Available at: https://doi.org/10.1016/j.ejop.2013.09.003.","Foissner, W. et al. ",2014,"New SSU-rDNA sequences for eleven colpodeans (Ciliophora, Colpodea) and description of Apocyrtolophosis nov. gen",10.1016/j.ejop.2013.09.003,40–46,50,(1)
"Foissner, W. (2016) ‘Heterometopus meisterfeldi nov. gen., nov. spec. (Protozoa, Ciliophora), a new metopid from Australia’, European Journal of Protistology, 55, pp. 118–127. Available at: https://doi.org/10.1016/j.ejop.2015.11.005.","Foissner, W. ",2016,"Heterometopus meisterfeldi nov. gen., nov. spec. (Protozoa, Ciliophora), a new metopid from Australia",10.1016/j.ejop.2015.11.005,118–127,55,NA
"Foissner, W. and Berger, H. (1996) ‘A user‐friendly guide to the ciliates (Protozoa, Ciliophora) commonly used by hydrobiologists as bioindicators in rivers, lakes, and waste waters, with notes on their ecology’, Freshwater Biology, 35(2), pp. 375–482. Available at: https://doi.org/10.1111/j.1365-2427.1996.tb01775.x.","Foissner, W. and Berger, H. ",1996,"A user‐friendly guide to the ciliates (Protozoa, Ciliophora) commonly used by hydrobiologists as bioindicators in rivers, lakes, and waste waters, with notes on their ecology",10.1111/j.1365-2427.1996.tb01775.x,375–482,35,(2)
"Foissner, W., Kusuoka, Y. and Shimano, S. (2009) ‘Morphological and molecular characterization of Histiobalantium natans viridis (Ciliophora, Scuticociliatia)’, European Journal of Protistology, 45(3), pp. 193–204. Available at: https://doi.org/10.1016/j.ejop.2008.11.003.","Foissner, W., Kusuoka, Y. and Shimano, S. ",2009,"Morphological and molecular characterization of Histiobalantium natans viridis (Ciliophora, Scuticociliatia)",10.1016/j.ejop.2008.11.003,193–204,45,(3)
"Fokin, S.I. et al. (2005) ‘Spirostomum spp. (Ciliophora, Protista), a suitable system for endocytobiosis research’, Protoplasma, 225(1–2), pp. 93–102. Available at: https://doi.org/10.1007/s00709-004-0078-y.","Fokin, S.I. et al. ",2005,"Spirostomum spp. (Ciliophora, Protista), a suitable system for endocytobiosis research",10.1007/s00709-004-0078-y,93–102,225,(1–2)
"Fonseca, Á. and Rodrigues, M.G. (2011) ‘Taphrina’, in The Yeasts. Elsevier, pp. 823–858. Available at: https://doi.org/10.1016/B978-0-444-52149-1.00073-2.","Fonseca, Á. and Rodrigues, M.G. ",2011,Taphrina,10.1016/B978-0-444-52149-1.00073-2,823–858,NA,NA
"Foy, R.H. and Gibson, C.E. (1993) ‘The influence of irradiance, photoperiod and temperature on the growth kinetics of three planktonic diatoms’, European Journal of Phycology, 28(4), pp. 203–212. Available at: https://doi.org/10.1080/09670269300650311.","Foy, R.H. and Gibson, C.E. ",1993,"The influence of irradiance, photoperiod and temperature on the growth kinetics of three planktonic diatoms",10.1080/09670269300650311,203–212,28,(4)
"Gächter, E. and Weisse, T. (2006) ‘Local adaptation among geographically distant clones of the cosmopolitan freshwater ciliate Meseres corlissi. I. Temperature response’, Aquatic Microbial Ecology, 45, pp. 291–300. Available at: https://doi.org/10.3354/ame045291.","Gächter, E. and Weisse, T. ",2006,Local adaptation among geographically distant clones of the cosmopolitan freshwater ciliate Meseres corlissi. I. Temperature response,10.3354/ame045291,291–300,45,NA
"Gaedke, U. (1992) ‘The size distribution of plankton biomass in a large lake and its seasonal variability’, Limnology and Oceanography, 37(6), pp. 1202–1220. Available at: https://doi.org/10.4319/lo.1992.37.6.1202.","Gaedke, U. ",1992,The size distribution of plankton biomass in a large lake and its seasonal variability,10.4319/lo.1992.37.6.1202,1202–1220,37,(6)
"Gale, W.F. and Lowe, R.L. (1971) ‘Phytoplankton Ingestion by the Fingernail Clam, Sphaerium Transversum (Say), in Pool 19, Mississippi River’, Ecology, 52(3), pp. 507–513. Available at: https://doi.org/10.2307/1937634.","Gale, W.F. and Lowe, R.L. ",1971,"Phytoplankton Ingestion by the Fingernail Clam, Sphaerium Transversum (Say), in Pool 19, Mississippi River",10.2307/1937634,507–513,52,(3)
"Gao, L. et al. (2015) ‘Three New Species of Cyphellophora (Chaetothyriales) Associated with Sooty Blotch and Flyspeck’, PLOS ONE. Edited by P.C. Woo, 10(9), p. e0136857. Available at: https://doi.org/10.1371/journal.pone.0136857.","Gao, L. et al. ",2015,Three New Species of Cyphellophora (Chaetothyriales) Associated with Sooty Blotch and Flyspeck,10.1371/journal.pone.0136857,e0136857,10,(9)
"García, C.E., Nandini, S. and Sarma, S.S.S. (2011) ‘Demographic characteristics of the copepod Acanthocyclops americanus (Sars, 1863) (Copepoda: Cyclopoida) fed mixed algal (Scenedesmus acutus)-rotifer (Brachionus havanaensis) diet’, Hydrobiologia, 666(1), pp. 59–69. Available at: https://doi.org/10.1007/s10750-010-0209-8.","García, C.E., Nandini, S. and Sarma, S.S.S. ",2011,"Demographic characteristics of the copepod Acanthocyclops americanus (Sars, 1863) (Copepoda: Cyclopoida) fed mixed algal (Scenedesmus acutus)-rotifer (Brachionus havanaensis) diet",10.1007/s10750-010-0209-8,59–69,1863,NA
"Gärtner, G., Hofer, A. and Ingolić, E. (1988) ‘Morphological and Taxonomical Observations on Some Strains of Chlorosarcina, Chlorosarcinopsis and Planophila (Chlorophyta, Chlorosarcinales), with Special Reference to “Vegetative Cell Division”’, Archiv für Protistenkunde, 135(1–4), pp. 119–131. Available at: https://doi.org/10.1016/S0003-9365(88)80058-7.","Gärtner, G., Hofer, A. and Ingolić, E. ",1988,"Morphological and Taxonomical Observations on Some Strains of Chlorosarcina, Chlorosarcinopsis and Planophila (Chlorophyta, Chlorosarcinales), with Special Reference to “Vegetative Cell Division”",10.1016/S0003-9365(88)80058-7,119–131,135,(1–4)
"Gasich, E.L. et al. (2014) ‘First report of Itersonilia perplexans on Heracleum sosnowskyi in Russia’, New Disease Reports, 29(1), pp. 6–6. Available at: https://doi.org/10.5197/j.2044-0588.2014.029.006.","Gasich, E.L. et al. ",2014,First report of Itersonilia perplexans on Heracleum sosnowskyi in Russia,10.5197/j.2044-0588.2014.029.006,6–6,29,(1)
"Gauna, M.C., Parodi, E.R. and Cáceres, E.J. (2009) ‘Epiphytic relationships of Pseudendoclonium submarinum Wille (Ulvophyceae) and Rhodymenia pseudopalmata (Rhodophyta) from the Patagonian coast of Argentina’, Phycological Research, 57(4), pp. 313–322. Available at: https://doi.org/10.1111/j.1440-1835.2009.00551.x.","Gauna, M.C., Parodi, E.R. and Cáceres, E.J. ",2009,Epiphytic relationships of Pseudendoclonium submarinum Wille (Ulvophyceae) and Rhodymenia pseudopalmata (Rhodophyta) from the Patagonian coast of Argentina,10.1111/j.1440-1835.2009.00551.x,313–322,57,(4)
"Geller, W. and Mller, H. (1981) ‘The filtration apparatus of Cladocera: Filter mesh-sizes and their implications on food selectivity’, Oecologia, 49(3), pp. 316–321. Available at: https://doi.org/10.1007/BF00347591.","Geller, W. and Mller, H. ",1981,The filtration apparatus of Cladocera: Filter mesh-sizes and their implications on food selectivity,10.1007/BF00347591,316–321,49,(3)
"George, D.G. (1976) ‘Life Cycle and Production of Cyclops vicinus in a Shallow Eutrophic Reservoir’, Oikos, 27(1), p. 101. Available at: https://doi.org/10.2307/3543438.","George, D.G. ",1976,Life Cycle and Production of Cyclops vicinus in a Shallow Eutrophic Reservoir,10.2307/3543438,101,27,(1)
"Ghareeb, H. et al. (2011) ‘Sporisorium reilianum Infection Changes Inflorescence and Branching Architectures of Maize’, Plant Physiology, 156(4), pp. 2037–2052. Available at: https://doi.org/10.1104/pp.111.179499.","Ghareeb, H. et al. ",2011,Sporisorium reilianum Infection Changes Inflorescence and Branching Architectures of Maize,10.1104/pp.111.179499,2037–2052,156,(4)
"Gibson, C.E., Anderson, N.J. and Haworth, E.Y. (2003) ‘Aulacoseira subarctica : taxonomy, physiology, ecology and palaeoecology’, European Journal of Phycology, 38(2), pp. 83–101. Available at: https://doi.org/10.1080/0967026031000094102.","Gibson, C.E., Anderson, N.J. and Haworth, E.Y. ",2003,"Aulacoseira subarctica : taxonomy, physiology, ecology and palaeoecology",10.1080/0967026031000094102,83–101,38,(2)
"Gillooly, J.F. and Dodson, S.I. (2000) ‘Latitudinal patterns in the size distribution and seasonal dynamics of new world, freshwater cladocerans’, Limnology and Oceanography, 45(1), pp. 22–30. Available at: https://doi.org/10.4319/lo.2000.45.1.0022.","Gillooly, J.F. and Dodson, S.I. ",2000,"Latitudinal patterns in the size distribution and seasonal dynamics of new world, freshwater cladocerans",10.4319/lo.2000.45.1.0022,22–30,45,(1)
"Giraldo, A. et al. (2015) ‘Phylogeny of <I>Sarocladium</I> (<I>Hypocreales</I>)’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 34(1), pp. 10–24. Available at: https://doi.org/10.3767/003158515X685364.","Giraldo, A. et al. ",2015,Phylogeny of <I>Sarocladium</I> (<I>Hypocreales</I>),10.3767/003158515X685364,10–24,34,(1)
"Gismervik, I. (2005) ‘Numerical and functional responses of choreo- and oligotrich planktonic ciliates’, Aquatic Microbial Ecology, 40, pp. 163–173. Available at: https://doi.org/10.3354/ame040163.","Gismervik, I. ",2005,Numerical and functional responses of choreo- and oligotrich planktonic ciliates,10.3354/ame040163,163–173,40,NA
"Glockling, S.L., Marshall, W.L. and Gleason, F.H. (2013) ‘Phylogenetic interpretations and ecological potentials of the Mesomycetozoea (Ichthyosporea)’, Fungal Ecology, 6(4), pp. 237–247. Available at: https://doi.org/10.1016/j.funeco.2013.03.005.","Glockling, S.L., Marshall, W.L. and Gleason, F.H. ",2013,Phylogenetic interpretations and ecological potentials of the Mesomycetozoea (Ichthyosporea),10.1016/j.funeco.2013.03.005,237–247,6,(4)
"Glücksman, E., Snell, E.A. and Cavalier-Smith, T. (2013) ‘Phylogeny and evolution of Planomonadida (Sulcozoa): Eight new species and new genera Fabomonas and Nutomonas’, European Journal of Protistology, 49(2), pp. 179–200. Available at: https://doi.org/10.1016/j.ejop.2012.08.007.","Glücksman, E., Snell, E.A. and Cavalier-Smith, T. ",2013,Phylogeny and evolution of Planomonadida (Sulcozoa): Eight new species and new genera Fabomonas and Nutomonas,10.1016/j.ejop.2012.08.007,179–200,49,(2)
"Goecke, F. et al. (2020) ‘Revision of Coelastrella (Scenedesmaceae, Chlorophyta) and first register of this green coccoid microalga for continental Norway’, World Journal of Microbiology and Biotechnology, 36(10), p. 149. Available at: https://doi.org/10.1007/s11274-020-02897-0.","Goecke, F. et al. ",2020,"Revision of Coelastrella (Scenedesmaceae, Chlorophyta) and first register of this green coccoid microalga for continental Norway",10.1007/s11274-020-02897-0,149,36,(10)
"Gómez, F., Moreira, D. and López-García, P. (2009) ‘Life cycle and molecular phylogeny of the dinoflagellates Chytriodinium and Dissodinium, ectoparasites of copepod eggs’, European Journal of Protistology, 45(4), pp. 260–270. Available at: https://doi.org/10.1016/j.ejop.2009.05.004.","Gómez, F., Moreira, D. and López-García, P. ",2009,"Life cycle and molecular phylogeny of the dinoflagellates Chytriodinium and Dissodinium, ectoparasites of copepod eggs",10.1016/j.ejop.2009.05.004,260–270,45,(4)
"Gómez, F., Moreira, D. and López-García, P. (2010) ‘Neoceratium gen. nov., a New Genus for All Marine Species Currently Assigned to Ceratium (Dinophyceae)’, Protist, 161(1), pp. 35–54. Available at: https://doi.org/10.1016/j.protis.2009.06.004.","Gómez, F., Moreira, D. and López-García, P. ",2010,"Neoceratium gen. nov., a New Genus for All Marine Species Currently Assigned to Ceratium (Dinophyceae)",10.1016/j.protis.2009.06.004,35–54,161,(1)
"Gómez, F. and Skovgaard, A. (2015) ‘Molecular Phylogeny of the Parasitic Dinoflagellate Chytriodinium within the Gymnodinium Clade (Gymnodiniales, Dinophyceae)’, Journal of Eukaryotic Microbiology, 62(3), pp. 422–425. Available at: https://doi.org/10.1111/jeu.12180.","Gómez, F. and Skovgaard, A. ",2015,"Molecular Phylogeny of the Parasitic Dinoflagellate Chytriodinium within the Gymnodinium Clade (Gymnodiniales, Dinophyceae)",10.1111/jeu.12180,422–425,62,(3)
"Gonçalves, C.M. et al. (2020) ‘Mortierella verticillata Linnem. (Mortierellomycota, Mortierellales) isolated from mountainous environments: a first report from South America’, Check List, 16(4), pp. 907–910. Available at: https://doi.org/10.15560/16.4.907.","Gonçalves, C.M. et al. ",2020,"Mortierella verticillata Linnem. (Mortierellomycota, Mortierellales) isolated from mountainous environments: a first report from South America",10.15560/16.4.907,907–910,16,(4)
"González, Ej., Matsumura-Tundisi and Tundisi, Jg. (2008) ‘Size and dry weight of main zooplankton species in Bariri reservoir (SP, Brazil)’, Brazilian Journal of Biology, 68(1), pp. 69–75. Available at: https://doi.org/10.1590/S1519-69842008000100010.","González, Ej., Matsumura-Tundisi and Tundisi, Jg. ",2008,"Size and dry weight of main zooplankton species in Bariri reservoir (SP, Brazil)",10.1590/S1519-69842008000100010,69–75,68,(1)
"Goosen, N.K., Wagener, S. and Stumm, C.K. (1990) ‘A comparison of two strains of the anaerobic ciliate Trimyema compressum’, Archives of Microbiology, 153(2), pp. 187–192. Available at: https://doi.org/10.1007/BF00247819.","Goosen, N.K., Wagener, S. and Stumm, C.K. ",1990,A comparison of two strains of the anaerobic ciliate Trimyema compressum,10.1007/BF00247819,187–192,153,(2)
"Gophen, M. (1976) ‘Temperature effect on lifespan, metabolism, and development time of Mesocyclops leuckarti (Claus)’, Oecologia, 25(3), pp. 271–277. Available at: https://doi.org/10.1007/BF00345104.","Gophen, M. ",1976,"Temperature effect on lifespan, metabolism, and development time of Mesocyclops leuckarti (Claus)",10.1007/BF00345104,271–277,25,(3)
"Gophen, M. (1978) ‘Zooplankton’, in C. Serruya (ed.) Lake Kinneret. Dordrecht: Springer Netherlands (Monographiae Biologicae), pp. 297–311. Available at: https://doi.org/10.1007/978-94-009-9954-1_11.","Gophen, M. ",1978,Zooplankton,10.1007/978-94-009-9954-1_11,297–311,NA,NA
"Greslebin, A. and Rajchenberg, M. (2000) ‘The genus Hyphodontia in the Patagonian Andes forests of Argentina’, Mycologia, 92(6), pp. 1155–1165. Available at: https://doi.org/10.1080/00275514.2000.12061263.","Greslebin, A. and Rajchenberg, M. ",2000,The genus Hyphodontia in the Patagonian Andes forests of Argentina,10.1080/00275514.2000.12061263,1155–1165,92,(6)
"Griffiths, K. et al. (2019) ‘Cladoceran assemblage changes across the Eastern United States as recorded in the sediments from the 2007 National Lakes Assessment, USA’, Ecological Indicators, 96, pp. 368–382. Available at: https://doi.org/10.1016/j.ecolind.2018.08.061.","Griffiths, K. et al. ",2019,"Cladoceran assemblage changes across the Eastern United States as recorded in the sediments from the 2007 National Lakes Assessment, USA",10.1016/j.ecolind.2018.08.061,368–382,96,NA
"Grossmann, L. et al. (2016) ‘Small but Manifold – Hidden Diversity in “ Spumella ‐like Flagellates”’, Journal of Eukaryotic Microbiology, 63(4), pp. 419–439. Available at: https://doi.org/10.1111/jeu.12287.","Grossmann, L. et al. ",2016,Small but Manifold – Hidden Diversity in “ Spumella ‐like Flagellates”,10.1111/jeu.12287,419–439,63,(4)
"Grover, J.P. (1989) ‘INFLUENCE OF CELL SHAPE AND SIZE ON ALGAL COMPETITIVE ABILITY 1’, Journal of Phycology, 25(2), pp. 402–405. Available at: https://doi.org/10.1111/j.1529-8817.1989.tb00138.x.","Grover, J.P. ",1989,INFLUENCE OF CELL SHAPE AND SIZE ON ALGAL COMPETITIVE ABILITY 1,10.1111/j.1529-8817.1989.tb00138.x,402–405,25,(2)
"Guého, E., Midgley, G. and Guillot, J. (1996) ‘The genus Malassezia with description of four new species’, Antonie van Leeuwenhoek, 69(4), pp. 337–355. Available at: https://doi.org/10.1007/BF00399623.","Guého, E., Midgley, G. and Guillot, J. ",1996,The genus Malassezia with description of four new species,10.1007/BF00399623,337–355,69,(4)
"Guerrero, J.M. and Echenique, R.O. (2006) ‘Discostella taxa (Bacillariophyta) from the Río Limay basin (northwestern Patagonia, Argentina)’, European Journal of Phycology, 41(1), pp. 83–96. Available at: https://doi.org/10.1080/09670260500512363.","Guerrero, J.M. and Echenique, R.O. ",2006,"Discostella taxa (Bacillariophyta) from the Río Limay basin (northwestern Patagonia, Argentina)",10.1080/09670260500512363,83–96,41,(1)
"Haakonsson, S. et al. (2017) ‘Temperature and precipitation shape the distribution of harmful cyanobacteria in subtropical lotic and lentic ecosystems’, Science of The Total Environment, 609, pp. 1132–1139. Available at: https://doi.org/10.1016/j.scitotenv.2017.07.067.","Haakonsson, S. et al. ",2017,Temperature and precipitation shape the distribution of harmful cyanobacteria in subtropical lotic and lentic ecosystems,10.1016/j.scitotenv.2017.07.067,1132–1139,609,NA
"Häkansson, H. (2002) ‘A COMPILATION AND EVALUATION OF SPECIES IN THE GENERAL STEPHANODISCUS, CYCLOSTEPHANOS AND CYCLOTELLA WITH A NEW GENUS IN THE FAMILY STEPHANODISCACEAE’, Diatom Research, 17(1), pp. 1–139. Available at: https://doi.org/10.1080/0269249X.2002.9705534.","Häkansson, H. ",2002,"A COMPILATION AND EVALUATION OF SPECIES IN THE GENERAL STEPHANODISCUS, CYCLOSTEPHANOS AND CYCLOTELLA WITH A NEW GENUS IN THE FAMILY STEPHANODISCACEAE",10.1080/0269249X.2002.9705534,1–139,17,(1)
"Hamamoto, M., Boekhout, T. and Nakase, T. (2011) ‘Sporobolomyces Kluyver & van Niel (1924)’, in The Yeasts. Elsevier, pp. 1929–1990. Available at: https://doi.org/10.1016/B978-0-444-52149-1.00156-7.","Hamamoto, M., Boekhout, T. and Nakase, T. ",2011,Sporobolomyces Kluyver & van Niel (1924),10.1016/B978-0-444-52149-1.00156-7,1929–1990,NA,NA
"Hamamoto, M. and Nakase, T. (1996) ‘Ballistosporous yeasts found on the surface of plant materials collected in New Zealand: The genera Bensingtonia and Bullera with descriptions of five new species’, Antonie van Leeuwenhoek, 69(3), pp. 279–291. Available at: https://doi.org/10.1007/BF00399617.","Hamamoto, M. and Nakase, T. ",1996,Ballistosporous yeasts found on the surface of plant materials collected in New Zealand: The genera Bensingtonia and Bullera with descriptions of five new species,10.1007/BF00399617,279–291,69,(3)
"Hamamoto, M., Sugiyama, J. and Komagata, K. (1988) ‘Transfer of Rhodotorula hasegawae to a new basidiomycetous genus Erythrobasidium as Erythrobasidium hasegawae comb. nov.’, The Journal of General and Applied Microbiology, 34(3), pp. 279–287. Available at: https://doi.org/10.2323/jgam.34.279.","Hamamoto, M., Sugiyama, J. and Komagata, K. ",1988,Transfer of Rhodotorula hasegawae to a new basidiomycetous genus Erythrobasidium as Erythrobasidium hasegawae comb. nov.,10.2323/jgam.34.279,279–287,34,(3)
"Hansen, B., Bjornsen, P.K. and Hansen, P.J. (1994) ‘The size ratio between planktonic predators and their prey’, Limnology and Oceanography, 39(2), pp. 395–403. Available at: https://doi.org/10.4319/lo.1994.39.2.0395.","Hansen, B., Bjornsen, P.K. and Hansen, P.J. ",1994,The size ratio between planktonic predators and their prey,10.4319/lo.1994.39.2.0395,395–403,39,(2)
"Hansen, G., Daugbjerg, N. and Henriksen, P. (2007) ‘Baldinia anauniensis gen. et sp. nov.: a “new” dinoflagellate from Lake Tovel, N. Italy’, Phycologia, 46(1), pp. 86–108. Available at: https://doi.org/10.2216/0031-8884(2007)46[86:BAGESN]2.0.CO;2.","Hansen, G., Daugbjerg, N. and Henriksen, P. ",2007,"Baldinia anauniensis gen. et sp. nov.: a “new” dinoflagellate from Lake Tovel, N. Italy",10.2216/0031-8884(2007)46[86:BAGESN]2.0.CO;2,86–108,46,(1)
"Hart, R.C. and Allanson, B.R. (1975) ‘Preliminary estimates of production by a calanoid copepod in subtropical Lake Sibaya: With 4 figures and 2 tables in the text’, SIL Proceedings, 1922-2010, 19(2), pp. 1434–1441. Available at: https://doi.org/10.1080/03680770.1974.11896201.","Hart, R.C. and Allanson, B.R. ",1975,Preliminary estimates of production by a calanoid copepod in subtropical Lake Sibaya: With 4 figures and 2 tables in the text,10.1080/03680770.1974.11896201,1434–1441,1922,NA
"Hartmann, H.J. et al. (1993) ‘Predation on Ciliates by the Suspension-Feeding Calanoid Copepod Acanthodiaptomus denticornis’, Canadian Journal of Fisheries and Aquatic Sciences, 50(7), pp. 1382–1393. Available at: https://doi.org/10.1139/f93-158.","Hartmann, H.J. et al. ",1993,Predation on Ciliates by the Suspension-Feeding Calanoid Copepod Acanthodiaptomus denticornis,10.1139/f93-158,1382–1393,50,(7)
"Hasle, G.R. and Lange, C.B. (1989) ‘Freshwater and brackish water Thalassiosira (Bacillariophyceae): taxa with tangentially undulated valves’, Phycologia, 28(1), pp. 120–135. Available at: https://doi.org/10.2216/i0031-8884-28-1-120.1.","Hasle, G.R. and Lange, C.B. ",1989,Freshwater and brackish water Thalassiosira (Bacillariophyceae): taxa with tangentially undulated valves,10.2216/i0031-8884-28-1-120.1,120–135,28,(1)
"Hawkins, P.R. et al. (2005) ‘Change in cyanobacterial biovolume due to preservation by Lugol’s Iodine’, Harmful Algae, 4(6), pp. 1033–1043. Available at: https://doi.org/10.1016/j.hal.2005.03.001.","Hawkins, P.R. et al. ",2005,Change in cyanobacterial biovolume due to preservation by Lugol’s Iodine,10.1016/j.hal.2005.03.001,1033–1043,4,(6)
