"","Authors","Article.Title","Source.Title","Publication.Year","Volume","Issue","Start.Page","End.Page","DOI","body.size","Abstract"
"85","Kruk, C; Devercelli, M; Huszar, VLM; Hernández, E; Beamud, G; Diaz, M; Silva, LHS; Segura, AM","Classification of Reynolds phytoplankton functional groups using individual traits and machine learning techniques","FRESHWATER BIOLOGY",2017,62,"10",1681,1692,"10.1111/fwb.12968",NA,NA
"86","Brennan, GL; Colegrave, N; Collins, S","Evolutionary consequences of multidriver environmental change in an aquatic primary producer","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2017,114,"37",9930,9935,"10.1073/pnas.1703375114","D","how primary producers at the base of aquatic ecosystems respond to complex environmental change"
"87","Hahn, MW; Karbon, G; Koll, U; Schmidt, J; Lang, E","Polynucleobacter sphagniphilus sp nov a planktonic freshwater bacterium isolated from an acidic and humic freshwater habitat","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2017,67,"9",3261,3267,"10.1099/ijsem.0.002096","D","Strain MWH-Weng1-1T, isolated from an acidic freshwater habitat located in the Wenger Moor, Austria, was characterized by investigating its phenotypic, chemotaxonomic and genomic traits"
"88","Stiers, I; Triest, L","Impact of non-native invasive plant species cover on phytoplankton and zooplankton communities in temperate ponds","AQUATIC INVASIONS",2017,12,"3",385,395,"10.3391/ai.2017.12.3.11",NA,NA
"89","Yang, D; Park, S","Freshwater anostracan, Branchinella kugenumaensis, as a potential controlling consumer species on toxic cyanobacteria Microcystis aeruginosa","AQUATIC ECOLOGY",2017,51,"3",449,461,"10.1007/s10452-017-9628-1","D","evaluate the potential of Branchinella kugenumaensis for cyanobacterial bloom control relative to Daphnia"
"90","Santos-Medrano, GE; Robles-Vargas, D; Hernández-Flores, S; Rico-Martínez, R","Life table demography of Asplanchna brightwellii Gosse, 1850 fed with five different prey items","HYDROBIOLOGIA",2017,796,"1",169,179,"10.1007/s10750-016-3069-z","D","table experiments on the freshwater rotifer Asplanchna brightwellii to analyze its demography when fed with prey items from several taxonomic groups (cladocerans, protozoans, and rotifers) and under two different temperature regimes (20 and 25°C)"
"91","Hayden, B; Myllykangas, JP; Rolls, RJ; Kahilainen, KK","Climate and productivity shape fish and invertebrate community structure in subarctic lakes","FRESHWATER BIOLOGY",2017,62,"6",990,1003,"10.1111/fwb.12919",NA,NA
"92","Bramburger, AJ; Reavie, ED; Sgro, GV; Estepp, LR; Chraïbi, VLS; Pillsbury, RW","Decreases in diatom cell size during the 20th century in the Laurentian Great Lakes: a response to warming waters?","JOURNAL OF PLANKTON RESEARCH",2017,39,"2",199,210,"10.1093/plankt/fbx009","D","Decreases in diatom cell size during the 20th century in the Laurentian Great Lakes"
"93","Rocha, GS; Tonietto, AE; Lombardi, AT; Melao, MDG","Effect of copper contaminated food on the life cycle and secondary production of Daphnia laevis","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY",2016,133,"",235,242,"10.1016/j.ecoenv.2016.07.011","D","valuated the bioaccumulation and effect of Cu on Raphidocelis subcapitata (freshwater algae), and the influence of Cu-contaminated food (algae) on Daphnia laevis (tropical cladoceran)"
"94","Uyeda, JC; Harmon, LJ; Blank, CE","A Comprehensive Study of Cyanobacterial Morphological and Ecological Evolutionary Dynamics through Deep Geologic Time","PLOS ONE",2016,11,"9",NA,NA,"10.1371/journal.pone.0162539",NA,NA
"95","Choi, JY; Kim, SK; La, GH; Chang, KH; Kim, DK; Jeong, KY; Park, MS; Joo, GJ; Kim, HW; Jeong, KS","Effects of algal food quality on sexual reproduction of Daphnia magna","ECOLOGY AND EVOLUTION",2016,6,"9",2817,2832,"10.1002/ece3.2058",NA,NA
"96","Warren, JD; Leach, TH; Williamson, CE","Measuring the distribution, abundance, and biovolume of zooplankton in an oligotrophic freshwater lake with a 710 kHz scientific echosounder","LIMNOLOGY AND OCEANOGRAPHY-METHODS",2016,14,"4",231,244,"10.1002/lom3.10084",NA,NA
"97","Reartes, SBR; Estrada, V; Bazán, R; Larrosa, N; Cossavella, A; López, A; Busso, F; Diaz, MS","Evaluation of ecological effects of anthropogenic nutrient loading scenarios in Los Molinos reservoir through a mathematical model","ECOLOGICAL MODELLING",2016,320,"",393,406,"10.1016/j.ecolmodel.2015.10.028","D","assess the likely ecosystem structural shifts that might be induced by seven alternative management scenarios relative to current simulated lake dynamics of Los Molinos reservoir"
"98","Liu, X; Beyrend, D; Dur, G; Ban, S","Combined effects of temperature and food concentration on growth and reproduction of Eodiaptomus japonicus (Copepoda: Calanoida) from Lake Biwa (Japan)","FRESHWATER BIOLOGY",2015,60,"10",2003,2018,"10.1111/fwb.12626","D","effect os food source and temperature on life history traits of  freshwater calanoid copepod Eodiaptomus japonicus "
"99","Narwani, A; Alexandrou, MA; Herrin, J; Vouaux, A; Zhou, C; Oakley, TH; Cardinale, BJ","Common Ancestry Is a Poor Predictor of Competitive Traits in Freshwater Green Algae","PLOS ONE",2015,10,"9",NA,NA,"10.1371/journal.pone.0137085","D","We provide the first investigation of the degree of phylogenetic signal in traits related to competition in freshwater green phytoplankton. "
"100","Behl, S; Stibor, H","Prey diversity and prey identity affect herbivore performance on different time scales in a long term aquatic food-web experiment","OIKOS",2015,124,"9",1192,1202,"10.1111/oik.01463","D","whether and how diversity-mediated productivity at the base of food-webs influences adjacent trophic levels "
"101","Grujcic, V; Kasalicky, V; Simek, K","Prey-Specific Growth Responses of Freshwater Flagellate Communities Induced by Morphologically Distinct Bacteria from the Genus Limnohabitans","APPLIED AND ENVIRONMENTAL MICROBIOLOGY",2015,81,"15",4993,5002,"10.1128/AEM.00396-15","D","examining bacterial carbon flow to the grazer food chain"
"102","Shi, PL; Shen, H; Wang, WJ; Chen, WJ; Xie, P","The relationship between light intensity and nutrient uptake kinetics in six freshwater diatoms","JOURNAL OF ENVIRONMENTAL SCIENCES",2015,34,"",28,36,"10.1016/j.jes.2015.03.003","D","P and Si-uptake kinetics for diatom species from two light regime"
"103","Schmidt-Kloiber, A; Hering, D","www.freshwaterecology.info - An online tool that unifies, standardises and codifies more than 20,000 European freshwater organisms and their ecological preferences","ECOLOGICAL INDICATORS",2015,53,"",271,282,"10.1016/j.ecolind.2015.02.007",NA,NA
"104","Roselli, L; Basset, A","Decoding Size Distribution Patterns in Marine and Transitional Water Phytoplankton: From Community to Species Level","PLOS ONE",2015,10,"5",NA,NA,"10.1371/journal.pone.0127193",NA,NA
"105","Kruk, C; Martínez, A; Nogueira, L; Alonso, C; Calliari, D","Morphological traits variability reflects light limitation of phytoplankton production in a highly productive subtropical estuary (Rio de la Plata, South America)","MARINE BIOLOGY",2015,162,"2",331,341,"10.1007/s00227-014-2568-6",NA,NA
"106","Kong, YJ; Lou, IC; Zhang, YY; Lou, CU; Mok, KM","Using an online phycocyanin fluorescence probe for rapid monitoring of cyanobacteria in Macau freshwater reservoir","HYDROBIOLOGIA",2014,741,"1",33,49,"10.1007/s10750-013-1759-3","D","applied and tested an online phycocyanin (PC) fluorescence probe for rapid monitoring of cyanobacteria in the Macau Storage Reservoir (MSR) that is experiencing cyanobacterial blooms."
"107","Souza, JP; Melo, DC; Lombardi, AT; Melao, MGG","Effects of dietborne cadmium on life history and secondary production of a tropical freshwater cladoceran","ECOTOXICOLOGY",2014,23,"9",1764,1773,"10.1007/s10646-014-1341-4","D","provide life history parameters and secondary production of Simocephalus serrulatus (Koch 1841) (Cladocera: Daphniidae) fed with cadmium (Cd) contaminated algae during a 21-day bioassay."
"108","Hahn, MW; Schmidt, J; Taipale, SJ; Doolittle, WF; Koll, U","Rhodoluna lacicola gen. nov., sp nov., a planktonic freshwater bacterium with stream-lined genome","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2014,64,"",3254,3263,"10.1099/ijs.0.065292-0","D","characterized ‘Candidatus Rhodoluna lacicola ’ strain MWH-Ta8 by phylogenetic and taxonomic investigations, as well as by determination of its complete genome sequence."
"109","Vijverberg, J; Dejen, E; Getahun, A; Nagelkerke, LAJ","Zooplankton, fish communities and the role of planktivory in nine Ethiopian lakes","HYDROBIOLOGIA",2014,722,"1",45,60,"10.1007/s10750-013-1674-7","D","Fish and zooplankton populations of nine Ethiopian freshwater lakes were quantitatively sampled along a North–South gradient"
"110","Urzúa, A; Guerao, G; Cuesta, JA; Rotllant, G; Estévez, A; Anger, K","The bioenergetic fuel for non-feeding larval development in an endemic palaemonid shrimp from the Iberian Peninsula, Palaemonetes zariquieyi","MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY",2013,46,"6",381,397,"10.1080/10236244.2013.857067",NA,NA
"111","Schröder, A","Density- and Size-Dependent Winter Mortality and Growth of Late Chaoborus flavicans Larvae","PLOS ONE",2013,8,"10",NA,NA,"10.1371/journal.pone.0075839",NA,NA
"112","Shatwell, T; Köhler, J; Nicklisch, A","Temperature and photoperiod interactions with silicon-limited growth and competition of two diatoms","JOURNAL OF PLANKTON RESEARCH",2013,35,"5",957,971,"10.1093/plankt/fbt058","D","ultivated Stephanodiscus minutulus and Nitzschia acicularis (freshwater diatoms) under silicon limitation at different temperatures and photoperiods in continuous and batch culture."
"113","Burns, CW","Predictors of invasion success by Daphnia species: influence of food, temperature and species identity","BIOLOGICAL INVASIONS",2013,15,"4",859,869,"10.1007/s10530-012-0335-5","D","test aspects of reproduction and fitness of the invader, D. ‘pulex’, and D. carinata when grown together at a range of relevant temperatures (8–23 °C) and related photoperiods"
"114","Rolinski, S; Pätz, P; Papendick, K; Jähnichen, S; Scheifhacken, N","Phytoplankton appearance in particle size spectra - Deriving conversion functions between microscopic and particle counter measurements","WATER RESEARCH",2013,47,"5",1928,1940,"10.1016/j.watres.2013.01.024","D","Field samples, growth experiments and model approaches were used to study the image of phytoplankton derived by two different commonly used and standardized counting methods."
"115","Todaro, MA; Perissinotto, R; Bownes, SJ","Neogosseidae (Gastrotricha, Chaetonotida) from the iSimangaliso Wetland Park, KwaZulu-Natal, South Africa","ZOOKEYS",2013,NA,"315",77,94,"10.3897/zookeys.315.5593","D","Categorising two species of Neogosseidae that were found in a freshwater pond near Charter’s Creek on the Western Shores of Lake St Lucia"
"116","Bozkurt, A; Çelik, K; Sevindik, TO","SEASONAL VARIATIONS IN THE LENGTH OF ZOOPLANKTON RELATED TO CERTAIN PHYSICOCHEMICAL VARIABLES IN TWO FRESHWATER RESERVOIRS","CRUSTACEANA",2012,85,"4-5",447,462,"10.1163/156854012X634401","D","seasonal variations in the body length of zooplankton were studied in relation to water temperature, nitrate (NO3), soluble reactive phosphorus (SRP), total chlorophyll, Secchi disk depth, pH, conductivity, and oxidation-reduction potential (ORP) in a mesotrophic (Ikizcetepeler) and a eutrophic (Çaygören) reservoir"
"117","Kumar, R; Souissi, S; Hwang, JS","Vulnerability of carp larvae to copepod predation as a function of larval age and body length","AQUACULTURE",2012,338,"",274,283,"10.1016/j.aquaculture.2012.01.001","D","quantified vulnerability, susceptibility, and loss of two crucial fish, Labeo rohita and Catla catla, to cyclopoid predation in relation to larval age and body length under laboratory conditions."
"118","Hahn, MW; Minasyan, A; Lang, E; Koll, U; Spröer, C","Polynucleobacter difficilis sp nov., a planktonic freshwater bacterium affiliated with subcluster B1 of the genus Polynucleobacter","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2012,62,"",376,383,"10.1099/ijs.0.031393-0","D","Strain AM-8B5T, isolated from Lake Sevan in Armenia, was characterized phenotypically, chemotaxonomically and phylogenetically"
"119","Urzúa, A; Anger, K","Larval biomass and chemical composition at hatching in two geographically isolated clades of the shrimp Macrobrachium amazonicum: intra- or interspecific variation?","INVERTEBRATE REPRODUCTION & DEVELOPMENT",2011,55,"4",236,246,"10.1080/07924259.2011.576155",NA,NA
"120","Reiss, J; Schmid-Araya, JM","Feeding response of a benthic copepod to ciliate prey type, prey concentration and habitat complexity","FRESHWATER BIOLOGY",2011,56,"8",1519,1530,"10.1111/j.1365-2427.2011.02590.x","D","We aimed to quantify the feeding links between a freshwater meiofaunal copepod andciliates"
"121","Liu, LP; Li, K; Chen, TY; Dai, XL; Jiang, M; Diana, JS","Effects of Microcystis aeruginosa on life history of water flea Daphnia magna","CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY",2011,29,"4",892,897,"10.1007/s00343-011-0518-4","D","microcystins (MCs) in Microcystis aeruginosa, and Daphnia magna exposed to M. aeruginosa, were analyzed by HPLC-MS, and the effects of M. aeruginosa on D. magna were investigated"
"122","Yen, J; Sehn, JK; Catton, K; Kramer, A; Sarnelle, O","Pheromone trail following in three dimensions by the freshwater copepod Hesperodiaptomus shoshone","JOURNAL OF PLANKTON RESEARCH",2011,33,"6",907,916,"10.1093/plankt/fbq164","D","Using three-dimensional (3D) videography, we show that males of the large-bodied alpine species Hesperodiaptomus shoshone follow pheromones in the female's trail"
"123","Hahn, MW; Lang, E; Tarao, M; Brandt, U","Polynucleobacter rarus sp. nov., a free-living planktonic bacterium isolated from an acidic lake","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2011,61,"",781,787,"10.1099/ijs.0.017350-0","D","strain MT-CBb6A5T, which was isolated from an acidic lake located in Wisconsin (USA), was characterized"
"124","Hahn, MW; Lang, E; Brandt, U; Spröer, C","Polynucleobacter acidiphobus sp. nov., a representative of an abundant group of planktonic freshwater bacteria","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2011,61,"",788,794,"10.1099/ijs.0.023929-0","D","strain MWH-PoolGreenA3T, isolated from a rock pool filled with freshwater, was characterized"
"125","Kramer, AM; Sarnelle, O; Yen, J","The effect of mating behavior and temperature variation on the critical population density of a freshwater copepod","LIMNOLOGY AND OCEANOGRAPHY",2011,56,"2",707,715,"10.4319/lo.2011.56.2.0707","D","combining three-dimensional video analysis ofmating behavior with life history data from natural populations we estimated H. shoshone critical density"
"126","Silva-Briano, M; Suárez-Morales, E; Ortiz, AA; Reyes-Flores, M","Two species of Mastigodiaptomus (Copepoda: Diaptomidae), hosts of the epibiotic ciliate Trichodina diaptomi (Peritricha) in North America","JOURNAL OF LIMNOLOGY",2011,70,"2",329,333,"10.4081/jlimnol.2011.329","D","identifying T.diaptomi from a sample from mexico"
"127","Kasalicky, V; Jezbera, J; Simek, K; Hahn, MW","Limnohabitans planktonicus sp nov and Limnohabitans parvus sp nov., planktonic betaproteobacteria isolated from a freshwater reservoir, and emended description of the genus Limnohabitans","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2010,60,"",2710,2714,"10.1099/ijs.0.018952-0","D","Two bacterial strains, II-B4T and II-D5T, isolated from the meso-eutrophic freshwater Římov reservoir (Czech Republic), were characterized phenotypically"
"128","Mano, H; Sakamoto, M; Tanaka, Y","A comparative study of insecticide toxicity among seven cladoceran species","ECOTOXICOLOGY",2010,19,"8",1620,1625,"10.1007/s10646-010-0547-3","D","The sensitivities of seven cladoceran species (Ceriodaphnia reticulata, Chydorus sphaericus, Daphnia galeata, Diaphanosoma brachyurum, Moina macrocopa, Scapholeberis kingi, and Simocephalus vetulus) to carbamate insecticides (carbaryl and methomyl) were investigated by acute toxicity tests"
"129","Yin, XW; Liu, PF; Zhu, SS; Chen, XX","Food selectivity of the herbivore Daphnia magna (Cladocera) and its impact on competition outcome between two freshwater green algae","HYDROBIOLOGIA",2010,655,"1",15,23,"10.1007/s10750-010-0399-0","D","does otimal foraging theory lead to lead to small-sized Chlorella becoming a superior competitor in the presence of Daphnia."
"130","Rojo, C; Salazar, G","Why are there so many kinds of planktonic consumers? The answer lies in the allometric diet breadth","HYDROBIOLOGIA",2010,653,"1",91,102,"10.1007/s10750-010-0346-0","D","apply the ADBM to infer the feeding linkages within a freshwater planktonic community of a Spanish oligo-mesotrophic lake and three spatial partitions of it"
"131","Hahn, MW; Kasalicky, V; Jezbera, J; Brandt, U; Jezberová, J; Simek, K","Limnohabitans curvus gen. nov., sp nov., a planktonic bacterium isolated from a freshwater lake","INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY",2010,60,"",1358,1365,"10.1099/ijs.0.013292-0","D","strain, MWH-C5T, isolated from the water column of the oligomesotrophic Lake Mondsee (Austria), was characterized phenotypically, phylogenetically and chemotaxonomically"
"132","Wang, YY; Hammes, F; Boon, N; Chami, M; Egli, T","Isolation and characterization of low nucleic acid (LNA)-content bacteria","ISME JOURNAL",2009,3,"8",889,902,"10.1038/ismej.2009.46",NA,NA
"133","Sakamoto, M; Hanazato, T; Tanaka, Y","Impact of an Insecticide on Persistence of Inherent Antipredator Morphology of a Small Cladoceran, Bosmina","ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY",2009,57,"1",68,76,"10.1007/s00244-008-9247-x","D","assessed the impacts of an insecticide, carbaryl, on the life-history parameters of a polymorphic cladoceran, Bosmina longirostris, and on Bosmina–copepod interaction"
"134","Ki, JS; Cho, SY; Katano, T; Jung, SW; Lee, J; Park, BS; Kang, SH; Han, MS","Comprehensive comparisons of three pennate diatoms, Diatoma tenuae, Fragilaria vaucheriae, and Navicula pelliculosa, isolated from summer Arctic reservoirs (Svalbard 79A°N), by fine-scale morphology and nuclear 18S ribosomal DNA","POLAR BIOLOGY",2009,32,"2",147,159,"10.1007/s00300-008-0514-0","D","report morphological and molecular characteristics of dominant freshwater diatoms in summer Arctic reservoirs of Svalbard (Norway)"
"135","Palkovacs, EP; Post, DM","Experimental evidence that phenotypic divergence in predators drives community divergence in prey","ECOLOGY",2009,90,"2",300,305,"10.1890/08-1673.1",NA,NA
"136","Montagnes, DJS; Morgan, G; Bissinger, JE; Atkinson, D; Weisse, TS","Short-term temperature change may impact freshwater carbon flux: a microbial perspective","GLOBAL CHANGE BIOLOGY",2008,14,"12",2823,2838,"10.1111/j.1365-2486.2008.01700.x",NA,NA
"137","Smith, AS; Alexander, JE","Potential effects of the freshwater jellyfish Craspedacusta sowerbii on zooplankton community abundance","JOURNAL OF PLANKTON RESEARCH",2008,30,"12",1323,1327,"10.1093/plankt/fbn093",NA,NA
"138","Matthews, B; Mazumder, A","Detecting trophic-level variation in consumer assemblages","FRESHWATER BIOLOGY",2008,53,"10",1942,1953,"10.1111/j.1365-2427.2008.02018.x","D","We examined the sources of variation in zooplankton ΔN by measuring the trophic enrichment (ΔN) of seven species of freshwater cladocerans, and by testing for an effect of age and temperature on the ΔN of Daphnia pulicaria"
"139","Palkovacs, EP; Post, DM","Eco-evolutionary interactions between predators and prey: can predator-induced changes to prey communities feed back to shape predator foraging traits?","EVOLUTIONARY ECOLOGY RESEARCH",2008,10,"5",699,720,"NA1",NA,NA
"140","Rowe, CL; Adamowicz, SJ; Hebert, PDN","Three new cryptic species of the freshwater zooplankton genus Holopedium (Crustacea: Branchiopoda: Ctenopoda), revealed by genetic methods","ZOOTAXA",2007,NA,"1656",1,49,"NA2","D","Here, we provide the first large-scale examination of taxonomic diversity in the genus Holopedium"
"141","Sigee, DC; Bahram, F; Estrada, B; Webster, RE; Dean, AP","The influence of phosphorus availability on carbon allocation and P quota in Scenedesmus subspicatus:: A synchrotron-based FTIR analysis","PHYCOLOGIA",2007,46,"5",583,592,"10.2216/07-14.1","D","Synchrotron-based Fourier transform infrared (FTIR) microspectroscopy was used to characterise the molecular composition of the freshwater alga Scenedesmus subspicatus, cultured at three different initial concentrations of phosphorus"
"142","Pannard, A; Bormans, M; Lefebvre, S; Claquin, P; Lagadeuc, Y","Phytoplankton size distribution and community structure: influence of nutrient input and sedimentary loss","JOURNAL OF PLANKTON RESEARCH",2007,29,"7",583,598,"10.1093/plankt/fbm040","D","examines the effects of nutrient availability and sedimentary loss on the dynamics of freshwater phytoplankton, from the physiological state at the cellular level to the competition issue at the community level"
"143","Jezberová, J; Komárková, J","Morphometry and growth of three Synechococcus-like picoplanktic cyanobacteria at different culture conditions","HYDROBIOLOGIA",2007,578,"1",17,27,"10.1007/s10750-006-0429-0","D","Three phycocyanin-rich strains of Synechococcus-like picoplanktic cyanobacteria, isolated from the plankton of Czech oligotrophic to eutrophic freshwater reservoirs, were investigated in crossed gradients of light and temperature and in combination with two different culture media (BG-11 and WC)"
"144","Tonk, L; Bosch, K; Visser, PM; Huisman, J","Salt tolerance of the harmful cyanobacterium Microcystis aeruginosa","AQUATIC MICROBIAL ECOLOGY",2007,46,"2",117,123,"10.3354/ame046117",NA,NA
"145","Anger, K; Torres, G; Nettelmann, U","Adaptive traits in ecology, reproduction and early life history of Sesarma meridies, an endemic stream crab from Jamaica","MARINE AND FRESHWATER RESEARCH",2007,58,"8",743,755,"10.1071/MF06176",NA,NA
"146","Bittencourt-Oliveira, MD; Moura, AD; Gouvea-Barros, S; Pinto, E","HIP1 DNA fingerprinting in Microcystis panniformis (Chroococcales, Cyanobacteria)","PHYCOLOGIA",2007,46,"1",3,9,"10.2216/06-01.1","D","explores genetic diversity among 14 strains of M. panniformis isolated from 4 freshwater reservoirs in 2 different Brazilian regions"
"147","Gamble, AE; Lloyd, R; Aiken, J; Johannsson, OE; Mills, EL","Using zooplankton biomass size spectra to assess ecological change in a well-studied freshwater lake ecosystem: Oneida Lake, New York","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2006,63,"12",2687,2699,"10.1139/F06-153",NA,NA
"148","Weisse, T; Stadler, P","Effect of pH on growth, cell volume, and production of freshwater ciliates, and implications for their distribution","LIMNOLOGY AND OCEANOGRAPHY",2006,51,"4",1708,1715,"10.4319/lo.2006.51.4.1708","D","We investigated the effect of pH on growth, cell volume, and production of the freshwater ciliates Urotrichafarcta, U. furcata, and U. castalia"
"149","Passarge, J; Hol, S; Escher, M; Huisman, J","Competition for nutrients and light: Stable coexistence, alternative stable states, or competitive exclusion?","ECOLOGICAL MONOGRAPHS",2006,76,"1",57,72,"10.1890/04-1824","D","nvestigation of competition among phytoplankton species"
"150","Weisse, T; Rammer, S","Pronounced ecophysiological clonal differences of two common freshwater ciliates, Coleps spetai (Prostomatida) and Rimostrombidium lacustris (Oligotrichida), challenge the morphospecies concept","JOURNAL OF PLANKTON RESEARCH",2006,28,"1",55,63,"10.1093/plankt/fbi100",NA,NA
"151","Kuczynska-Kippen, N","On body size and habitat selection in rotifers in a macrophye-dominated lake Budzynskie, Poland","AQUATIC ECOLOGY",2005,39,"4",447,454,"10.1007/s10452-005-9003-5","D","Measuring the difference in rotifer densities in different locations of a lake"
"152","Hawkins, PR; Holliday, J; Kathuria, A; Bowling, L","Change in cyanobacterial biovolume due to preservation by Lugol's Iodine","HARMFUL ALGAE",2005,4,"6",1033,1043,"10.1016/j.hal.2005.03.001","D","Change in cyanobacterial biovolume due to preservation by Lugol's Iodine"
"153","Jankowski, T; Strauss, T; Ratte, HT","Trophic interactions of the freshwater jellyfish Craspedacusta sowerbii","JOURNAL OF PLANKTON RESEARCH",2005,27,"8",811,823,"10.1093/plankt/fbi055","D","The predatory impact and the trophic role of the freshwater jellyfish, Craspedacusta sowerbii, was studied using microcosm and enclosure experiments as well as a 3-year pond survey"
"154","Hülsmann, S; Rinke, K; Mooij, WM","A quantitative test of the size efficiency hypothesis by means of a physiologically structured model","OIKOS",2005,110,"1",43,54,"10.1111/j.0030-1299.2005.13341.x",NA,NA
"155","Hopp, U; Maier, G","Implication of the feeding limb morphology for herbivorous feeding in some freshwater cyclopoid copepods","FRESHWATER BIOLOGY",2005,50,"5",742,747,"10.1111/j.1365-2427.2005.01362.x",NA,NA
"156","Dudycha, JL; Lynch, M","Conserved ontogeny and allometric scaling of resource acquisition and allocation in the Daphniidae","EVOLUTION",2005,59,"3",565,576,"NA3",NA,NA
"157","Peña-Castro, JM; Martínez-Jerónimo, F; Esparza-García, F; Cañizares-Villanueva, RO","Phenotypic plasticity in Scenedesmus incrassatulus (Chlorophyceae) in response to heavy metals stress","CHEMOSPHERE",2004,57,"11",1629,1636,"10.1016/j.chemosphere.2004.06.041","D","phenotypic plasticity of Scenedesmus incrassatulus (a non-spiny, four-cell coenobium forming species) in response to EC50 value of copper, cadmium and hexavalent chromium"
"158","Badylak, S; Phlips, EJ","Spatial and temporal patterns of phytoplankton composition in subtropical coastal lagoon, the Indian River Lagoon, Florida, USA","JOURNAL OF PLANKTON RESEARCH",2004,26,"10",1229,1247,"10.1093/plankt/fbh114",NA,NA
"159","Boenigk, J; Stadler, P; Wiedlroither, A; Hahn, MW","Strain-specific differences in the grazing sensitivities of closely related ultramicrobacteria affiliated with the Polynucleobacter cluster","APPLIED AND ENVIRONMENTAL MICROBIOLOGY",2004,70,"10",5787,5793,"10.1128/AEM.70.10.5787-5793.2004","D","investigated the sensitivity of ultramicrobacteria affiliated with the cosmopolitan Polynucleobacter cluster to grazing by Spumella-like nanoflagellates."
"160","Mueller, CR; Eversole, AG; Turker, H; Brune, DE","Effect of silver carp Hypophthalmichthys molitrix and freshwater mussel Elliptio complanata filtration on the phytoplankton community of Partitioned Aquaculture System units","JOURNAL OF THE WORLD AQUACULTURE SOCIETY",2004,35,"3",372,382,"10.1111/j.1749-7345.2004.tb00101.x","D","examine the phytoplankton in PAS waters that were stocked with silver carp and mussles"
"161","Franklin, NM; Stauber, JL; Lim, RP","Development of multispecies algal bioassays using flow cytometry","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY",2004,23,"6",1452,1462,"10.1897/03-250",NA,NA
"162","Carotenuto, Y; Lampert, W","Ingestion and incorporation of freshwater diatoms by Daphnia pulicaria:: do morphology and oxylipin production matter?","JOURNAL OF PLANKTON RESEARCH",2004,26,"5",563,569,"10.1093/plankt/fbh053","D","In order to explain differences in the growth and reproduction of Daphnia pulicaria fed various freshwater diatoms, we measured ingestion rates and carbon incorporation for six cultured diatom species"
"163","Lemke, AM; Stoeckel, JA; Pegg, MA","Utilization of the exotic cladoceran Daphnia lumholtzi by juvenile fishes in an Illinois River floodplain lake","JOURNAL OF FISH BIOLOGY",2003,62,"4",938,954,"10.1046/j.1095-8649.2003.00090.x","D","quantify the utilization of D.lumholtzi by juvenile fishes"
"164","Weisse, T; Stadler, P; Lindström, ES; Kimmance, SA; Montagnes, DJS","Interactive effect of temperature and food concentration on growth rate:: A test case using the small freshwater ciliate Urotricha farcta","LIMNOLOGY AND OCEANOGRAPHY",2002,47,"5",1447,1455,"10.4319/lo.2002.47.5.1447",NA,NA
"165","Mages, M; Woelfl, S; von Tümpling, W","A method for trace element determination of single Daphnia specimens using total reflection X-ray fluorescence spectrometry","SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY",2001,56,"11",2209,2217,"10.1016/S0584-8547(01)00325-1","D","Two new preparation techniques for total-reflection X-ray fluorescence (TXRF) element determination of single freshwater crustacean specimens (dry weight: 3–40 μg ind−1) have been developed and tested using Daphnia pulex"
"166","Posch, T; Loferer-Krössbacher, M; Gao, G; Alfreider, A; Pernthaler, J; Psenner, R","Precision of bacterioplankton biomass determination:: a comparison of two fluorescent dyes, and of allometric and linear volume-to-carbon conversion factors","AQUATIC MICROBIAL ECOLOGY",2001,25,"1",55,63,"10.3354/ame025055",NA,NA
"167","Jahan, N; Alam, MGM; Sugiura, N; Norman, CP; Maekawa, T","Seasonal variation in frequency of dividing cells of freshwater phytoplankters","ENVIRONMENTAL TECHNOLOGY",2001,22,"4",429,438,"10.1080/09593332208618267","D","Measured the frequency of dividiung cells of phytoplankton seasonally"
"168","Gosselain, V; Hamilton, PB; Descy, JP","Estimating phytoplankton carbon from microscopic counts: an application for riverine systems","HYDROBIOLOGIA",2000,438,"1-3",75,90,"10.1023/A:1004161928957","D","we focus on the way to convert biovolume to carbon biomass for algal assemblages of two rivers, using a computerized system that records dimensions of phytoplankton"
