original.taxa.name,resolved.taxa.name.manual,resolved.source.manual
Chaetopeltis orbicularis f. megalocystis,NA,NA
Characiopsis aculeata,NA,manually
Characiopsis crassirostrum,NA,manually
Characiopsis obliqua,NA,manually
Characiopsis spina,NA,manually
Characiopsis subulata var. ensiformis,NA,NA
Characiopsis varians,NA,manually
Characiopsis ventricosa,NA,manually
Characium subconstrictum,NA,manually
Chlorangiopsis systylis,NA,manually
Chlorella saccharophila,NA,manually
Chromulina crassa,NA,manually
Chroococcus dispersus var. minor,NA,NA
Chroococcus limneticus var. elegans,NA,NA
Chroococcus siderochlamys,NA,manually
Chroomonas nordstedtii f. minor,NA,NA
Chroostipes linearis,NA,manually
Chrysamoeba scherffelii,NA,manually
Chrysochromulina brevifilum,NA,manually
Chrysochromulina chiton,NA,manually
Chrysochromulina ericina,NA,manually
Chrysochromulina fragaria,NA,manually
Chrysochromulina hirta,NA,manually
Chrysochromulina kappa,NA,manually
Chrysochromulina minor,NA,manually
Chrysococcus ovoides,Chrysococcocystis ovoides,manually
Chrysococcus rufescens f. tripora,NA,NA
Chrysolykos angulatus f. bicornis,NA,NA
Chrysoxys rhizopodica,NA,manually
Closterium calosporum var. brasiliense,NA,NA
Closterium closterioides var. intermedium,NA,NA
Closterium dianae var. arcuatum,NA,NA
Closterium dianae var. minus,NA,NA
Closterium gracile var. elongatum,NA,NA
Closterium leibleinii var. boergesenii,NA,NA
Closterium limneticum var. fallax,NA,NA
Closterium limneticum var. tenue,NA,NA
Closterium littorale var. crassum,NA,NA
Closterium nordstedtii var. polystictum,NA,NA
Closterium ralfsii var. hybridum,NA,NA
Closterium strigosum var. elegans,NA,NA
Closterium submoniliferum var. malinvernianum,NA,NA
Closterium tumidum var. nylandicum,NA,NA
Coccomyxa lunaris,Coccomyxa,manually
Coelastrum cambricum var. intermedium,NA,NA
Coelastrum microporum var. octaedricum,NA,NA
Coelastrum microporum var. punctatum,NA,NA
Coenochloris diplococca,NA,manually
Coenochloris mucosa,NA,manually
Coenochloris polycocca,NA,manually
Coenocystis diplococca,Coenocystis,manually
Colacium vesiculosum f. arbuscula,NA,NA
Cosmarium abbreviatum var. germanicum,NA,NA
Cosmarium abbreviatum var. minus,NA,NA
Cosmarium abbreviatum var. planctonicum,NA,NA
Cosmarium biretum var. trigibberum,NA,NA
Cosmarium botrytis var. subtumidum,NA,NA
Cosmarium contractum var. ellipsoideum,NA,NA
Cosmarium contractum var. minutum,NA,NA
Cosmarium cucumis var. helveticum,NA,NA
Cosmarium holmiense var. integrum,NA,NA
Cosmarium impressulum f. minor,NA,NA
Cosmarium laeve var. pseudoctangulare,NA,NA
Cosmarium ornatulum var. depressum,NA,NA
Cosmarium pachydermum var. aethiopicum,NA,NA
Cosmarium phaseolus f. minor,NA,NA
Cosmarium polygonum var. acutius,NA,NA
Cosmarium punctulatum var. subpunctulatum,NA,NA
Cosmarium pygmaeum var. apertum,NA,NA
Cosmarium pygmaeum var. perornatum,NA,NA
Cosmarium regnesii var. montanum,NA,NA
Cosmarium regnesii var. polonicum,NA,NA
Cosmarium reniforme var. depressum,NA,NA
Cosmarium reniforme var. elevatum,NA,NA
Cosmarium sphagnicola var. pachygonum,NA,NA
Cosmarium subspeciosum var. transiens,NA,NA
Cosmarium subtumidum var. klebsii,NA,NA
Cosmarium tinctum var. tumidum,NA,NA
Cosmarium venustum var. excavatum,NA,NA
Crucigenia quadrata var. secta,NA,NA
Crucigeniella neglecta,NA,manually
Cryptomonas butschlii,NA,manually
Desmarella sphaeroidea,Desmarella,manually
Desmodesmus armatus var. bicaudatus,NA,NA
Desmodesmus armatus var. spinosus,NA,NA
Desmodesmus denticulatus var. linearis,NA,NA
Desmodesmus opoliensis var. carinatus,NA,NA
Diacanthos belenophorus,NA,manually
Dictyosphaerium anomalum,NA,manually
Dictyosphaerium sphagnale,NA,manually
Dictyosphaerium tetrachotomum var. minutum,NA,NA
Diplochloris hortobagyi,NA,manually
Epipyxis lauterbornii var. mucicola,NA,NA
Epipyxis utriculus var. acuta,NA,NA
Euastrum humerosum var. affine,NA,NA
Euglena deses f. klebsii,NA,NA
Euglena gigas,NA,manually
Euglena oxyuris f. maior,NA,NA
Euglena oxyuris f. skvortzovii,NA,NA
Euglena oxyuris var. minor,NA,NA
Euglena spatirhyncha,NA,manually
Euglena spirogyra var. fusca,NA,NA
Glenodinium foliaceum,NA,manually
Gloeococcus planctogloea,Gloeococcus planctogloea,manually
Gymnodinium acuminatum,NA,manually
Gymnodinium chlorophorum,NA,manually
Gymnodinium fissum,NA,manually
Gymnodinium halophilum,NA,manually
Gymnodinium inversum var. elongatum,NA,NA
Gymnodinium tenuissimum,NA,manually
Gymnodinium uncatenatum,NA,manually
Katodinium bohemicum,NA,manually
Katodinium schilleri,NA,manually
Katodinium spirodinioides,NA,manually
Kephyrion haemispaericum,NA,manually
Kephyriopsis entzii,NA,manually
Keratococcus braunii,NA,manually
Kirchneriella concorta,NA,manually
Kirchneriella rotunda,NA,manually
Lagerheimia longiseta var. major,NA,NA
Leiblenia ssp,Leibleinia,manually
Lepocinclis ovum var. buetschlii,NA,NA
Leptolyngbya edaphica,NA,manually
Leptolyngbya rivularium,NA,manually
Leptolyngbya tenius,NA,manually
Mallomonas bacterium,NA,manually
Mallomonas tonsurata var. alpina,NA,NA
Menoidium costatum,NA,manually
Microcystis pulverea f. delicatissima,NA,NA
Microglena subglobosa,NA,manually
Monallanthus ssp,NA,manually
Nephrocytium allonthoideum,NA,manually
Nephroselmis pelagica,Nephroselmis,manually
Netrium digitus var. naegelii,NA,NA
Ochromonas coronifera,NA,manually
Ochromonas nana,NA,manually
Ochromonas ornata,NA,manually
Ochromonas sociabilis,NA,manually
Ochromonas sphaerella,NA,manually
Oocystis ecballocystiformis,NA,manually
Oocystis submarina var. variabilis,NA,NA
Oocystis taionensis,NA,manually
Pediastrum simplex var. radians,NA,NA
Pediastrum simplex var.duodenarium,NA,NA
Pediastrum tetras var. apiculatum,NA,NA
Pediastrum tetras var. excisum,NA,NA
Peridiniopsis reticulata,NA,manually
Peridinium umbonatum var. goslaviense,NA,NA
Phacus caudatus var. minor,NA,NA
Phacus monilatus var. suecicus,NA,NA
Phacus orbicularis f. minor,NA,NA
Phacus pyrum var. pseudonordstedtii,NA,NA
Podohedra falcata,NA,manually
Polygoniochloris tetragona,NA,manually
Porphyrosihon ssp,Porphyrosiphon,manually
Prismatella parvulus,Prismatella hexagona,manually
Protococcus wimmeri,NA,manually
Prymnesium parvum f. patelliferum,NA,NA
Pseudochlorangium anomalum,NA,manually
Pseudodictyosphaerium elegans,NA,manually
Pseudokephyrion gallicum,NA,manually
Pseudokephyrion inflatum,NA,manually
Pseudokephyrion pilidum,NA,manually
Pseudokephyrion urnula,NA,manually
Rhodomonas lacustris var. nannoplanctica,NA,NA
Scenedesmus acutus f. tetradesmiformis,NA,NA
Scenedesmus arcuatus var. platydiscus,NA,NA
Scenedesmus armatus var. bicaudatus,NA,NA
Scenedesmus armatus var. longispina,NA,NA
Scenedesmus armatus var. platydiscus,NA,NA
Scenedesmus bellospinosus,NA,manually
Scenedesmus columnatus,NA,manually
Scenedesmus costatus,NA,manually
Scenedesmus denticulatus var. linearis,NA,NA
Scenedesmus intermedius var. acutispinus,NA,manually
Scenedesmus intermedius var. balatonicus,NA,NA
Scenedesmus obtusus var. alternans,NA,NA
Scenedesmus pectinatus,NA,manually
Scenedesmus pleiomorphus,NA,manually
Scenedesmus pseudohelveticus,NA,manually
Scenedesmus quadricauda var. longispina,NA,NA
Scenedesmus quadricauda var. maximus,NA,NA
Scenedesmus quadricauda var. mirificus,NA,NA
Scenedesmus quadricauda var. quadrispina f. spinosus,NA,NA
Scenedesmus raciborskii,NA,manually
Scenedesmus tortuosus,Scenedesmus acuminatus f. tortuosus,manually
Siderocystopsis fusca,NA,manually
Sphaerellopsis gloeosphaera,NA,manually
Sphaerellopsis lateralis,NA,manually
Sphaerellopsis mucosa,NA,manually
Sphaerellopsis velata,NA,manually
Spiniferomonas serrata,NA,manually
Stokesiella minutissima,NA,manually
Strombomonas verrucosa var. zmiewika,NA,NA
Stylochrysalis libera,NA,manually
Syncrypta elaeochrus,NA,manually
Tetrablepharis obovalis,Tetrablepharis obovalis,manually
Tetrademus ssp,Tetradesmus,manually
Tetraedron schmidlei,NA,manually
Tetraerdon caudatum,NA,manually
Tetraerdon triangulare,NA,manually
Tetraselmis elegans,Tetraselmis,manually
Tetraspora lubrica var. lacunosa,NA,NA
Trachelomonas armata var. longa,NA,NA
Trachelomonas armata var. steinii,NA,NA
Trachelomonas hispida var. acuminata,NA,NA
Trachelomonas hispida var. caudata,NA,NA
Trachelomonas hispida var. coronata,NA,NA
Trachelomonas hispida var. crenulatocollis,NA,NA
Trachelomonas lacustris var. ovalis,NA,NA
Trachelomonas planctonica var. oblonga,NA,NA
Trachelomonas scabra var. labiata,NA,NA
Trachelomonas volzii var. intermedia,NA,NA
Uroglena eustylis,NA,manually
A sterionella formosa,Asterionella formosa,manually
Cryptornonas erosa,NA,manually
Cryptornonas ovata,NA,manually
Gymnodiniurn sp .,Gymnodinium,manually
Chrooccocus turgidus,NA,manually
Daphnia ambiuga,NA,manually
Gleocapsa sp.,NA,manually
Planktothrix aghardii,NA,manually
Borgheillia dodgei,Borghiella dodgei,manually
Polyarthra dolycoptera,NA,manually
Synchatea pectinata,NA,manually
Cymbopleura solea,NA,manually
Tetrastnun staurogeniaeforme,NA,manually
Crucigenia divergens,NA,manually
Thalassiosira cleve sp.1,NA,NA
Actinastrwn fluviatile,NA,manually
Tetrastrumelegans playfair,Tetrastrum elegans,manually
Synedra acusvar,Synedra acus var. acus,manually
Melosira granulata var. angustissima,NA,NA
Chlorella fusca var. vacuolata,NA,NA
Desmodesmus obliquus,Scenedesmus obliquus,manually
Pyxicola ovata,NA,manually
Pyxicola psammata,NA,manually
Acantholebris cruvirostris,NA,manually
Calanoid copepodid,Calanoida,manually
Cyclopoid copepodid,Cyclopoida,manually
Cyclops columbianus,NA,manually
Harpacticoid,Harpacticoida,manually
Onychodiaptomus singuienus,NA,manually
Ostracod,Ostracod,manually
Unapertura latens,NA,manually
Actinotaenium silvae-nigrae var. paralellum,NA,NA
Closterium archearium,NA,manually
Closterium bayllianum,NA,manually
Closterium cornu var. upsaliense,NA,NA
Cosmarium blyttii var. novae-sylvae,NA,NA
Cosmarium botrytis var. medioleave,NA,NA
Cosmarium botrytis var. tumidum,NA,NA
Cosmarium conspersum var. latum,NA,NA
Cosmarium contractum var. minimum,NA,NA
Cosmarium formosum,NA,manually
Cosmarium laeve var. octangulare,NA,NA
Cosmarium moniliferum var. panduriforme,NA,NA
Cosmarium monomazum var. polymazum,NA,NA
Cosmarium pachydermum var. aerotopica,NA,NA
Cosmarium pseudonitidulum var. validum,NA,NA
Cosmarium quadratulum var. boldii,NA,NA
Cosmarium subtumidum var. groenbladii,NA,NA
Euastrum ansatum var. ansatum,NA,NA
Euastrum ansatum var. rhomboidale,NA,NA
Euastrum binale var. gutwinskii,NA,NA
Euastrum crassum var. microcephalum,NA,NA
Euastrum luetkemulleri var. carnicolicum,NA,NA
Hyalotheca dissiliens var. minor,NA,NA
Micrasterias truncata var. quadrata,NA,NA
Micrasterias truncata var. semiradiata,NA,NA
Sphaerozosma umbertianum,Sphaerozosma aubertianum,manually
Staurastrum boreale var. quadriradiatum,NA,NA
Staurastrum brebbisonii,NA,manually
Staurastrum micron var. spinulosum,NA,NA
Staurastrum orbiculare var. orbiculare,NA,NA
Staurastrum polymorphum var. pigmaeum,NA,NA
Staurastrum proboscideum var. productum,NA,NA
Staurastrum spongiosum var. perbifidum,NA,NA
Staurastrum symonii,NA,manually
Staurodesmus dejectus var. brevispinus,NA,NA
Tetmemorus leavis var. minutus,NA,NA
Xanthidium antilopaeum var. leave,NA,NA
Xanthidium antilopaeum var. planum,NA,NA
Cyclops abyssorum copodites stage i,NA,manually
Cyclops abyssorum copodites stage ii,NA,manually
Calanoid nauplii,Cyclopoida,manually
Copepd nauplii,Copepoda,manually
Cyclopoid copepodites,Cyclopoida,manually
Ankistrodesmus falcatus var. spirilliformis,NA,NA
Cyclotella praeterissima,NA,manually
Oscillatoria amphigranulata,NA,manually
Skeletonema costatuni,NA,manually
Daphnia coregoni,Bosmina coregoni,manually
Calanus jinrnarchicus,Calanus finmarchicus,manually
Pseudodiaptornus hessei,NA,manually
Pseudencentrum cf. diglandula,Encentrum diglandula,manually
Pseudencentrum cf. sutor,Encentrum sutor,manually
Mixed ciliates,Ciliophora,manually
Strobilidium acutum,Strombidium acutum,manually
Small mixed ciliates,Ciliophora,manually
Staurophyra spp.,Ciliophora,manually
Brachionus tubicen,NA,manually
Brachionusquadridentatus,Brachionus Quadridentatus,manually
Graptoleberis occidentalis,NA,manually
Macrothris sp,Macrothrix,manually
Monommata ardnti,NA,manually
Monommata ventralis,Monommata,manually
Achnanthes flexella var. alpestris,NA,NA
Amphora ovalis var. pediculus,NA,NA
Ankistrodesmus falcatus var. mirabilis,NA,NA
Coccoid oval,Coccoid,manually
Coccoid sphere,Coccoid,manually
Cyclotella comensis var. 1,NA,NA
Cyclotella operculata var. unipunctata,NA,NA
Cymbella minuta var. silesiaca,NA,NA
Diatoma tenue var. elongatum,NA,NA
Dinobryon bavaricum var. vanhoeffenii,NA,NA
Fragilaria construens var. binodis,NA,NA
Fragilaria construens var. venter,NA,NA
Navicula cryptocephala var. veneta,NA,NA
Navicula pupula var. mutata,NA,NA
Navicula radiosa var. tenella,NA,NA
Oocystis gigas var. incrassata,NA,manually
Stephanodiscus hantzschii f. hantzschii,NA,NA
Synedra amphicephala var. austriaca,NA,NA
Synedra delicatissima var. angustissima,NA,NA
Synedra filiformis var. exilis,NA,NA
Synedra ulna var. biceps,NA,NA
Synedra ulna var. chaseana,NA,NA
Tabellaria flocculosa var. geniculata,NA,NA
Unidentified chrysophyte flagellate,Chrysophyceae,manually
Unidentified chrysophyte ovoid,Chrysophyceae,manually
Unidentified coccoid cyanophyta,Cyanophyceae,manually
Unidentified coccoid spherical,couldn't resolve,manually
Unidentified colonial greens,couldn't resolve,manually
Unidentified flagellate,couldn't resolve,manually
Unidentified flagellate ovoid,couldn't resolve,manually
Unidentified flagellates fusiform,couldn't resolve,manually
Unidentified pennales,Bacillariophyceae,manually
Achnanthes clevei var. rostrata,NA,NA
Achnanthes lanceolata var. dubia,NA,NA
Achnanthes lanceolata var. rostrata,NA,NA
Achnanthes lapponica var. ninckei,NA,NA
Actinocyclus normanii f. subsalsa,NA,NA
Amphora ovalis var. affinis,NA,NA
Amphora veneta var. capitata,NA,NA
Aulacoseira distans var. alpigena,NA,NA
Aulacoseira italica var. tenuissima,NA,NA
Caloneis ventricosa var. minuta,NA,NA
Cymbella prostrata var. auerswaldii,NA,NA
Diatoma hiemale var. mesodon,NA,NA
Fragilaria construens var. minuta,NA,NA
Fragilaria construens var. pumila,NA,NA
Fragilaria leptostauron var. dubia,NA,NA
Fragilaria pinnata var. lancettula,NA,NA
Fragilaria vaucheriae var. capitellata,NA,NA
Navicula capitata var. hungarica,NA,NA
Navicula capitata var. luneburgensis,NA,NA
Navicula contenta var. biceps,NA,NA
Navicula elginensis var. lata,NA,NA
Navicula menisculus var. upsaliensis,NA,NA
Navicula rhynchocephala var. amphiceros,NA,NA
Navicula salinarum var. intermedia,NA,NA
Navicula tuscula f. minor,NA,NA
Stephanodiscus carconensis var. pusilla,NA,NA
Surirella ovata var. salina,NA,NA
Synedra parasitica var. subconstricta,NA,NA
Unidentified centrales,Bacillariophyceae,manually
Dictosphaerium ehrenbergainum,NA,manually
Eutetramorus polycoccus,NA,manually
Geminella terricola,NA,manually
Trachelomonas planctonica var. hyalina,NA,NA
Ceriodaphnia quadrangular,NA,manually
Anabaena ucrainica,NA,manually
Anabaena spiroides klebahn var. crassa lemm.,NA,NA
Diaphanosoma edmondsoni,NA,manually
Diaphanosoma kizakiensis,NA,manually
Moina siamensis,NA,manually
Nauplius,Copepoda,manually
Cyclops,Copepoda,manually
Tintionnopsis,Tintinnopsis,manually
Cyclopoids,Cyclopoida,manually
Anabaena sphaerica var. attenuata,NA,NA
Arthrospira platensis var. non-constricta,NA,NA
Oscillatoria chlorina f. perchlorina,NA,NA
Oscillatoria trichoides,NA,manually
Euglena gracilis var. urophora,NA,NA
Lepocinclis conica,NA,manually
Lepocinclis fusiformis var. amphirhynchus,NA,NA
Lepocinclis ovum var. angustatum,NA,NA
Lepocinclis ovum var. dimidio-minor,NA,NA
Lepocinclis teres f. parvula,NA,NA
Lepocinclis texta var. mammillata,NA,NA
Menoidium semilunare var. regulare,NA,manually
Phacus agilis var. inversus,NA,manually
Strombomonas acuminata var. amphora,NA,NA
Strombomonas acuminata var. deflandreana,NA,NA
Strombomonas inconstans,NA,manually
Strombomonas praeliaris var. nana,NA,NA
Strombomonas rotunda f. hortobagyi,NA,NA
Strombomonas subcurvata var. africana,NA,manually
Trachelomonas abrupta f. angustata,NA,NA
Trachelomonas bacillifera f. sparsispina,NA,NA
Trachelomonas curta var. minima,NA,NA
Trachelomonas dangeardii var. glabra,NA,NA
Trachelomonas globularis var. boyeri,NA,NA
Trachelomonas granulosa var. subglobosa,NA,NA
Trachelomonas hexangulata var. hexagona,NA,manually
Trachelomonas kelloggii var. nana,NA,NA
Trachelomonas lismorensis var. inermis,NA,NA
Trachelomonas oblonga var. australica,NA,NA
Trachelomonas obovata var. klebsiana,NA,NA
Trachelomonas orenburgika var. ornata,NA,NA
Trachelomonas stokesiana f. meandrina,NA,NA
Trachelomonas rugulosa var. obliqua,NA,NA
Trachelomonas scabra var. coberensis,NA,NA
Trachelomonas scabra var. ovata f. minor,NA,NA
Trachelomonas sydneyensis var. minima,NA,NA
Trachelomonas sydneyensis var. obesa,NA,NA
Trachelomonas varians f. globosa,NA,NA
Trachelomonas verrucosa f. irregularis,NA,NA
Trachelomonas verrucosa f. sparseornata,NA,manually
Trachelomonas verrucosa var. macrotuberculata,NA,NA
Trachelomonas verrucosa var. spirogyra,NA,NA
Trachelomonas volvocina var. derephora,NA,NA
Trachelomonas volvocinopsis var. khannae,NA,NA
Aulacomonas submarina,NA,manually
Chlamydomonas incisa,NA,manually
Desmodesmus abundans var. brevicauda,NA,NA
Microspora amoena var. gracilis,NA,NA
Pediastrum simplex var. clathratum,NA,NA
Pseudopediastrum subgranulatum,NA,manually
Pteromonas rugosa,NA,manually
Scenedesmus gutwinskii var. bacsensis,NA,NA
Scenedesmus opoliensis var. bicaudatus,NA,NA
Scenedesmus protuberans f. danubianus,NA,manually
Scenedesmus protuberans var. minor,NA,manually
Sphaerellopsis aglo,NA,manually
Tetraedron minimum f. apiculatum,NA,NA
Tetraedron octaedricum var. spinosum,NA,NA
Tetraedron trigonum f. minus-obtusum,NA,NA
Tetraedron trigonum var. longispinum,NA,NA
